Sample_ID,HQ_MAGs_n,MQ_MAGs_n,LQ_MAGs_n,Sample_n,HMQ_MAGs,Bins
T1900045231_TH20190001,17,36,53,s1,53,106
T1900045232_TH20190002,15,41,118,s1,56,174
T1900045235_TH20190005,13,61,124,s1,74,198
T1900045236_TH20190006,37,119,175,s1,156,331
T1900045237_TH20190007,9,44,100,s1,53,153
T1900045238_TH20190008,3,5,30,s1,8,38
T1900045239_TH20190009,15,82,128,s1,97,225
T1900045240_TH20190010,5,51,117,s1,56,173
T1900045241_TH20190011,8,20,60,s1,28,88
T1900045242_TH20190012,22,78,160,s1,100,260
T1900045243_TH20190013,29,125,268,s1,154,422
T1900045244_TH20190014,10,37,116,s1,47,163
T1900045245_TH20190015,9,46,104,s1,55,159
T1900045246_TH20190016,23,112,223,s1,135,358
T1900045247_TH20190017,31,107,283,s1,138,421
T1900045248_TH20190018,19,98,206,s1,117,323
T1900045249_TH20190019,30,127,242,s1,157,399
T1900045250_TH20190020,19,112,260,s1,131,391
T1900045252_TH20190022,15,41,84,s1,56,140
T1900045253_TH20190023,15,51,100,s1,66,166
T1900045254_TH20190024,16,51,93,s1,67,160
T1900045255_TH20190025,11,39,62,s1,50,112
T1900045256_TH20190026,11,37,71,s1,48,119
T1900045257_TH20190027,11,42,93,s1,53,146
T1900045258_TH20190028,16,41,88,s1,57,145
T1900045259_TH20190029,12,60,87,s1,72,159
T1900045260_TH20190030,13,40,78,s1,53,131
T1900045261_TH20190031,12,37,62,s1,49,111
T1900045262_TH20190032,16,54,121,s1,70,191
T1900045263_TH20190033,3,22,58,s1,25,83
T1900045264_TH20190034,13,43,79,s1,56,135
T1900045265_TH20190035,13,64,106,s1,77,183
T1900045266_TH20190036,13,51,85,s1,64,149
T1900045267_TH20190037,23,76,164,s1,99,263
T1900045268_TH20190038,7,26,54,s1,33,87
T1900045269_TH20190039,10,58,92,s1,68,160
T1900045270_TH20190040,13,50,114,s1,63,177
T1900045271_TH20190041,13,48,81,s1,61,142
T1900045272_TH20190042,8,38,70,s1,46,116
T1900045273_TH20190043,7,39,70,s1,46,116
T1900045274_TH20190044,11,33,60,s1,44,104
T1900045275_TH20190045,15,48,93,s1,63,156
T1900045276_TH20190046,10,48,98,s1,58,156
T1900045277_TH20190047,12,44,88,s1,56,144
T1900045278_TH20190048,7,26,69,s1,33,102
T1900045279_TH20190049,13,48,88,s1,61,149
T1900045280_TH20190050,17,44,104,s1,61,165
T1900045281_TH20190051,10,39,75,s1,49,124
T1900045282_TH20190052,15,52,85,s1,67,152
T1900045283_TH20190053,17,68,75,s1,85,160
T1900045284_TH20190054,22,81,103,s1,103,206
T1900045285_TH20190055,19,70,116,s1,89,205
T1900045286_TH20190056,19,67,107,s1,86,193
T1900045287_TH20190057,30,81,148,s1,111,259
T1900045288_TH20190058,22,64,102,s1,86,188
T1900045290_TH20190060,23,79,129,s1,102,231
T1900045291_TH20190061,11,40,93,s1,51,144
T1900045292_TH20190062,18,48,102,s1,66,168
T1900045293_TH20190063,14,58,112,s1,72,184
T1900045294_TH20190064,13,61,88,s1,74,162
T1900045295_TH20190065,23,63,113,s1,86,199
T1900045296_TH20190066,15,64,110,s1,79,189
T1900045297_TH20190067,23,76,117,s1,99,216
T1900045298_TH20190068,6,42,81,s1,48,129
T1900045299_TH20190069,19,49,94,s1,68,162
T1900045300_TH20190070,13,46,98,s1,59,157
T1900045301_TH20190071,13,48,80,s1,61,141
T1900045302_TH20190072,15,45,98,s1,60,158
T1900045303_TH20190073,18,58,107,s1,76,183
T1900045304_TH20190074,15,67,121,s1,82,203
T1900045305_TH20190075,8,53,124,s1,61,185
T1900045306_TH20190076,18,56,104,s1,74,178
T1900045307_TH20190077,14,50,98,s1,64,162
T1900045308_TH20190078,19,64,94,s1,83,177
T1900045309_TH20190079,21,55,74,s1,76,150
T1900045310_TH20190080,15,42,72,s1,57,129
T1900045311_TH20190081,12,54,96,s1,66,162
T1900045289_TH20190059,12,19,47,s1,31,78
T2001009369_TH82,13,66,139,s1,79,218
T1900045231_TH20190001,12,20,101,s4,32,133
T1900045232_TH20190002,24,85,179,s4,109,288
T1900045235_TH20190005,19,95,172,s4,114,286
T1900045236_TH20190006,56,148,258,s4,204,462
T1900045237_TH20190007,20,79,159,s4,99,258
T1900045238_TH20190008,2,8,24,s4,10,34
T1900045239_TH20190009,29,98,222,s4,127,349
T1900045240_TH20190010,15,95,218,s4,110,328
T1900045241_TH20190011,11,41,114,s4,52,166
T1900045242_TH20190012,23,103,209,s4,126,335
T1900045243_TH20190013,45,166,323,s4,211,534
T1900045244_TH20190014,2,12,188,s4,14,202
T1900045245_TH20190015,9,66,153,s4,75,228
T1900045246_TH20190016,44,139,311,s4,183,494
T1900045247_TH20190017,40,185,301,s4,225,526
T1900045248_TH20190018,22,153,296,s4,175,471
T1900045249_TH20190019,48,141,327,s4,189,516
T1900045250_TH20190020,29,197,362,s4,226,588
T1900045252_TH20190022,22,76,169,s4,98,267
T1900045253_TH20190023,29,82,160,s4,111,271
T1900045254_TH20190024,26,82,174,s4,108,282
T1900045255_TH20190025,21,62,108,s4,83,191
T1900045256_TH20190026,19,40,95,s4,59,154
T1900045257_TH20190027,15,54,134,s4,69,203
T1900045258_TH20190028,21,76,141,s4,97,238
T1900045259_TH20190029,31,67,98,s4,98,196
T1900045260_TH20190030,21,79,103,s4,100,203
T1900045261_TH20190031,17,59,100,s4,76,176
T1900045262_TH20190032,22,88,133,s4,110,243
T1900045263_TH20190033,4,23,70,s4,27,97
T1900045264_TH20190034,30,67,118,s4,97,215
T1900045265_TH20190035,34,89,152,s4,123,275
T1900045266_TH20190036,24,86,160,s4,110,270
T1900045267_TH20190037,32,117,192,s4,149,341
T1900045268_TH20190038,9,51,71,s4,60,131
T1900045269_TH20190039,25,81,135,s4,106,241
T1900045270_TH20190040,28,84,135,s4,112,247
T1900045271_TH20190041,25,72,128,s4,97,225
T1900045272_TH20190042,15,52,109,s4,67,176
T1900045273_TH20190043,19,63,120,s4,82,202
T1900045274_TH20190044,19,61,93,s4,80,173
T1900045275_TH20190045,28,62,143,s4,90,233
T1900045276_TH20190046,23,88,163,s4,111,274
T1900045277_TH20190047,18,80,150,s4,98,248
T1900045278_TH20190048,15,44,87,s4,59,146
T1900045279_TH20190049,27,94,133,s4,121,254
T1900045280_TH20190050,22,66,156,s4,88,244
T1900045281_TH20190051,20,63,127,s4,83,210
T1900045282_TH20190052,26,84,121,s4,110,231
T1900045283_TH20190053,27,105,134,s4,132,266
T1900045284_TH20190054,33,129,170,s4,162,332
T1900045285_TH20190055,34,94,173,s4,128,301
T1900045286_TH20190056,29,99,144,s4,128,272
T1900045287_TH20190057,41,122,201,s4,163,364
T1900045288_TH20190058,34,91,157,s4,125,282
T1900045289_TH20190059,16,44,104,s4,60,164
T1900045290_TH20190060,47,113,193,s4,160,353
T1900045291_TH20190061,25,63,131,s4,88,219
T1900045292_TH20190062,30,82,127,s4,112,239
T1900045293_TH20190063,22,110,182,s4,132,314
T1900045294_TH20190064,21,94,161,s4,115,276
T1900045295_TH20190065,35,102,133,s4,137,270
T1900045296_TH20190066,34,108,175,s4,142,317
T1900045297_TH20190067,44,95,150,s4,139,289
T1900045298_TH20190068,13,62,131,s4,75,206
T1900045299_TH20190069,23,71,131,s4,94,225
T1900045300_TH20190070,25,76,143,s4,101,244
T1900045301_TH20190071,19,91,120,s4,110,230
T1900045302_TH20190072,24,79,133,s4,103,236
T1900045303_TH20190073,32,89,146,s4,121,267
T1900045304_TH20190074,28,102,176,s4,130,306
T1900045305_TH20190075,33,104,170,s4,137,307
T1900045306_TH20190076,29,94,160,s4,123,283
T1900045307_TH20190077,25,76,156,s4,101,257
T1900045308_TH20190078,29,96,157,s4,125,282
T1900045309_TH20190079,26,92,126,s4,118,244
T1900045310_TH20190080,18,71,112,s4,89,201
T1900045311_TH20190081,18,86,133,s4,104,237
T2001009369_TH82,17,88,166,s4,105,271
T1900045231_TH20190001,12,27,80,s6,39,119
T1900045232_TH20190002,22,100,218,s6,122,340
T1900045235_TH20190005,16,108,173,s6,124,297
T1900045236_TH20190006,62,153,253,s6,215,468
T1900045237_TH20190007,14,83,164,s6,97,261
T1900045238_TH20190008,3,6,29,s6,9,38
T1900045239_TH20190009,35,107,236,s6,142,378
T1900045240_TH20190010,15,84,178,s6,99,277
T1900045241_TH20190011,12,47,118,s6,59,177
T1900045242_TH20190012,32,134,247,s6,166,413
T1900045243_TH20190013,45,167,291,s6,212,503
T1900045244_TH20190014,6,15,182,s6,21,203
T1900045245_TH20190015,13,82,171,s6,95,266
T1900045246_TH20190016,41,165,303,s6,206,509
T1900045247_TH20190017,49,199,338,s6,248,586
T1900045248_TH20190018,33,169,342,s6,202,544
T1900045249_TH20190019,57,200,330,s6,257,587
T1900045250_TH20190020,29,221,361,s6,250,611
T1900045252_TH20190022,22,83,151,s6,105,256
T1900045253_TH20190023,27,90,154,s6,117,271
T1900045254_TH20190024,25,85,160,s6,110,270
T1900045255_TH20190025,22,73,107,s6,95,202
T1900045256_TH20190026,22,58,114,s6,80,194
T1900045257_TH20190027,18,69,142,s6,87,229
T1900045258_TH20190028,26,85,150,s6,111,261
T1900045259_TH20190029,29,85,149,s6,114,263
T1900045260_TH20190030,23,75,124,s6,98,222
T1900045261_TH20190031,19,66,96,s6,85,181
