"","s1","s4","s6","s8","s10","s15","s20"
"1_1",1,1,1,1,1,1,1
"2_1",1,1,1,1,1,1,1
"3_1",1,1,1,1,0,0,1
"3_2",1,0,0,0,1,0,1
"3_3",1,1,1,1,1,1,1
"4_1",1,0,1,0,0,0,0
"5_1",1,0,0,0,0,0,1
"6_0",0,0,0,0,0,1,0
"7_1",1,1,1,1,1,1,1
"8_1",0,0,1,1,1,0,1
"9_1",1,1,1,1,1,1,1
"10_1",1,0,0,0,0,1,1
"11_1",1,1,1,1,1,1,1
"12_1",1,0,0,0,0,0,1
"13_1",1,1,0,0,0,0,0
"14_1",1,1,1,1,1,1,1
"15_1",1,1,1,1,1,1,1
"16_1",1,1,1,1,1,1,1
"17_1",1,1,1,1,1,1,1
"18_1",1,1,1,1,1,1,1
"19_1",1,1,1,1,1,1,1
"20_1",1,1,1,1,1,1,1
"21_1",1,0,0,0,0,1,0
"22_1",1,1,1,1,1,1,1
"23_1",1,0,0,1,0,1,1
"24_1",0,0,0,1,1,0,0
"25_1",1,1,0,0,0,1,1
"26_0",1,0,0,0,0,0,0
"27_1",1,1,1,1,1,1,1
"28_1",1,1,1,1,1,0,1
"29_1",1,0,0,0,1,0,0
"30_1",0,0,1,0,0,0,1
"30_2",1,0,1,1,0,0,0
"31_1",1,1,1,1,1,1,1
"32_1",1,1,1,1,1,1,1
"33_1",1,1,1,1,1,1,1
"34_1",1,1,1,1,1,1,1
"35_1",1,0,1,0,1,1,1
"36_1",1,1,1,1,1,1,1
"37_1",1,1,1,1,1,1,1
"38_1",1,1,1,0,1,1,1
"39_1",1,1,1,1,1,1,1
"40_1",1,1,1,1,1,1,1
"40_2",1,1,1,1,1,1,1
"40_3",1,1,1,1,1,1,1
"40_4",0,0,0,0,1,0,0
"40_5",0,0,0,0,0,0,1
"41_1",0,1,1,1,1,1,1
"42_1",1,1,1,0,1,1,1
"43_1",0,1,1,1,1,1,1
"44_1",1,1,1,1,1,1,1
"45_1",1,1,1,1,1,1,1
"46_1",1,1,1,1,1,1,1
"47_1",1,1,1,1,1,1,1
"48_1",1,1,1,1,1,1,1
"49_1",0,0,1,1,1,1,1
"50_1",1,1,1,1,1,1,1
"51_1",1,0,1,0,1,1,1
"52_1",0,1,1,0,0,0,1
"52_2",0,0,0,0,0,1,0
"53_0",0,0,0,0,0,0,1
"54_1",1,0,1,0,1,1,1
"55_1",1,1,1,1,1,1,1
"56_1",1,1,1,1,1,1,1
"56_2",0,0,0,1,0,0,0
"57_0",0,0,0,1,0,0,0
"58_1",1,1,1,1,1,1,1
"59_1",1,1,1,1,1,1,1
"60_1",1,1,1,1,1,1,1
"61_1",0,1,1,1,1,1,1
"62_0",0,0,0,0,1,0,0
"63_1",0,1,1,1,1,1,1
"64_1",1,1,1,1,1,1,1
"65_0",0,1,0,0,0,0,0
"66_1",0,0,1,0,1,1,0
"67_1",1,1,0,1,1,0,0
"68_1",1,1,1,1,1,1,1
"69_1",1,1,1,1,1,1,1
"70_0",0,1,0,0,0,0,0
"71_1",0,0,0,0,1,1,1
"72_1",0,0,1,1,1,1,1
"73_1",1,1,1,1,1,1,1
"74_1",1,1,1,1,1,1,1
"75_1",1,1,1,1,1,1,1
"76_1",1,1,1,1,1,1,1
"76_2",1,1,1,1,1,1,1
"77_1",1,1,1,1,1,1,1
"78_0",0,0,0,1,0,0,0
"79_0",0,0,1,0,0,0,0
"80_1",1,1,1,1,1,1,1
"81_1",1,1,1,1,1,1,1
"82_1",1,1,1,1,1,1,1
"83_1",1,1,1,1,0,1,1
"83_2",1,1,0,0,0,1,1
"84_1",0,1,1,1,0,1,1
"85_1",1,1,0,0,1,1,1
"86_1",1,0,1,1,1,0,1
"87_1",1,1,1,1,1,1,1
"88_1",1,0,1,1,1,1,1
"88_2",1,1,1,1,1,1,1
"89_0",0,0,0,0,1,0,0
"90_0",0,0,0,0,0,0,1
"91_1",0,1,0,0,0,1,0
"92_1",1,1,1,1,1,1,1
"92_2",1,1,1,1,1,1,1
"93_0",0,0,0,1,0,0,0
"94_1",1,1,1,0,1,1,1
"95_1",0,0,1,1,1,1,1
"96_1",1,1,1,1,1,1,1
"97_1",1,1,1,1,1,1,1
"98_1",0,0,0,0,1,1,1
"99_1",1,1,1,1,1,1,1
"100_1",1,0,0,1,1,1,1
"101_1",0,0,0,0,1,1,0
"101_2",0,0,0,0,0,0,1
"102_1",1,1,1,1,1,1,1
"102_2",1,1,1,1,1,1,1
"103_1",0,0,1,0,1,1,1
"104_1",1,1,1,1,1,1,0
"105_1",0,0,0,1,1,1,1
"105_2",1,1,1,1,1,1,1
"105_3",1,1,1,1,1,1,1
"105_4",1,0,0,0,0,1,1
"106_1",0,1,1,1,1,1,1
"107_1",0,0,1,0,1,1,1
"108_1",0,1,1,1,1,1,1
"109_1",1,1,1,1,1,1,1
"110_1",0,0,1,0,1,1,1
"111_1",0,0,0,0,1,0,1
"112_1",1,1,0,0,0,0,0
"113_1",0,0,1,0,0,0,1
"114_0",0,0,0,0,0,1,0
"115_0",0,0,0,0,0,0,1
"116_1",1,1,1,1,1,1,1
"117_1",0,0,0,1,0,1,0
"118_1",1,1,1,1,1,1,1
"119_1",0,0,1,1,1,1,1
"120_0",0,0,0,0,1,0,0
"121_1",1,1,1,1,1,1,1
"122_1",0,0,0,0,0,1,1
"123_0",1,0,0,0,0,0,0
"124_1",1,1,1,1,1,1,1
"125_1",1,1,1,1,1,1,1
"125_2",1,1,1,1,1,1,1
"126_1",0,0,0,1,1,0,0
"127_1",1,1,1,1,1,1,1
"128_1",0,0,0,0,1,1,1
"129_1",1,1,1,1,1,1,1
"130_1",0,0,1,1,1,0,1
"131_1",1,1,1,1,1,1,1
"131_2",0,0,1,1,1,1,1
"132_1",0,0,1,0,1,1,1
"133_1",0,1,1,1,1,1,1
"134_1",0,1,1,1,1,1,1
"135_1",0,0,0,0,0,1,1
"136_1",1,1,1,1,1,1,1
"137_1",0,0,0,0,1,1,1
"138_0",0,0,0,0,0,0,1
"139_1",0,0,0,0,0,1,1
"140_1",0,0,0,0,1,1,1
"141_1",0,0,1,1,1,1,1
"142_1",0,0,0,1,1,1,1
"143_1",0,1,1,1,1,1,1
"144_1",0,1,1,1,1,1,1
"145_1",0,1,1,1,1,1,1
"146_1",0,1,1,1,1,1,1
"147_1",0,1,1,1,1,1,1
"148_1",0,0,0,0,1,1,1
