SGB_ID	Node	GTDB_phylum	GTDB_genus
SGB_596	N4	p__Bacteroidota	g__Phocaeicola
SGB_16777	N4	p__Firmicutes_C	g__Phascolarctobacterium_A
SGB_594	N4	p__Bacteroidota	g__Phocaeicola
SGB_589	N4	p__Bacteroidota	g__Phocaeicola
SGB_600	N4	p__Bacteroidota	g__Phocaeicola
SGB_565	N4	p__Bacteroidota	g__Phocaeicola
SGB_588	N4	p__Bacteroidota	g__Phocaeicola
SGB_2593	N4	p__Bacteroidota	g__RC9
SGB_13902	N4	p__Firmicutes_A	g__CAG-110
SGB_567	N4	p__Bacteroidota	g__Phocaeicola
SGB_2717	N4	p__Bacteroidota	g__RC9
SGB_1640	N4	p__Bacteroidota	g__Alistipes
SGB_4386	N4	p__Firmicutes_A	g__UBA11524
SGB_591	N4	p__Bacteroidota	g__Phocaeicola
SGB_13821	N4	p__Firmicutes_A	g__CAG-110
SGB_798	N4	p__Bacteroidota	g__UBA1189
SGB_2488	N4	p__Bacteroidota	g__RC9
SGB_419	N4	p__Bacteroidota	g__
SGB_5475	N4	p__Firmicutes_A	g__Acetatifactor
SGB_14108	N4	p__Firmicutes_A	g__CAG-110
SGB_544	N4	p__Bacteroidota	g__Bacteroides
SGB_14043	N4	p__Firmicutes_A	g__CAG-110
SGB_4910	N4	p__Firmicutes_A	g__Anaerotignum
SGB_2239	N4	p__Bacteroidota	g__RC9
SGB_1862	N4	p__Bacteroidota	g__Alistipes
SGB_14809	N4	p__Firmicutes_A	g__Evtepia
SGB_1733	N4	p__Bacteroidota	g__Alistipes
SGB_4913	N4	p__Firmicutes_A	g__Anaerotignum
SGB_13996	N4	p__Firmicutes_A	g__CAG-110
SGB_2511	N4	p__Bacteroidota	g__RC9
SGB_14020	N4	p__Firmicutes_A	g__CAG-110
SGB_13654	N4	p__Firmicutes_A	g__CAG-110
SGB_2353	N4	p__Bacteroidota	g__RC9
SGB_838	N4	p__Bacteroidota	g__UBA1189
SGB_805	N4	p__Bacteroidota	g__UBA1189
SGB_13995	N4	p__Firmicutes_A	g__CAG-110
SGB_14370	N4	p__Firmicutes_A	g__CAG-110
SGB_577	N4	p__Bacteroidota	g__Phocaeicola
SGB_12137	N4	p__Firmicutes_A	g__UMGS1696
SGB_14835	N4	p__Firmicutes_A	g__Lawsonibacter
SGB_410	N4	p__Bacteroidota	g__
SGB_575	N4	p__Bacteroidota	g__Phocaeicola
SGB_14215	N4	p__Firmicutes_A	g__CAG-110
SGB_5473	N4	p__Firmicutes_A	g__Acetatifactor
SGB_14038	N4	p__Firmicutes_A	g__CAG-110
SGB_12062	N4	p__Firmicutes_A	g__UMGS1225
SGB_1048	N4	p__Bacteroidota	g__F082
SGB_16067	N4	p__Firmicutes_A	g__
SGB_2663	N4	p__Bacteroidota	g__RC9
SGB_16066	N4	p__Firmicutes_A	g__
SGB_13290	N4	p__Firmicutes_A	g__
SGB_4914	N4	p__Firmicutes_A	g__Anaerotignum
SGB_13940	N4	p__Firmicutes_A	g__CAG-110
SGB_13822	N4	p__Firmicutes_A	g__CAG-110
SGB_16047	N4	p__Firmicutes_A	g__
SGB_16081	N4	p__Firmicutes_A	g__CAG-269
SGB_1931	N4	p__Bacteroidota	g__Alistipes
SGB_13924	N4	p__Firmicutes_A	g__CAG-110
SGB_13967	N4	p__Firmicutes_A	g__CAG-110
SGB_2662	N4	p__Bacteroidota	g__RC9
SGB_14340	N4	p__Firmicutes_A	g__CAG-110
