SGB_ID	SGB
SGB_1	T1900044991_TA20190053_bin.175
SGB_2	T1900045235_TH20190005_bin.80
SGB_3	T1900045307_TH20190077_bin.221
SGB_4	T1900044805_TS20190271_bin.192
SGB_5	T1900044954_TA20190008_bin.152
SGB_6	T1900044961_TA20190021_bin.94
SGB_7	T1900045209_TC20190205_bin.67
SGB_8	T1900045310_TH20190080_bin.40
SGB_9	T1900045311_TH20190081_bin.254
SGB_10	T1900045647_YK20190341_bin.212
SGB_11	T1900045675_YK20190369_bin.50
SGB_12	TP20200814-DZC34_DT2009055362-1_bin.31
SGB_13	TP20200814-DZC44_DT2009055372-1_bin.318
SGB_14	TP20200825-WDL19_DT2009055595-1_bin.158
SGB_15	T1900044957_TA20190013_bin.63
SGB_16	T1900044962_TA20190024_bin.310
SGB_17	T1900044967_TA20190029_bin.77
SGB_18	T1900045240_TH20190010_bin.330
SGB_19	T1900045243_TH20190013_bin.138
SGB_20	T1900045243_TH20190013_bin.502
SGB_21	T1900045250_TH20190020_bin.477
SGB_22	T1900045286_TH20190056_bin.186
SGB_23	T1900044564_TS20190030_bin.27
SGB_24	T1900044591_TS20190057_bin.9
SGB_25	T1900044625_TS20190091_bin.294
SGB_26	T1900044627_TS20190093_bin.330
SGB_27	T1900044638_TS20190104_bin.280
SGB_28	T1900044641_TS20190107_bin.222
SGB_29	T1900044642_TS20190108_bin.283
SGB_30	T1900044652_TS20190118_bin.47
SGB_31	T1900044655_TS20190121_bin.173
SGB_32	T1900044673_TS20190139_bin.338
SGB_33	T1900044694_TS20190160_bin.34
SGB_34	T1900044694_TS20190160_bin.49
SGB_35	T1900044745_TS20190211_bin.67
SGB_36	T1900044747_TS20190213_bin.203
SGB_37	T1900044885_TS20190351_bin.128
SGB_38	T1900044889_TS20190355_bin.15
SGB_39	T1900044889_TS20190355_bin.80
SGB_40	T1900044890_TS20190356_bin.10
SGB_41	T1900044951_TA20190004_bin.182
SGB_42	T1900045060_TC20190053_bin.148
SGB_43	T1900045082_TC20190076_bin.181
SGB_44	T1900045083_TC20190077_bin.211
SGB_45	T1900045103_TC20190097_bin.4
SGB_46	T1900045121_TC20190115_bin.319
SGB_47	T1900045133_TC20190127_bin.97
SGB_48	T1900045211_TC20190207_bin.103
SGB_49	T1900045312_YK20190001_bin.173
SGB_50	T1900045312_YK20190001_bin.65
SGB_51	T1900045313_YK20190002_bin.626
SGB_52	T1900045336_YK20190025_bin.234
SGB_53	T1900045344_YK20190034_bin.29
SGB_54	T1900045355_YK20190045_bin.85
SGB_55	T1900045367_YK20190057_bin.76
SGB_56	T1900045368_YK20190058_bin.78
SGB_57	T1900045369_YK20190059_bin.121
SGB_58	T1900045373_YK20190063_bin.126
SGB_59	T1900045380_YK20190070_bin.3
SGB_60	T1900045382_YK20190072_bin.241
