MAGs	Host
T1900045313_YK20190002_bin.31	Tibetan_Yak
T1900045316_YK20190005_bin.10	Tibetan_Yak
T1900045321_YK20190010_bin.175	Tibetan_Yak
T1900045322_YK20190011_bin.120	Tibetan_Yak
T1900045325_YK20190014_bin.260	Tibetan_Yak
T1900045326_YK20190015_bin.286	Tibetan_Yak
T1900045327_YK20190016_bin.110	Tibetan_Yak
T1900045328_YK20190017_bin.149	Tibetan_Yak
T1900045329_YK20190018_bin.251	Tibetan_Yak
T1900045332_YK20190021_bin.335	Tibetan_Yak
T1900045333_YK20190022_bin.225	Tibetan_Yak
T1900045336_YK20190025_bin.71	Tibetan_Yak
T1900045339_YK20190028_bin.75	Tibetan_Yak
T1900045340_YK20190030_bin.136	Tibetan_Yak
T1900045341_YK20190031_bin.20	Tibetan_Yak
T1900045345_YK20190035_bin.262	Tibetan_Yak
T1900045349_YK20190039_bin.248	Tibetan_Yak
T1900045351_YK20190041_bin.153	Tibetan_Yak
T1900045353_YK20190043_bin.176	Tibetan_Yak
T1900045355_YK20190045_bin.103	Tibetan_Yak
T1900045356_YK20190046_bin.276	Tibetan_Yak
T1900045357_YK20190047_bin.186	Tibetan_Yak
T1900045358_YK20190048_bin.102	Tibetan_Yak
T1900045360_YK20190050_bin.84	Tibetan_Yak
T1900045410_YK20190100_bin.220	Tibetan_Yak
T1900045416_YK20190106_bin.10	Tibetan_Yak
T1900045418_YK20190108_bin.99	Tibetan_Yak
T1900045422_YK20190112_bin.63	Tibetan_Yak
T1900045457_YK20190148_bin.31	Tibetan_Yak
T1900045464_YK20190155_bin.109	Tibetan_Yak
T1900045465_YK20190156_bin.143	Tibetan_Yak
T1900045466_YK20190157_bin.263	Tibetan_Yak
T1900045468_YK20190159_bin.99	Tibetan_Yak
T1900045471_YK20190162_bin.144	Tibetan_Yak
T1900045475_YK20190169_bin.331	Tibetan_Yak
T1900045479_YK20190173_bin.33	Tibetan_Yak
T1900045481_YK20190175_bin.296	Tibetan_Yak
T1900045493_YK20190187_bin.349	Tibetan_Yak
T1900045499_YK20190193_bin.65	Tibetan_Yak
T1900045500_YK20190194_bin.371	Tibetan_Yak
T1900045504_YK20190198_bin.182	Tibetan_Yak
T1900045506_YK20190200_bin.323	Tibetan_Yak
T1900045507_YK20190201_bin.133	Tibetan_Yak
T1900045511_YK20190205_bin.105	Tibetan_Yak
T1900045512_YK20190206_bin.38	Tibetan_Yak
T1900045514_YK20190208_bin.161	Tibetan_Yak
T1900045516_YK20190210_bin.272	Tibetan_Yak
T1900045525_YK20190219_bin.174	Tibetan_Yak
T1900045527_YK20190221_bin.127	Tibetan_Yak
T1900045529_YK20190223_bin.162	Tibetan_Yak
T1900045535_YK20190229_bin.54	Tibetan_Yak
T1900045540_YK20190234_bin.88	Tibetan_Yak
T1900045542_YK20190236_bin.461	Tibetan_Yak
T1900045543_YK20190237_bin.33	Tibetan_Yak
T1900045549_YK20190243_bin.104	Tibetan_Yak
T1900045550_YK20190244_bin.184	Tibetan_Yak
T1900045554_YK20190248_bin.127	Tibetan_Yak
T1900045562_YK20190256_bin.88	Tibetan_Yak
T1900045564_YK20190258_bin.274	Tibetan_Yak
T1900045566_YK20190260_bin.111	Tibetan_Yak
T1900045571_YK20190265_bin.333	Tibetan_Yak
T1900045572_YK20190266_bin.116	Tibetan_Yak
T1900045573_YK20190267_bin.287	Tibetan_Yak
T1900045627_YK20190321_bin.200	Tibetan_Yak
T1900045635_YK20190329_bin.99	Tibetan_Yak
T1900045636_YK20190330_bin.271	Tibetan_Yak
T1900045641_YK20190335_bin.22	Tibetan_Yak
T1900045645_YK20190339_bin.176	Tibetan_Yak
T1900045652_YK20190346_bin.119	Tibetan_Yak
T1900045654_YK20190348_bin.49	Tibetan_Yak
T1900045656_YK20190350_bin.179	Tibetan_Yak
