Pathway	Source	Target	p-value	sig	matrix	FDR	UpDown	vsgroup	VSclass	PathwayName	Level2
map00860	H	A	0.000597295	**	3644;460503;2007;277640	0.003700038	Up-regulation	A VS H	VS Primary	Porphyrin and chlorophyll metabolism	Metabolism of cofactors and vitamins
map00860	OddToed	EvenToed	1.47E-13	**	11764;1265816;2120;270356	3.03E-12	Up-regulation	EvenToed VS OddToed	VS Primary	Porphyrin and chlorophyll metabolism	Metabolism of cofactors and vitamins
map00860	C	Y	-0.007856499	*	5552;718926;6052;749016	0.034274368	Down-regulation	Y VS C	VS Primary	Porphyrin and chlorophyll metabolism	Metabolism of cofactors and vitamins
map00623	S	AN	0.000249585	**	58;1950283;15;1325788	0.001659688	Up-regulation	AN VS S	VS Primary	Toluene degradation	Xenobiotics biodegradation and metabolism
map00760	H	A	-0.000216594	**	3981;460166;2621;277026	0.001455036	Down-regulation	A VS H	VS Primary	Nicotinate and nicotinamide metabolism	Metabolism of cofactors and vitamins
map00760	C	Y	0.001331009	**	6615;717863;6543;748525	0.007499767	Up-regulation	Y VS C	VS Primary	Nicotinate and nicotinamide metabolism	Metabolism of cofactors and vitamins
map00760	Bovine	Ovisae	1.03E-19	**	13788;1402637;6084;710676	3.24E-18	Up-regulation	Ovisae VS Bovine	VS Primary	Nicotinate and nicotinamide metabolism	Metabolism of cofactors and vitamins
map00760	S	AN	1.11E-08	**	17194;1933147;10919;1314884	1.31E-07	Up-regulation	AN VS S	VS Primary	Nicotinate and nicotinamide metabolism	Metabolism of cofactors and vitamins
map00010	H	A	-1.60E-05	**	7571;456576;4921;274726	0.000124018	Down-regulation	A VS H	VS Primary	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
map00010	OddToed	EvenToed	-1.12E-14	**	20038;1257542;4833;267643	2.54E-13	Down-regulation	EvenToed VS OddToed	VS Primary	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
map00010	Bovine	Ovisae	2.06E-06	**	26116;1390309;12578;704182	1.81E-05	Up-regulation	Ovisae VS Bovine	VS Primary	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
map00010	S	AN	-0.001683663	**	34238;1916103;23853;1301950	0.009326869	Down-regulation	AN VS S	VS Primary	Glycolysis / Gluconeogenesis	Carbohydrate metabolism
