Number_of_samples,Number_of_SGBs, taxo
0,0,All_SGBs
0,0,All_SGBs
0,0,All_SGBs
0,0,All_SGBs
0,0,All_SGBs
0,0,All_SGBs
0,0,All_SGBs
0,0,All_SGBs
0,0,All_SGBs
0,0,All_SGBs
0,0,No_singletons
0,0,No_singletons
0,0,No_singletons
0,0,No_singletons
0,0,No_singletons
0,0,No_singletons
0,0,No_singletons
0,0,No_singletons
0,0,No_singletons
0,0,No_singletons
100,4852,All_SGBs
100,4624,All_SGBs
100,4630,All_SGBs
100,4829,All_SGBs
100,4643,All_SGBs
100,4072,All_SGBs
100,4588,All_SGBs
100,4419,All_SGBs
100,4457,All_SGBs
100,4686,All_SGBs
100,4281,No_singletons
100,4030,No_singletons
100,4037,No_singletons
100,4276,No_singletons
100,4054,No_singletons
100,3613,No_singletons
100,4000,No_singletons
100,3863,No_singletons
100,3940,No_singletons
100,4178,No_singletons
200,7227,All_SGBs
200,7021,All_SGBs
200,7392,All_SGBs
200,7418,All_SGBs
200,7142,All_SGBs
200,6995,All_SGBs
200,7067,All_SGBs
200,7287,All_SGBs
200,6793,All_SGBs
200,7197,All_SGBs
200,6014,No_singletons
200,5878,No_singletons
200,6243,No_singletons
200,6210,No_singletons
200,6094,No_singletons
200,5962,No_singletons
200,6007,No_singletons
200,6233,No_singletons
200,5743,No_singletons
200,6080,No_singletons
300,9361,All_SGBs
300,8810,All_SGBs
300,9161,All_SGBs
300,8949,All_SGBs
300,9167,All_SGBs
300,8844,All_SGBs
300,8831,All_SGBs
300,8899,All_SGBs
300,9332,All_SGBs
300,9101,All_SGBs
300,7595,No_singletons
300,7292,No_singletons
300,7568,No_singletons
300,7292,No_singletons
300,7569,No_singletons
300,7348,No_singletons
300,7343,No_singletons
300,7339,No_singletons
300,7594,No_singletons
300,7406,No_singletons
400,10602,All_SGBs
400,10376,All_SGBs
400,10453,All_SGBs
400,10765,All_SGBs
400,10497,All_SGBs
400,10862,All_SGBs
400,10647,All_SGBs
400,10441,All_SGBs
400,10571,All_SGBs
400,10518,All_SGBs
400,8372,No_singletons
400,8335,No_singletons
400,8209,No_singletons
400,8598,No_singletons
400,8221,No_singletons
400,8503,No_singletons
400,8428,No_singletons
400,8398,No_singletons
400,8338,No_singletons
400,8351,No_singletons
500,11941,All_SGBs
500,11798,All_SGBs
500,12459,All_SGBs
500,11986,All_SGBs
500,11862,All_SGBs
500,11800,All_SGBs
500,11840,All_SGBs
