SGB,Database,Host,Mapping_rate
TP20200825-WDL45_DT2009055600-1,All_SGBs,Tibetan antelope,83.96
TP20200825-WDL19_DT2009055595-1,All_SGBs,Tibetan antelope,79.32
TP20200815-DZC49_DT2009055519-1,All_SGBs,Tibetan antelope,85.34
TP20200824-WDL78_DT2009055587-1,All_SGBs,Tibetan antelope,84
TP20200824-WDL74_DT2009055583-1,All_SGBs,Tibetan antelope,82.78
TP20200824-WDL70_DT2009055579-1,All_SGBs,Tibetan antelope,80.7
TP20200825-WDL78_DT2009055609-1,All_SGBs,Tibetan antelope,84.36
TP20200814-DZC134_DT2009055462-1,All_SGBs,Tibetan antelope,84.54
TP20200824-WDL75_DT2009055584-1,All_SGBs,Tibetan antelope,82.1
TP20200815-DZC68_DT2009055538-1,All_SGBs,Tibetan antelope,87.48
TP20200823-QMN43_DT2009055556-1,All_SGBs,Tibetan antelope,82.56
TP20200814-DZC110_DT2009055438-1,All_SGBs,Tibetan antelope,85.41
TP20200824-WDL12_DT2009055564-1,All_SGBs,Tibetan antelope,75.95
TP20200815-DZC20_DT2009055490-1,All_SGBs,Tibetan antelope,86.32
TP20200824-WDL54_DT2009055572-1,All_SGBs,Tibetan antelope,80.4
TP20200825-WDL68_DT2009055607-1,All_SGBs,Tibetan antelope,83.55
TP20200825-WDL101_DT2009055615-1,All_SGBs,Tibetan antelope,80.97
TP20200825-WDL7_DT2009055593-1,All_SGBs,Tibetan antelope,84.86
TP20200815-DZC71_DT2009055541-1,All_SGBs,Tibetan antelope,84.61
TP20200825-WDL82_DT2009055611-1,All_SGBs,Tibetan antelope,83.86
TP20200815-DZC73_DT2009055543-1,All_SGBs,Tibetan antelope,85.5
TP20200815-DZC57_DT2009055527-1,All_SGBs,Tibetan antelope,85.94
TP20200824-WDL72_DT2009055581-1,All_SGBs,Tibetan antelope,80.06
TP20200824-WDL18_DT2009055565-1,All_SGBs,Tibetan antelope,83.21
TP20200814-DZC117_DT2009055445-1,All_SGBs,Tibetan antelope,85.82
TP20200815-DZC48_DT2009055518-1,All_SGBs,Tibetan antelope,86.88
TP20200824-WDL65_DT2009055576-1,All_SGBs,Tibetan antelope,78.12
TP20200814-DZC109_DT2009055437-1,All_SGBs,Tibetan antelope,86.22
TP20200814-DZC114_DT2009055442-1,All_SGBs,Tibetan antelope,49.42
TP20200824-WDL49_DT2009055571-1,All_SGBs,Tibetan antelope,82.8
TP20200814-DZC142_DT2009055470-1,All_SGBs,Tibetan antelope,83.87
TP20200815-DZC30_DT2009055500-1,All_SGBs,Tibetan antelope,85.9
TP20200824-WDL1_DT2009055561-1,All_SGBs,Tibetan antelope,82.03
TP20200825-WDL31_DT2009055597-1,All_SGBs,Tibetan antelope,81.12
TP20200825-WDL1_DT2009055592-1,All_SGBs,Tibetan antelope,80.53
TP20200825-WDL51_DT2009055604-1,All_SGBs,Tibetan antelope,81.69
