mash_dist,count,database
0.01,6,Earth
0.011,6,Earth
0.012,10,Earth
0.013000000000000001,13,Earth
0.014,14,Earth
0.015,17,Earth
0.016,21,Earth
0.017,25,Earth
0.018000000000000002,30,Earth
0.019000000000000003,44,Earth
0.02,54,Earth
0.020999999999999998,62,Earth
0.022,73,Earth
0.023,88,Earth
0.024,95,Earth
0.025,106,Earth
0.026000000000000002,117,Earth
0.027000000000000003,134,Earth
0.028000000000000004,147,Earth
0.028999999999999998,156,Earth
0.03,170,Earth
0.031,183,Earth
0.032,192,Earth
0.033,200,Earth
0.034,212,Earth
0.035,223,Earth
0.036000000000000004,236,Earth
0.037,246,Earth
0.038,258,Earth
0.039,266,Earth
0.04,274,Earth
0.041,281,Earth
0.042,291,Earth
0.043000000000000003,301,Earth
0.044000000000000004,305,Earth
0.045000000000000005,310,Earth
0.046000000000000006,315,Earth
0.047,325,Earth
0.048,326,Earth
0.049,329,Earth
0.05,334,Earth
0.051000000000000004,337,Earth
0.052000000000000005,348,Earth
0.053000000000000005,352,Earth
0.054,358,Earth
0.055,361,Earth
0.056,365,Earth
0.057,370,Earth
0.058,379,Earth
0.059000000000000004,386,Earth
0.060000000000000005,390,Earth
0.061000000000000006,400,Earth
0.062000000000000006,403,Earth
0.063,408,Earth
0.064,414,Earth
0.065,420,Earth
0.066,424,Earth
0.067,427,Earth
0.068,434,Earth
0.069,440,Earth
0.06999999999999999,441,Earth
0.071,444,Earth
0.072,450,Earth
0.073,454,Earth
0.074,463,Earth
0.075,465,Earth
0.076,469,Earth
0.077,470,Earth
0.078,475,Earth
0.079,478,Earth
0.08,482,Earth
0.081,486,Earth
0.082,490,Earth
0.08299999999999999,492,Earth
0.08399999999999999,497,Earth
0.08499999999999999,505,Earth
0.086,515,Earth
0.087,523,Earth
0.088,533,Earth
0.089,536,Earth
0.09,544,Earth
0.091,553,Earth
0.092,559,Earth
0.093,562,Earth
0.094,571,Earth
0.095,582,Earth
0.096,590,Earth
0.097,596,Earth
0.09799999999999999,603,Earth
0.09899999999999999,615,Earth
0.09999999999999999,621,Earth
0.10099999999999999,627,Earth
0.102,633,Earth
0.103,637,Earth
0.104,642,Earth
0.105,650,Earth
0.106,661,Earth
0.107,670,Earth
0.108,683,Earth
0.109,695,Earth
0.11,702,Earth
0.111,710,Earth
0.112,719,Earth
0.113,732,Earth
0.114,742,Earth
0.11499999999999999,751,Earth
0.11599999999999999,760,Earth
0.11699999999999999,770,Earth
0.118,777,Earth
0.119,791,Earth
0.12,804,Earth
0.121,813,Earth
0.122,830,Earth
0.123,844,Earth
0.124,860,Earth
0.125,869,Earth
0.126,883,Earth
0.127,900,Earth
0.128,916,Earth
0.129,928,Earth
0.13,953,Earth
0.131,960,Earth
0.132,977,Earth
0.133,986,Earth
0.134,999,Earth
0.135,1008,Earth
0.136,1019,Earth
0.137,1028,Earth
0.138,1047,Earth
0.139,1065,Earth
0.14,1089,Earth
