Sample_ID,Raw_reads_count,Raw_base_count,Read_length,Raw_Q30_ratio,Duplication,Clean_reads_count,Clean_reads_ratio,Clean_Q30_ratio,Clean_bases_count,Clean_bases_ratio,Nohost_reads_count,Nohost_bases_count,Nohost_reads_ratio,Nohost_bases_ratio,contigs,total,min,max,avg,N50,HQ_MAGs_n,MQ_MAGs_n
T1900044953_TA20190006,135981496,20397224400,150,86.93%,1.20%,135976496,100.00%,86.93%,20396474400,100.00%,135919884,20387982600,99.96%,99.96%,2038733,1800142929,200,453155,882,1093,40,87
T1900044951_TA20190004,186023822,27903573300,150,88.07%,1.22%,186015198,100.00%,88.07%,27902279700,100.00%,185930450,27889567500,99.95%,99.95%,2630315,2272568509,200,315715,863,1059,40,134
T1900044948_TA20190001,163530560,24529584000,150,86.62%,1.64%,163522172,99.99%,86.62%,24528325800,99.99%,163488566,24523284900,99.98%,99.98%,2496513,2111025186,200,467373,845,1022,52,88
T1900044954_TA20190008,238522410,35778361500,150,87.63%,1.73%,238513550,100.00%,87.63%,35777032500,100.00%,238083312,35712496800,99.82%,99.82%,2554073,2334919459,200,722387,914,1168,66,132
T1900044950_TA20190003,192067114,28810067100,150,87.56%,1.00%,192059996,100.00%,87.56%,28808999400,100.00%,192006086,28800912900,99.97%,99.97%,2503815,2319824906,200,477425,926,1205,63,135
T1900044949_TA20190002,186489430,27973414500,150,87.65%,1.50%,186480666,100.00%,87.65%,27972099900,100.00%,186435800,27965370000,99.98%,99.98%,2815123,2352499844,200,411194,835,1003,30,91
T1900044952_TA20190005,185390048,27808507200,150,89.05%,1.63%,185381104,100.00%,89.05%,27807165600,100.00%,185265872,27789880800,99.94%,99.94%,2109106,1968713399,200,722495,933,1214,52,108
T1900044990_TA20190052,191966306,28794945900,150,88.77%,1.79%,191959516,100.00%,88.77%,28793927400,100.00%,191943352,28791502800,99.99%,99.99%,2636687,2323233877,200,542619,881,1098,58,96
T1900044981_TA20190043,139433192,20914978800,150,87.43%,2.34%,139429868,100.00%,87.43%,20914480200,100.00%,139412662,20911899300,99.99%,99.99%,2228726,1910153783,200,459175,857,1042,40,96
T1900044989_TA20190051,117499030,17624854500,150,87.23%,1.82%,117495662,100.00%,87.23%,17624349300,100.00%,117481886,17622282900,99.99%,99.99%,1859170,1600462884,200,324980,860,1027,45,71
T1900044980_TA20190042,183714200,27557130000,150,87.95%,2.43%,183708652,100.00%,87.95%,27556297800,100.00%,183658262,27548739300,99.97%,99.97%,2637119,2389737347,200,313887,906,1169,61,133
T1900044987_TA20190049,125088768,18763315200,150,88.41%,1.67%,125085354,100.00%,88.41%,18762803100,100.00%,125073506,18761025900,99.99%,99.99%,2111979,1762106655,200,374112,834,989,35,77
T1900044988_TA20190050,128725656,19308848400,150,87.44%,2.53%,128720136,100.00%,87.44%,19308020400,100.00%,128710990,19306648500,99.99%,99.99%,2053844,1754216264,200,576826,854,1031,42,76
T1900044985_TA20190047,124373030,18655954500,150,87.33%,2.02%,124368824,100.00%,87.33%,18655323600,100.00%,124361946,18654291900,99.99%,99.99%,2249666,1830039644,200,330133,813,938,42,56
T1900044986_TA20190048,120030658,18004598700,150,87.55%,1.59%,120022720,99.99%,87.55%,18003408000,99.99%,120015726,18002358900,99.99%,99.99%,1847985,1612914956,200,323456,872,1055,44,87
T1900044978_TA20190040,165759756,24863963400,150,88.09%,2.01%,165742548,99.99%,88.09%,24861382200,99.99%,165597056,24839558400,99.91%,99.91%,2284694,1912616594,200,579471,837,987,34,78
T1900044962_TA20190024,170088056,25513208400,150,88.56%,3.71%,170074298,99.99%,88.56%,25511144700,99.99%,170019194,25502879100,99.97%,99.97%,2057230,1796644702,200,484493,873,1117,35,96
T1900044968_TA20190030,160402146,24060321900,150,88.19%,1.82%,160391298,99.99%,88.19%,24058694700,99.99%,160354638,24053195700,99.98%,99.98%,2226135,1877549877,200,292646,843,1030,30,98
T1900044957_TA20190013,118876590,17831488500,150,86.59%,2.59%,118868370,99.99%,86.59%,17830255500,99.99%,118827994,17824199100,99.97%,99.97%,1571543,1434980077,200,435006,913,1160,33,75
T1900044959_TA20190016,124739404,18710910600,150,86.76%,2.23%,124731168,99.99%,86.76%,18709675200,99.99%,124718780,18707817000,99.99%,99.99%,1844240,1594614578,200,298313,864,1061,31,89
T1900044956_TA20190011,138747716,20812157400,150,87.00%,2.65%,138735686,99.99%,87.00%,20810352900,99.99%,138671228,20800684200,99.95%,99.95%,1799927,1614789942,200,388437,897,1117,41,80
T1900044958_TA20190014,113284818,16992722700,150,86.46%,1.56%,113267914,99.99%,86.46%,16990187100,99.99%,113226954,16984043100,99.96%,99.96%,1729557,1544484327,200,432933,892,1132,44,73
T1900044966_TA20190028,163563286,24534492900,150,87.12%,2.82%,163546466,99.99%,87.12%,24531969900,99.99%,163536740,24530511000,99.99%,99.99%,2311737,1999661751,200,311329,865,1060,51,104
T1900044961_TA20190021,132382372,19857355800,150,87.43%,2.02%,132370344,99.99%,87.43%,19855551600,99.99%,132232210,19834831500,99.90%,99.90%,2152714,1771332278,200,306747,822,961,47,70
T1900044967_TA20190029,143500366,21525054900,150,87.85%,2.50%,143484858,99.99%,87.85%,21522728700,99.99%,142988058,21448208700,99.65%,99.65%,1738569,1552109542,200,568981,892,1155,26,94
T1900044955_TA20190009,116539948,17480992200,150,86.55%,1.76%,116529644,99.99%,86.55%,17479446600,99.99%,116524728,17478709200,100.00%,100.00%,1874449,1559647012,200,454218,832,981,28,83
T1900044977_TA20190039,117073778,17561066700,150,87.95%,2.72%,117063550,99.99%,87.95%,17559532500,99.99%,116822052,17523307800,99.79%,99.79%,1566910,1354363278,200,335176,864,1086,23,74
T1900044979_TA20190041,173414312,26012146800,150,87.54%,2.82%,173402126,99.99%,87.54%,26010318900,99.99%,171974104,25796115600,99.18%,99.18%,2693497,2259858080,200,460693,839,1004,57,93
T1900044969_TA20190031,149236962,22385544300,150,87.68%,1.76%,149225914,99.99%,87.68%,22383887100,99.99%,149208902,22381335300,99.99%,99.99%,2403745,2013610283,200,329039,837,998,44,85
T1900044965_TA20190027,155793292,23368993800,150,88.48%,2.35%,155778798,99.99%,88.48%,23366819700,99.99%,155572614,23335892100,99.87%,99.87%,1937598,1729232172,200,307287,892,1153,34,80
T1900044960_TA20190018,127355582,19103337300,150,87.17%,2.61%,127347404,99.99%,87.17%,19102110600,99.99%,127343010,19101451500,100.00%,100.00%,1719294,1498972714,200,313875,871,1079,32,85
T1900044993_TA20190055,147279186,22091877900,150,88.84%,2.62%,147273180,100.00%,88.84%,22090977000,100.00%,147257918,22088687700,99.99%,99.99%,2180973,1921651733,200,401693,881,1096,44,92
T1900045007_TA20190069,145619624,21842943600,150,88.43%,2.51%,145613884,100.00%,88.43%,21842082600,100.00%,145599870,21839980500,99.99%,99.99%,2216983,1937751682,200,503564,874,1077,54,88
