SGB,Freq,Host,Type
T1900044535_TS20190001_bin.66,0.898039216,Tibetan antelope,Common
T1900044539_TS20190005_bin.21,0.580392157,Tibetan antelope,Common
T1900044544_TS20190010_bin.168,0.611764706,Tibetan antelope,Common
T1900044544_TS20190010_bin.309,0.584313725,Tibetan antelope,Common
T1900044544_TS20190010_bin.38,0.619607843,Tibetan antelope,Common
T1900044545_TS20190011_bin.115,0.901960784,Tibetan antelope,Common
T1900044545_TS20190011_bin.118,0.988235294,Tibetan antelope,Common
T1900044547_TS20190013_bin.324,0.705882353,Tibetan antelope,Common
T1900044549_TS20190015_bin.196,0.541176471,Tibetan antelope,Common
T1900044550_TS20190016_bin.313,0.596078431,Tibetan antelope,Common
T1900044553_TS20190019_bin.113,0.501960784,Tibetan antelope,Common
T1900044553_TS20190019_bin.133,0.635294118,Tibetan antelope,Common
T1900044555_TS20190021_bin.468,0.933333333,Tibetan antelope,Common
T1900044557_TS20190023_bin.246,0.890196078,Tibetan antelope,Common
T1900044557_TS20190023_bin.30,0.768627451,Tibetan antelope,Common
T1900044574_TS20190040_bin.53,0.949019608,Tibetan antelope,Common
T1900044574_TS20190040_bin.78,0.964705882,Tibetan antelope,Common
T1900044576_TS20190042_bin.192,0.576470588,Tibetan antelope,Common
T1900044577_TS20190043_bin.354,0.992156863,Tibetan antelope,Common
T1900044578_TS20190044_bin.149,0.988235294,Tibetan antelope,Common
T1900044579_TS20190045_bin.99,0.603921569,Tibetan antelope,Common
T1900044581_TS20190047_bin.42,0.521568627,Tibetan antelope,Common
T1900044585_TS20190051_bin.219,0.654901961,Tibetan antelope,Common
T1900044585_TS20190051_bin.225,0.788235294,Tibetan antelope,Common
T1900044586_TS20190052_bin.82,0.682352941,Tibetan antelope,Common
T1900044591_TS20190057_bin.144,0.654901961,Tibetan antelope,Common
T1900044591_TS20190057_bin.184,0.545098039,Tibetan antelope,Common
T1900044591_TS20190057_bin.56,0.505882353,Tibetan antelope,Common
T1900044592_TS20190058_bin.189,0.803921569,Tibetan antelope,Common
T1900044593_TS20190059_bin.140,0.698039216,Tibetan antelope,Common
T1900044595_TS20190061_bin.58,0.596078431,Tibetan antelope,Common
T1900044600_TS20190066_bin.131,0.635294118,Tibetan antelope,Common
T1900044602_TS20190068_bin.74,0.784313725,Tibetan antelope,Common
T1900044605_TS20190071_bin.229,0.670588235,Tibetan antelope,Common
T1900044606_TS20190072_bin.268,0.97254902,Tibetan antelope,Common
T1900044609_TS20190075_bin.104,0.901960784,Tibetan antelope,Common
T1900044609_TS20190075_bin.254,0.592156863,Tibetan antelope,Common
T1900044612_TS20190078_bin.145,0.992156863,Tibetan antelope,Common
T1900044615_TS20190081_bin.79,0.964705882,Tibetan antelope,Common
T1900044621_TS20190087_bin.66,0.705882353,Tibetan antelope,Common
T1900044623_TS20190089_bin.69,0.941176471,Tibetan antelope,Common
T1900044625_TS20190091_bin.267,0.792156863,Tibetan antelope,Common
T1900044625_TS20190091_bin.335,0.82745098,Tibetan antelope,Common
T1900044627_TS20190093_bin.130,0.6,Tibetan antelope,Common
T1900044629_TS20190095_bin.154,0.650980392,Tibetan antelope,Common
T1900044629_TS20190095_bin.543,0.949019608,Tibetan antelope,Common
T1900044632_TS20190098_bin.153,0.560784314,Tibetan antelope,Common
T1900044632_TS20190098_bin.192,0.976470588,Tibetan antelope,Common
T1900044632_TS20190098_bin.226,0.517647059,Tibetan antelope,Common
T1900044633_TS20190099_bin.182,0.988235294,Tibetan antelope,Common
T1900044633_TS20190099_bin.254,0.941176471,Tibetan antelope,Common
T1900044633_TS20190099_bin.300,0.654901961,Tibetan antelope,Common
T1900044635_TS20190101_bin.225,0.709803922,Tibetan antelope,Common
T1900044636_TS20190102_bin.117,0.517647059,Tibetan antelope,Common
T1900044636_TS20190102_bin.13,0.552941176,Tibetan antelope,Common
T1900044638_TS20190104_bin.337,0.91372549,Tibetan antelope,Common
T1900044641_TS20190107_bin.110,0.992156863,Tibetan antelope,Common
T1900044641_TS20190107_bin.27,0.666666667,Tibetan antelope,Common
T1900044642_TS20190108_bin.21,0.952941176,Tibetan antelope,Common
T1900044642_TS20190108_bin.417,0.71372549,Tibetan antelope,Common
T1900044642_TS20190108_bin.433,0.780392157,Tibetan antelope,Common
T1900044642_TS20190108_bin.56,0.533333333,Tibetan antelope,Common
T1900044642_TS20190108_bin.62,0.674509804,Tibetan antelope,Common
T1900044642_TS20190108_bin.76,0.545098039,Tibetan antelope,Common
T1900044643_TS20190109_bin.52,0.705882353,Tibetan antelope,Common
T1900044643_TS20190109_bin.91,0.745098039,Tibetan antelope,Common
T1900044646_TS20190112_bin.161,0.694117647,Tibetan antelope,Common
T1900044646_TS20190112_bin.58,0.709803922,Tibetan antelope,Common
T1900044648_TS20190114_bin.12,0.729411765,Tibetan antelope,Common
T1900044648_TS20190114_bin.179,0.850980392,Tibetan antelope,Common
T1900044648_TS20190114_bin.61,0.811764706,Tibetan antelope,Common
T1900044649_TS20190115_bin.128,0.662745098,Tibetan antelope,Common
T1900044649_TS20190115_bin.71,0.505882353,Tibetan antelope,Common
T1900044650_TS20190116_bin.12,0.682352941,Tibetan antelope,Common
T1900044650_TS20190116_bin.66,0.984313725,Tibetan antelope,Common
T1900044654_TS20190120_bin.67,0.545098039,Tibetan antelope,Common
T1900044657_TS20190123_bin.484,0.996078431,Tibetan antelope,Common
T1900044660_TS20190126_bin.175,0.733333333,Tibetan antelope,Common
T1900044661_TS20190127_bin.241,0.764705882,Tibetan antelope,Common
T1900044661_TS20190127_bin.301,0.807843137,Tibetan antelope,Common
T1900044665_TS20190131_bin.114,0.623529412,Tibetan antelope,Common
T1900044670_TS20190136_bin.132,0.521568627,Tibetan antelope,Common
T1900044670_TS20190136_bin.375,0.545098039,Tibetan antelope,Common
T1900044672_TS20190138_bin.14,0.82745098,Tibetan antelope,Common
T1900044677_TS20190143_bin.426,0.611764706,Tibetan antelope,Common
T1900044680_TS20190146_bin.70,0.576470588,Tibetan antelope,Common
T1900044681_TS20190147_bin.180,0.674509804,Tibetan antelope,Common
T1900044682_TS20190148_bin.122,0.819607843,Tibetan antelope,Common
T1900044687_TS20190153_bin.308,0.960784314,Tibetan antelope,Common
T1900044689_TS20190155_bin.26,0.647058824,Tibetan antelope,Common
T1900044695_TS20190161_bin.177,0.807843137,Tibetan antelope,Common
T1900044705_TS20190171_bin.14,0.988235294,Tibetan antelope,Common
T1900044714_TS20190180_bin.342,0.545098039,Tibetan antelope,Common
T1900044722_TS20190188_bin.121,0.592156863,Tibetan antelope,Common
T1900044722_TS20190188_bin.377,0.874509804,Tibetan antelope,Common
T1900044723_TS20190189_bin.263,0.850980392,Tibetan antelope,Common
T1900044730_TS20190196_bin.89,0.945098039,Tibetan antelope,Common
T1900044732_TS20190198_bin.210,0.898039216,Tibetan antelope,Common
T1900044740_TS20190206_bin.129,0.796078431,Tibetan antelope,Common
T1900044740_TS20190206_bin.187,0.584313725,Tibetan antelope,Common
T1900044743_TS20190209_bin.323,0.549019608,Tibetan antelope,Common
T1900044744_TS20190210_bin.159,0.968627451,Tibetan antelope,Common
T1900044747_TS20190213_bin.40,0.694117647,Tibetan antelope,Common
T1900044748_TS20190414_bin.171,0.803921569,Tibetan antelope,Common
T1900044749_TS20190415_bin.310,0.737254902,Tibetan antelope,Common
T1900044750_TS20190416_bin.518,0.682352941,Tibetan antelope,Common
T1900044750_TS20190416_bin.522,0.537254902,Tibetan antelope,Common
T1900044751_TS20190417_bin.195,0.890196078,Tibetan antelope,Common
T1900044752_TS20190418_bin.215,0.564705882,Tibetan antelope,Common
T1900044752_TS20190418_bin.7,0.729411765,Tibetan antelope,Common
T1900044754_TS20190420_bin.80,0.968627451,Tibetan antelope,Common
T1900044757_TS20190223_bin.192,0.815686275,Tibetan antelope,Common
T1900044757_TS20190223_bin.252,0.843137255,Tibetan antelope,Common
T1900044757_TS20190223_bin.255,0.541176471,Tibetan antelope,Common
T1900044757_TS20190223_bin.390,0.517647059,Tibetan antelope,Common
T1900044757_TS20190223_bin.40,0.6,Tibetan antelope,Common
T1900044757_TS20190223_bin.54,0.568627451,Tibetan antelope,Common
T1900044760_TS20190226_bin.68,0.603921569,Tibetan antelope,Common
T1900044761_TS20190227_bin.90,0.647058824,Tibetan antelope,Common
