sample_ID	group_ID
SGB_19165	Verrucomicrobiota
SGB_19138	Verrucomicrobiota
SGB_19139	Verrucomicrobiota
SGB_19109	Verrucomicrobiota
SGB_19234	Verrucomicrobiota
SGB_19231	Verrucomicrobiota
SGB_19119	Verrucomicrobiota
SGB_19116	Verrucomicrobiota
SGB_19235	Verrucomicrobiota
SGB_19232	Verrucomicrobiota
SGB_19198	Verrucomicrobiota
SGB_19124	Verrucomicrobiota
SGB_19238	Verrucomicrobiota
SGB_19225	Verrucomicrobiota
SGB_19112	Verrucomicrobiota
SGB_19177	Verrucomicrobiota
SGB_19211	Verrucomicrobiota
SGB_19125	Verrucomicrobiota
SGB_19213	Verrucomicrobiota
SGB_19183	Verrucomicrobiota
SGB_19159	Verrucomicrobiota
SGB_19127	Verrucomicrobiota
SGB_19220	Verrucomicrobiota
SGB_19123	Verrucomicrobiota
SGB_19156	Verrucomicrobiota
SGB_19251	Verrucomicrobiota
SGB_19148	Verrucomicrobiota
SGB_19203	Verrucomicrobiota
SGB_19144	Verrucomicrobiota
SGB_19178	Verrucomicrobiota
SGB_19145	Verrucomicrobiota
SGB_19241	Verrucomicrobiota
SGB_19107	Verrucomicrobiota
SGB_19249	Verrucomicrobiota
SGB_19106	Verrucomicrobiota
SGB_19132	Verrucomicrobiota
SGB_19239	Verrucomicrobiota
SGB_19118	Verrucomicrobiota
SGB_19245	Verrucomicrobiota
SGB_19226	Verrucomicrobiota
SGB_19110	Verrucomicrobiota
SGB_19227	Verrucomicrobiota
SGB_18850	Verrucomicrobiota
SGB_18829	Verrucomicrobiota
SGB_18856	Verrucomicrobiota
SGB_18847	Verrucomicrobiota
SGB_18807	Verrucomicrobiota
SGB_18772	Verrucomicrobiota
SGB_18801	Verrucomicrobiota
SGB_18812	Verrucomicrobiota
SGB_18798	Verrucomicrobiota
SGB_18793	Verrucomicrobiota
SGB_18823	Verrucomicrobiota
SGB_18848	Verrucomicrobiota
SGB_18809	Verrucomicrobiota
SGB_18838	Verrucomicrobiota
SGB_18782	Verrucomicrobiota
SGB_18836	Verrucomicrobiota
SGB_18806	Verrucomicrobiota
SGB_2661	Bacteroidota
SGB_2694	Bacteroidota
SGB_2671	Bacteroidota
SGB_2673	Bacteroidota
SGB_2628	Bacteroidota
SGB_2382	Bacteroidota
SGB_2207	Bacteroidota
SGB_2572	Bacteroidota
SGB_2392	Bacteroidota
SGB_2648	Bacteroidota
SGB_2491	Bacteroidota
SGB_2656	Bacteroidota
SGB_2619	Bacteroidota
SGB_2534	Bacteroidota
SGB_2665	Bacteroidota
SGB_2691	Bacteroidota
SGB_2574	Bacteroidota
SGB_2714	Bacteroidota
SGB_2669	Bacteroidota
SGB_2208	Bacteroidota
SGB_2403	Bacteroidota
SGB_2640	Bacteroidota
SGB_2193	Bacteroidota
SGB_2561	Bacteroidota
SGB_2222	Bacteroidota
SGB_2192	Bacteroidota
SGB_2684	Bacteroidota
SGB_2367	Bacteroidota
SGB_2202	Bacteroidota
SGB_2384	Bacteroidota
SGB_2175	Bacteroidota
SGB_2177	Bacteroidota
SGB_2570	Bacteroidota
SGB_2181	Bacteroidota
SGB_2237	Bacteroidota
SGB_2562	Bacteroidota
SGB_2369	Bacteroidota
SGB_2512	Bacteroidota
SGB_2581	Bacteroidota
SGB_2568	Bacteroidota
SGB_2696	Bacteroidota
SGB_2211	Bacteroidota
SGB_2204	Bacteroidota
SGB_2354	Bacteroidota
SGB_2347	Bacteroidota
