SGB,Database,Host,Mapping_rate
TP20200825-WDL45_DT2009055600-1,Earth,TAN,38.26
TP20200825-WDL19_DT2009055595-1,Earth,TAN,35.26
TP20200815-DZC49_DT2009055519-1,Earth,TAN,36.46
TP20200824-WDL78_DT2009055587-1,Earth,TAN,38.25
TP20200824-WDL74_DT2009055583-1,Earth,TAN,37.46
TP20200824-WDL70_DT2009055579-1,Earth,TAN,35.8
TP20200825-WDL78_DT2009055609-1,Earth,TAN,40.82
TP20200814-DZC134_DT2009055462-1,Earth,TAN,36.81
TP20200824-WDL75_DT2009055584-1,Earth,TAN,35.81
TP20200815-DZC68_DT2009055538-1,Earth,TAN,38.34
TP20200823-QMN43_DT2009055556-1,Earth,TAN,36.69
TP20200814-DZC110_DT2009055438-1,Earth,TAN,36.4
TP20200824-WDL12_DT2009055564-1,Earth,TAN,36.49
TP20200815-DZC20_DT2009055490-1,Earth,TAN,38.66
TP20200824-WDL54_DT2009055572-1,Earth,TAN,36.31
TP20200825-WDL68_DT2009055607-1,Earth,TAN,38.81
TP20200825-WDL101_DT2009055615-1,Earth,TAN,36.94
TP20200825-WDL7_DT2009055593-1,Earth,TAN,37.55
TP20200815-DZC71_DT2009055541-1,Earth,TAN,35.25
TP20200825-WDL82_DT2009055611-1,Earth,TAN,38.09
TP20200815-DZC73_DT2009055543-1,Earth,TAN,39.63
TP20200815-DZC57_DT2009055527-1,Earth,TAN,39.88
TP20200824-WDL72_DT2009055581-1,Earth,TAN,36.61
TP20200824-WDL18_DT2009055565-1,Earth,TAN,37.64
TP20200814-DZC117_DT2009055445-1,Earth,TAN,38.37
TP20200815-DZC48_DT2009055518-1,Earth,TAN,40.58
TP20200824-WDL65_DT2009055576-1,Earth,TAN,36.3
TP20200814-DZC109_DT2009055437-1,Earth,TAN,39.01
TP20200814-DZC114_DT2009055442-1,Earth,TAN,43.1
TP20200824-WDL49_DT2009055571-1,Earth,TAN,37.85
TP20200814-DZC142_DT2009055470-1,Earth,TAN,35.61
TP20200815-DZC30_DT2009055500-1,Earth,TAN,38.5
TP20200824-WDL1_DT2009055561-1,Earth,TAN,36.61
TP20200825-WDL31_DT2009055597-1,Earth,TAN,37.09
TP20200825-WDL1_DT2009055592-1,Earth,TAN,36.1
TP20200825-WDL51_DT2009055604-1,Earth,TAN,36.56
TP20200815-DZC50_DT2009055520-1,Earth,TAN,41.93
TP20200815-DZC13_DT2009055483-1,Earth,TAN,37.74
TP20200815-DZC38_DT2009055508-1,Earth,TAN,43.75
TP20200825-WDL50_DT2009055603-1,Earth,TAN,37.4
TP20200824-WDL69_DT2009055578-1,Earth,TAN,36.77
TP20200815-DZC28_DT2009055498-1,Earth,TAN,39.07
TP20200824-WDL28_DT2009055566-1,Earth,TAN,39.32
TP20200825-WDL96_DT2009055614-1,Earth,TAN,37.93
TP20200815-DZC22_DT2009055492-1,Earth,TAN,38.22
TP20200815-DZC17_DT2009055487-1,Earth,TAN,40.76
TP20200825-WDL87_DT2009055612-1,Earth,TAN,36.7
TP20200815-DZC70_DT2009055540-1,Earth,TAN,39.3
TP20200825-WDL13_DT2009055594-1,Earth,TAN,39.95
TP20200815-DZC19_DT2009055489-1,Earth,TAN,40.98
TP20200824-WDL34_DT2009055567-1,Earth,TAN,37.26
TP20200814-DZC115_DT2009055443-1,Earth,TAN,39.16
TP20200825-WDL48_DT2009055601-1,Earth,TAN,41.24
TP20200815-DZC15_DT2009055485-1,Earth,TAN,37.26
TP20200824-WDL73_DT2009055582-1,Earth,TAN,36.54
TP20200825-WDL49_DT2009055602-1,Earth,TAN,36.56
TP20200815-DZC9_DT2009055479-1,Earth,TAN,40.23
TP20200815-DZC58_DT2009055528-1,Earth,TAN,38.83
TP20200824-WDL9_DT2009055563-1,Earth,TAN,38.5
TP20200815-DZC66_DT2009055536-1,Earth,TAN,38.25
TP20200825-WDL119_DT2009055619-1,Earth,TAN,36.98
TP20200823-QMN23_DT2009055554-1,Earth,TAN,38.16
TP20200815-DZC36_DT2009055506-1,Earth,TAN,38.22
TP20200815-DZC35_DT2009055505-1,Earth,TAN,40.49
