mash_dist,count,database
0.01,6,Earth
0.011,6,Earth
0.012,8,Earth
0.013,11,Earth
0.014,13,Earth
0.015,15,Earth
0.016,19,Earth
0.017,24,Earth
0.018,29,Earth
0.019,39,Earth
0.02,48,Earth
0.021,55,Earth
0.022,67,Earth
0.023,77,Earth
0.024,82,Earth
0.025,92,Earth
0.026,99,Earth
0.027,115,Earth
0.028,125,Earth
0.029,137,Earth
0.03,149,Earth
0.031,164,Earth
0.032,170,Earth
0.033,176,Earth
0.034,186,Earth
0.035,197,Earth
0.036,210,Earth
0.037,219,Earth
0.038,229,Earth
0.039,238,Earth
0.04,247,Earth
0.041,252,Earth
0.042,255,Earth
0.043,263,Earth
0.044,267,Earth
0.045,269,Earth
0.046,273,Earth
0.047,276,Earth
0.048,280,Earth
0.049,283,Earth
0.05,287,Earth
0.051,291,Earth
0.052,298,Earth
0.053,299,Earth
0.054,301,Earth
0.055,305,Earth
0.056,311,Earth
0.057,317,Earth
0.058,321,Earth
0.059,325,Earth
0.06,329,Earth
0.061,338,Earth
0.062,342,Earth
0.063,346,Earth
0.064,352,Earth
0.065,355,Earth
0.066,360,Earth
0.067,362,Earth
0.068,367,Earth
0.069,370,Earth
0.07,372,Earth
0.071,375,Earth
0.072,378,Earth
0.073,383,Earth
0.074,389,Earth
0.075,389,Earth
0.076,392,Earth
0.077,394,Earth
0.078,395,Earth
0.079,401,Earth
0.08,405,Earth
0.081,408,Earth
0.082,410,Earth
0.083,414,Earth
0.084,421,Earth
0.085,427,Earth
0.086,433,Earth
0.087,438,Earth
0.088,443,Earth
0.089,449,Earth
0.09,457,Earth
0.091,461,Earth
0.092,463,Earth
0.093,471,Earth
0.094,475,Earth
0.095,486,Earth
0.096,491,Earth
0.097,498,Earth
0.098,501,Earth
0.099,506,Earth
0.1,511,Earth
0.101,519,Earth
0.102,524,Earth
0.103,528,Earth
0.104,531,Earth
0.105,535,Earth
0.106,541,Earth
0.107,551,Earth
0.108,561,Earth
0.109,571,Earth
0.11,578,Earth
0.111,588,Earth
0.112,599,Earth
0.113,608,Earth
0.114,614,Earth
0.115,628,Earth
0.116,634,Earth
0.117,647,Earth
0.118,651,Earth
0.119,662,Earth
0.12,671,Earth
0.121,680,Earth
0.122,688,Earth
0.123,701,Earth
0.124,714,Earth
0.125,726,Earth
0.126,743,Earth
0.127,752,Earth
0.128,767,Earth
0.129,778,Earth
0.13,792,Earth
0.131,800,Earth
0.132,808,Earth
0.133,820,Earth
0.134,831,Earth
0.135,840,Earth
0.136,852,Earth
0.137,865,Earth
0.138,881,Earth
0.139,900,Earth
0.14,914,Earth
0.141,930,Earth
0.142,946,Earth
0.143,969,Earth
0.144,981,Earth
0.145,994,Earth
0.146,1013,Earth
0.147,1028,Earth
0.148,1046,Earth
0.149,1071,Earth
0.15,1092,Earth
0.151,1104,Earth
0.152,1130,Earth
0.153,1145,Earth
0.154,1168,Earth
0.155,1187,Earth
0.156,1205,Earth
