GTDB_phylum,GTDB_freq,QTP_novel_freq,improve_rate
p__Bacillota_A,11264,9204,81.71164773
p__Elusimicrobiota,258,77,29.84496124
p__Methanobacteriota,229,52,22.70742358
p__Verrucomicrobiota,1722,331,19.22183508
p__Fibrobacterota,148,23,15.54054054
p__Spirochaetota,919,129,14.03699674
p__Bacteroidota,11000,1485,13.5
p__Riflebacteria,25,3,12
p__Deferribacterota,30,2,6.666666667
p__Bacillota_C,468,30,6.41025641
p__Synergistota,144,9,6.25
p__Bacillota,5292,305,5.763416478
p__Cyanobacteriota,1830,105,5.737704918
p__Patescibacteria,3374,191,5.660936574
p__Bacillota_B,395,20,5.063291139
p__Thermoplasmatota,814,18,2.211302211
p__Myxococcota,664,13,1.957831325
p__Eremiobacterota,117,2,1.709401709
p__Pseudomonadota,21693,360,1.659521505
p__Planctomycetota,1664,25,1.502403846
p__Desulfobacterota,1244,14,1.125401929
p__Halobacteriota,927,9,0.970873786
p__Armatimonadota,187,1,0.534759358
p__Actinomycetota,8813,44,0.499262453
p__Chlamydiota,254,1,0.393700787
p__Campylobacterota,682,2,0.293255132
p__Chloroflexota,1910,1,0.052356021
