"","Sample_ID","PCoA1","PCoA2","ID","Host","SampleDate","SITE","stomach","Latitude","Longitude","Altitude"
"1","T1900044535_TS20190001",0.283862892839164,-0.167012330836547,324,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"2","T1900044536_TS20190002",0.308667326519916,-0.187446347220108,325,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"3","T1900044537_TS20190003",0.284354208665604,-0.13510467700084,326,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"4","T1900044538_TS20190004",0.308744357596539,-0.190158767246894,327,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"5","T1900044539_TS20190005",0.301697367772045,-0.195511969606707,328,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"6","T1900044540_TS20190006",0.280210680867317,-0.14174198271602,329,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"7","T1900044541_TS20190007",0.282961253253281,-0.165736007449609,330,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"8","T1900044542_TS20190008",0.289056605856258,-0.134046712037577,331,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"9","T1900044543_TS20190009",0.292915831066664,-0.167326870600101,332,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"10","T1900044544_TS20190010",0.286466569110858,-0.187758537517516,333,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"11","T1900044545_TS20190011",0.268077206223086,-0.178080495645513,334,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"12","T1900044546_TS20190012",0.290039476906674,-0.161011791886019,335,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"13","T1900044547_TS20190013",0.315694924161867,-0.187230599627283,336,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"14","T1900044548_TS20190014",0.304364474960866,-0.188802729565818,337,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"15","T1900044549_TS20190015",0.271531477247345,-0.151954144236814,338,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"16","T1900044550_TS20190016",0.308569505894367,-0.180196484632786,339,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"17","T1900044551_TS20190017",0.286947151385675,-0.158143953071741,340,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"18","T1900044552_TS20190018",0.293771464208265,-0.156477315469249,341,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"19","T1900044553_TS20190019",0.296375918542273,-0.172698002995586,342,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"20","T1900044554_TS20190020",0.284774289040732,-0.166817303426658,343,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"21","T1900044555_TS20190021",0.304010816193611,-0.180523035525763,344,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"22","T1900044556_TS20190022",0.324503647580963,-0.208898506338718,345,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"23","T1900044557_TS20190023",0.30207780003859,-0.156259927764792,346,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"24","T1900044558_TS20190024",0.315788639912576,-0.189685512896233,347,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"25","T1900044559_TS20190025",0.295687262088577,-0.168061725984902,348,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"26","T1900044560_TS20190026",0.301605218793475,-0.171694215496946,349,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
"27","T1900044561_TS20190027",0.285266637465137,-0.185629319478644,350,"TS","2019.6.10","AR","Ruminant",29.6975,86.27333333,4900
