Sample_ID,PCoA1,PCoA2
T1900044948_TA20190001,-0.058566784557580534,-0.43131187868568666
T1900044949_TA20190002,-0.058802935562636716,-0.442992081157722
T1900044950_TA20190003,-0.05791474162031095,-0.42041045055601617
T1900044951_TA20190004,-0.05778379319057272,-0.42309373318204413
T1900044952_TA20190005,-0.05607539924777877,-0.3930486426130567
T1900044953_TA20190006,-0.057796211323460564,-0.42058770456404176
T1900044954_TA20190008,-0.05565914951804421,-0.38926576417475484
T1900044955_TA20190009,-0.0591879620351052,-0.4401053699776592
T1900044956_TA20190011,-0.05586224888971401,-0.39099878256160964
T1900044957_TA20190013,-0.05593821868540988,-0.39118671826696744
T1900044958_TA20190014,-0.05929907935650505,-0.44265976668349716
T1900044959_TA20190016,-0.05956882133997936,-0.4481940649412916
T1900044960_TA20190018,-0.05957624384168358,-0.4459328460373057
T1900044961_TA20190021,-0.058662826435741985,-0.4324384533206345
T1900044962_TA20190024,-0.057840409878046374,-0.446719766141928
T1900044965_TA20190027,-0.060440052700452496,-0.4697052169124684
T1900044966_TA20190028,-0.06091809656885343,-0.47740313486384534
T1900044967_TA20190029,-0.058214929347943103,-0.45673514150740385
T1900044968_TA20190030,-0.06172048646446971,-0.4853359271904639
T1900044969_TA20190031,-0.061092800779957636,-0.4872874009922594
T1900044977_TA20190039,-0.05918652893665432,-0.45783961352813995
T1900044978_TA20190040,-0.06268244055488023,-0.48785763703146867
T1900044979_TA20190041,-0.06216206602824762,-0.49145579566285597
T1900044980_TA20190042,-0.06229743599324077,-0.4960861009524258
T1900044981_TA20190043,-0.06178100810203551,-0.498041715478097
T1900044985_TA20190047,-0.06172990252411803,-0.4906398598016697
T1900044986_TA20190048,-0.06243255437110925,-0.4785707771983268
T1900044987_TA20190049,-0.06253721766142487,-0.4892210952463274
T1900044988_TA20190050,-0.06264105819392374,-0.4870137450244319
T1900044989_TA20190051,-0.06203513364246722,-0.47310053510365907
T1900044990_TA20190052,-0.06288613332952761,-0.49097492175055685
T1900044991_TA20190053,-0.062095917452493835,-0.4734013460805889
T1900044992_TA20190054,-0.06348893445959128,-0.49815917682302324
T1900044993_TA20190055,-0.06305490909340924,-0.48880065941740347
T1900044994_TA20190056,-0.06307244386762359,-0.49009191701979643
T1900044995_TA20190057,-0.06265457413476246,-0.4788225621201418
T1900044996_TA20190058,-0.062481015041632865,-0.493543463855662
T1900044997_TA20190059,-0.06290451848334651,-0.49245067187016645
T1900044998_TA20190060,-0.06243182438751986,-0.4805492528771302
T1900044999_TA20190061,-0.06259387307642364,-0.49765160250480645
