sample,scaffold,gene,coverage,breadth,pNpS_variants
T1900044535_TS20190001,SGB_6458_k141_2539370,SGB_6458_k141_2539370_2,6.953900709219858,1.0,0.3766503981505248
T1900044535_TS20190001,SGB_6458_k141_5027942,SGB_6458_k141_5027942_3,8.686666666666667,1.0,0.4267241379310343
T1900044535_TS20190001,SGB_6458_k141_5027942,SGB_6458_k141_5027942_5,3.482419127988748,0.7665260196905767,0.3170639710319856
T1900044535_TS20190001,SGB_6458_k141_3622728,SGB_6458_k141_3622728_1,6.069105691056911,0.9322493224932248,0.1017253205297314
T1900044535_TS20190001,SGB_6458_k141_3622728,SGB_6458_k141_3622728_2,9.584876543209877,0.992283950617284,0.1501076494427557
T1900044535_TS20190001,SGB_6458_k141_3980954,SGB_6458_k141_3980954_2,5.07669616519174,1.0,0.1207052441229655
T1900044535_TS20190001,SGB_6458_k141_3980954,SGB_6458_k141_3980954_5,0.9674479166666666,0.3606770833333333,0.4761768082663605
T1900044535_TS20190001,SGB_6458_k141_2641881,SGB_6458_k141_2641881_54,5.96423658872077,0.9087574507106831,0.076353720296065
T1900044535_TS20190001,SGB_6458_k141_625900,SGB_6458_k141_625900_96,9.917525773195877,1.0,1.0704225352112695
T1900044535_TS20190001,SGB_6458_k141_625900,SGB_6458_k141_625900_97,5.035639412997903,1.0,0.2753363228699547
T1900044535_TS20190001,SGB_6458_k141_625900,SGB_6458_k141_625900_114,2.162857142857143,0.6285714285714286,0.1460304401480876
T1900044535_TS20190001,SGB_6458_k141_625900,SGB_6458_k141_625900_115,7.096846846846847,0.9234234234234234,0.0604124902313888
T1900044535_TS20190001,SGB_6458_k141_625900,SGB_6458_k141_625900_116,1.018222222222222,0.2635555555555555,0.1417555217060156
T1900044536_TS20190002,SGB_6458_k141_2005,SGB_6458_k141_2005_18,2.488717948717949,0.4876923076923077,0.0894865525672366
T1900044536_TS20190002,SGB_6458_k141_2005,SGB_6458_k141_2005_20,1.1988555078683834,0.3786361468764902,0.1001172980059333
T1900044536_TS20190002,SGB_6458_k141_2005,SGB_6458_k141_2005_26,3.303703703703704,0.9185185185185184,0.0405241630056052
T1900044536_TS20190002,SGB_6458_k141_3901869,SGB_6458_k141_3901869_12,4.163888888888889,0.6833333333333333,0.25575298572677
T1900044536_TS20190002,SGB_6458_k141_2494929,SGB_6458_k141_2494929_73,2.855421686746988,0.9265633964429144,0.0755175854327759
T1900044536_TS20190002,SGB_6458_k141_2494929,SGB_6458_k141_2494929_105,3.18660647103085,0.7042889390519187,0.0452221156919145
T1900044536_TS20190002,SGB_6458_k141_2494929,SGB_6458_k141_2494929_114,3.0129032258064514,0.8774193548387097,0.4126034958601652
T1900044536_TS20190002,SGB_6458_k141_2494980,SGB_6458_k141_2494980_1,53.25786163522013,1.0,0.0146484374999999
T1900044536_TS20190002,SGB_6458_k141_3592943,SGB_6458_k141_3592943_10,4.2091254752851714,0.9252217997465144,0.0929139551699204
T1900044536_TS20190002,SGB_6458_k141_3592943,SGB_6458_k141_3592943_18,1.9872084273890145,0.4642588412340105,0.1495754408883087
T1900044536_TS20190002,SGB_6458_k141_3592943,SGB_6458_k141_3592943_52,0.8888888888888888,0.2371615312791783,0.0483091787439615
T1900044536_TS20190002,SGB_6458_k141_3592943,SGB_6458_k141_3592943_61,3.943124550035997,0.8077753779697624,0.0969678153782471
T1900044536_TS20190002,SGB_6458_k141_3249941,SGB_6458_k141_3249941_8,6.069333333333334,0.9342222222222222,0.2030304681964364
T1900044536_TS20190002,SGB_6458_k141_5027942,SGB_6458_k141_5027942_2,2.1064814814814814,0.3333333333333333,0.279324055666004
T1900044536_TS20190002,SGB_6458_k141_5027942,SGB_6458_k141_5027942_3,11.72,1.0,0.7112068965517239
T1900044536_TS20190002,SGB_6458_k141_5027942,SGB_6458_k141_5027942_5,5.836849507735583,0.9338959212376934,0.2254677127338564
T1900044536_TS20190002,SGB_6458_k141_5027942,SGB_6458_k141_5027942_6,1.5351681957186545,0.6269113149847095,0.5478374836173003
T1900044536_TS20190002,SGB_6458_k141_5027942,SGB_6458_k141_5027942_16,2.252308984047019,0.8677581863979849,0.1687971274685802
T1900044536_TS20190002,SGB_6458_k141_5027942,SGB_6458_k141_5027942_20,3.345399698340875,0.8235294117647058,0.0173066751295885
T1900044536_TS20190002,SGB_6458_k141_5027942,SGB_6458_k141_5027942_46,2.810313075506446,0.8864333947206875,0.2932131495227988
T1900044536_TS20190002,SGB_6458_k141_3622728,SGB_6458_k141_3622728_1,5.4986449864498645,0.959349593495935,0.2797446314567615
T1900044536_TS20190002,SGB_6458_k141_3622728,SGB_6458_k141_3622728_2,6.839506172839506,0.8796296296296297,0.1543064648117838
T1900044536_TS20190002,SGB_6458_k141_3622728,SGB_6458_k141_3622728_9,2.201241134751773,0.7327127659574468,0.4400114810562531
T1900044536_TS20190002,SGB_6458_k141_3980954,SGB_6458_k141_3980954_1,5.847154471544715,0.7528455284552845,0.2705882352941172
T1900044536_TS20190002,SGB_6458_k141_3980954,SGB_6458_k141_3980954_2,11.865781710914456,1.0,0.2371752165223183
T1900044536_TS20190002,SGB_6458_k141_3980954,SGB_6458_k141_3980954_39,3.93551912568306,0.9704918032786886,0.1294629898403485
T1900044536_TS20190002,SGB_6458_k141_5045926,SGB_6458_k141_5045926_41,3.598930481283422,0.9732620320855616,0.0405346187554775
T1900044536_TS20190002,SGB_6458_k141_5045926,SGB_6458_k141_5045926_123,4.932006633499171,1.0,0.0162148757177467
T1900044536_TS20190002,SGB_6458_k141_5045926,SGB_6458_k141_5045926_128,5.507122507122507,0.9971509971509972,0.0639395846444304
T1900044536_TS20190002,SGB_6458_k141_5045926,SGB_6458_k141_5045926_132,0.7523163841807909,0.3333333333333333,0.1518278301886813
T1900044536_TS20190002,SGB_6458_k141_1508385,SGB_6458_k141_1508385_1,0.712189226519337,0.2821708103130755,0.4863330369617878
T1900044536_TS20190002,SGB_6458_k141_1508385,SGB_6458_k141_1508385_7,1.8121387283236996,0.7153179190751445,0.2958949781204391
T1900044536_TS20190002,SGB_6458_k141_1508385,SGB_6458_k141_1508385_10,2.020030816640986,0.8151001540832049,0.2988864142538952
T1900044536_TS20190002,SGB_6458_k141_1508385,SGB_6458_k141_1508385_18,2.573870573870574,0.6385836385836385,0.057953749124036
T1900044536_TS20190002,SGB_6458_k141_1508385,SGB_6458_k141_1508385_28,6.655673341185708,1.0,0.2959755476311753
T1900044536_TS20190002,SGB_6458_k141_1508388,SGB_6458_k141_1508388_2,4.257880617035546,0.9161636485580148,0.2381689517912434
T1900044536_TS20190002,SGB_6458_k141_1508388,SGB_6458_k141_1508388_14,3.641884816753927,0.8118673647469459,0.2329796977560674
T1900044536_TS20190002,SGB_6458_k141_3990238,SGB_6458_k141_3990238_2,2.414266117969821,0.6474622770919067,0.0358092144122858
T1900044536_TS20190002,SGB_6458_k141_5055253,SGB_6458_k141_5055253_2,1.3237347294938917,0.4921465968586387,0.0421342252913251
T1900044536_TS20190002,SGB_6458_k141_5443466,SGB_6458_k141_5443466_18,5.950617283950617,1.0,0.040488922841864
T1900044536_TS20190002,SGB_6458_k141_5443466,SGB_6458_k141_5443466_20,2.356521739130435,1.0,0.1452830188679246
T1900044536_TS20190002,SGB_6458_k141_5443466,SGB_6458_k141_5443466_33,0.7279151943462897,0.3168433451118963,0.3252541047693507
T1900044536_TS20190002,SGB_6458_k141_5443466,SGB_6458_k141_5443466_37,6.150183150183151,0.9877899877899878,0.0387620192307691
T1900044536_TS20190002,SGB_6458_k141_5443466,SGB_6458_k141_5443466_56,0.9946524064171124,0.3560606060606061,0.0579320928448105
T1900044536_TS20190002,SGB_6458_k141_5443466,SGB_6458_k141_5443466_64,3.244196843082637,0.7678737233054782,0.0348214285714286
T1900044536_TS20190002,SGB_6458_k141_5443466,SGB_6458_k141_5443466_88,1.2047702152414197,0.4118673647469459,0.1753012048192763
T1900044536_TS20190002,SGB_6458_k141_5443466,SGB_6458_k141_5443466_171,3.810083210964269,0.6519823788546255,0.2156076214787116
T1900044536_TS20190002,SGB_6458_k141_5443466,SGB_6458_k141_5443466_174,5.614814814814815,0.957037037037037,0.0464919695688926
T1900044536_TS20190002,SGB_6458_k141_5443466,SGB_6458_k141_5443466_223,3.218500797448166,0.7791068580542265,0.0499942269945734
T1900044536_TS20190002,SGB_6458_k141_5443466,SGB_6458_k141_5443466_224,7.9592039800995025,1.0,0.0164893107084652
T1900044536_TS20190002,SGB_6458_k141_5443466,SGB_6458_k141_5443466_253,7.412213740458015,1.0,0.2814895947426066
T1900044536_TS20190002,SGB_6458_k141_5443466,SGB_6458_k141_5443466_258,5.582554517133956,1.0,0.0300340287024708
T1900044536_TS20190002,SGB_6458_k141_5443466,SGB_6458_k141_5443466_260,5.7023809523809526,1.0,0.1549738219895287
T1900044536_TS20190002,SGB_6458_k141_516005,SGB_6458_k141_516005_92,1.941786283891547,0.9362041467304624,0.0749913404918602
T1900044536_TS20190002,SGB_6458_k141_516005,SGB_6458_k141_516005_104,0.5463347164591977,0.1081911787305978,0.3192697768762648
T1900044536_TS20190002,SGB_6458_k141_2641881,SGB_6458_k141_2641881_4,1.309992706053975,0.5813274981765135,0.1096553865259238
T1900044536_TS20190002,SGB_6458_k141_2641881,SGB_6458_k141_2641881_7,0.3020492300230387,0.0954892688250272,0.2003181450525837
T1900044536_TS20190002,SGB_6458_k141_2641881,SGB_6458_k141_2641881_17,4.494655004859086,0.999028182701652,0.1490932096161962
T1900044536_TS20190002,SGB_6458_k141_2641881,SGB_6458_k141_2641881_111,3.4375,1.0,0.1405405405405407
