Sample,Coverage,Group
T1900044535_TS20190001,0.095826906,SGB_6458
T1900044536_TS20190002,0.606932435,SGB_6458
T1900044537_TS20190003,0.46154065,SGB_6458
T1900044538_TS20190004,0.1318648,SGB_6458
T1900044539_TS20190005,0.389436037,SGB_6458
T1900044540_TS20190006,0.663475494,SGB_6458
T1900044541_TS20190007,0.085525658,SGB_6458
T1900044542_TS20190008,0.369070129,SGB_6458
T1900044543_TS20190009,0.528522715,SGB_6458
T1900044544_TS20190010,0.058523722,SGB_6458
T1900044545_TS20190011,0.282209179,SGB_6458
T1900044546_TS20190012,0.325872123,SGB_6458
T1900044547_TS20190013,0.892223977,SGB_6458
T1900044548_TS20190014,0.75334244,SGB_6458
T1900044549_TS20190015,0.459507204,SGB_6458
T1900044550_TS20190016,0.648020254,SGB_6458
T1900044551_TS20190017,2.016106227,SGB_6458
T1900044552_TS20190018,0.159281885,SGB_6458
T1900044553_TS20190019,0.335435534,SGB_6458
T1900044554_TS20190020,0.100308199,SGB_6458
T1900044555_TS20190021,0.077772208,SGB_6458
T1900044556_TS20190022,0.269441368,SGB_6458
T1900044557_TS20190023,0.076862548,SGB_6458
T1900044558_TS20190024,0.245445054,SGB_6458
T1900044559_TS20190025,0.048360983,SGB_6458
T1900044560_TS20190026,0.287382638,SGB_6458
T1900044561_TS20190027,0.221917422,SGB_6458
T1900044562_TS20190028,0.057555664,SGB_6458
T1900044563_TS20190029,0.356910255,SGB_6458
T1900044564_TS20190030,0.309070361,SGB_6458
T1900044565_TS20190031,0.263305091,SGB_6458
T1900044566_TS20190032,0.389973597,SGB_6458
T1900044567_TS20190033,0.310806202,SGB_6458
T1900044568_TS20190034,0.136705091,SGB_6458
T1900044569_TS20190035,0.070228392,SGB_6458
T1900044570_TS20190036,0.490875883,SGB_6458
T1900044571_TS20190037,0.340172506,SGB_6458
T1900044572_TS20190038,0.558198978,SGB_6458
T1900044573_TS20190039,1.055110438,SGB_6458
T1900044574_TS20190040,0.009729247,SGB_6458
T1900044575_TS20190041,0.572330157,SGB_6458
T1900044576_TS20190042,0.000535314,SGB_6458
T1900044577_TS20190043,0.337261219,SGB_6458
T1900044578_TS20190044,0.727046895,SGB_6458
T1900044579_TS20190045,0.001826807,SGB_6458
T1900044580_TS20190046,0.087741785,SGB_6458
T1900044581_TS20190047,0.729729082,SGB_6458
T1900044582_TS20190048,0.125622958,SGB_6458
T1900044583_TS20190049,0.571439588,SGB_6458
T1900044584_TS20190050,0.034410239,SGB_6458
T1900044585_TS20190051,0.016407576,SGB_6458
T1900044586_TS20190052,0.010715648,SGB_6458
T1900044587_TS20190053,0.009423781,SGB_6458
T1900044588_TS20190054,0.009066655,SGB_6458
T1900044589_TS20190055,0.274081758,SGB_6458
T1900044590_TS20190056,0.08704101,SGB_6458
T1900044591_TS20190057,0.000859498,SGB_6458
T1900044592_TS20190058,0.007788264,SGB_6458
T1900044593_TS20190059,0.034939189,SGB_6458
T1900044594_TS20190060,0.21110669,SGB_6458
T1900044595_TS20190061,0.013065791,SGB_6458
T1900044596_TS20190062,0.012621068,SGB_6458
T1900044597_TS20190063,0.010615698,SGB_6458
T1900044598_TS20190064,0.180881262,SGB_6458
T1900044599_TS20190065,0.011705044,SGB_6458
T1900044600_TS20190066,0.410089442,SGB_6458
T1900044601_TS20190067,0.228127444,SGB_6458
T1900044602_TS20190068,0.182260727,SGB_6458
T1900044604_TS20190070,0.010775169,SGB_6458
T1900044605_TS20190071,0.001485778,SGB_6458
T1900044606_TS20190072,0.016751974,SGB_6458
T1900044607_TS20190073,0.067253466,SGB_6458
T1900044608_TS20190074,0.120377625,SGB_6458
T1900044609_TS20190075,0.00371351,SGB_6458
T1900044610_TS20190076,0.066470335,SGB_6458
T1900044611_TS20190077,0.003402429,SGB_6458
T1900044612_TS20190078,0.011950989,SGB_6458
T1900044614_TS20190080,0.441293035,SGB_6458
T1900044615_TS20190081,0.463511206,SGB_6458
T1900044616_TS20190082,0.370237339,SGB_6458
T1900044620_TS20190086,0.004401932,SGB_6458
T1900044621_TS20190087,0.100158086,SGB_6458
T1900044622_TS20190088,0.293865184,SGB_6458
T1900044623_TS20190089,0.006874112,SGB_6458
T1900044625_TS20190091,0.60721544,SGB_6458
T1900044627_TS20190093,0.192736793,SGB_6458
T1900044629_TS20190095,0.14751732,SGB_6458
T1900044630_TS20190096,0.026854069,SGB_6458
T1900044631_TS20190097,1.989786724,SGB_6458
T1900044632_TS20190098,0.033185754,SGB_6458
T1900044633_TS20190099,0.14774043,SGB_6458
T1900044634_TS20190100,0.099360355,SGB_6458
T1900044635_TS20190101,0.712227668,SGB_6458
T1900044636_TS20190102,0.056570386,SGB_6458
T1900044637_TS20190103,0.034399757,SGB_6458
T1900044638_TS20190104,0.659541494,SGB_6458
T1900044639_TS20190105,0.383739617,SGB_6458
T1900044640_TS20190106,0.226977454,SGB_6458
T1900044641_TS20190107,0.242460021,SGB_6458
T1900044642_TS20190108,0.222858153,SGB_6458
T1900044643_TS20190109,0.027628591,SGB_6458
T1900044644_TS20190110,0.074194211,SGB_6458
