Pathway	Bovinae	Caprinae	Function
Biosynthesis of secondary metabolites	8	0	Metabolism
Ribosome	8	8	Genetic Information Processing
Biosynthesis of amino acids	5	0	Metabolism
Microbial metabolism in diverse environments	5	0	Metabolism
Carbon metabolism	4	0	Metabolism
Bacterial secretion system	3	0	Environmental Information Processing
Glycolysis / Gluconeogenesis	3	0	Metabolism
Protein export	3	0	Genetic Information Processing
Two-component system	3	0	Environmental Information Processing
ABC transporters	0	3	Environmental Information Processing
Biosynthesis of cofactors	0	3	Metabolism
