SGB Name	Co.phylogeny.rate	Host.swap.rate
SGB_13467	0.667 	0.333 
SGB_5012	0.667 	0.333 
SGB_2422	0.455 	0.545 
SGB_10604	0.609 	0.391 
SGB_11521	0.609 	0.391 
SGB_13142	0.609 	0.391 
SGB_13372	0.609 	0.391 
SGB_13564	0.609 	0.391 
SGB_13599	0.609 	0.391 
SGB_1449	0.609 	0.391 
SGB_1788	0.609 	0.391 
SGB_2772	0.609 	0.391 
SGB_4399	0.609 	0.391 
SGB_4857	0.609 	0.391 
SGB_618	0.609 	0.391 
SGB_6412	0.609 	0.391 
SGB_6635	0.609 	0.391 
SGB_7322	0.609 	0.391 
SGB_7679	0.609 	0.391 
SGB_8135	0.609 	0.391 
SGB_8893	0.609 	0.391 
SGB_10050	0.667 	0.333 
SGB_10051	0.667 	0.333 
SGB_10259	0.667 	0.333 
SGB_10316	0.667 	0.333 
SGB_10350	0.667 	0.333 
SGB_10465	0.667 	0.333 
SGB_10764	0.667 	0.333 
SGB_10936	0.667 	0.333 
SGB_11014	0.667 	0.333 
SGB_11206	0.667 	0.333 
SGB_11331	0.667 	0.333 
SGB_11608	0.667 	0.333 
SGB_11711	0.667 	0.333 
SGB_11842	0.667 	0.333 
SGB_12057	0.667 	0.333 
SGB_12075	0.667 	0.333 
SGB_12513	0.667 	0.333 
SGB_12693	0.667 	0.333 
SGB_12874	0.667 	0.333 
SGB_12940	0.667 	0.333 
SGB_1298	0.667 	0.333 
SGB_12996	0.667 	0.333 
SGB_13108	0.667 	0.333 
SGB_13110	0.667 	0.333 
SGB_13113	0.667 	0.333 
SGB_13233	0.667 	0.333 
SGB_13406	0.667 	0.333 
SGB_13463	0.667 	0.333 
SGB_13686	0.667 	0.333 
SGB_13747	0.667 	0.333 
SGB_13922	0.667 	0.333 
SGB_14009	0.667 	0.333 
SGB_14010	0.667 	0.333 
SGB_1904	0.667 	0.333 
SGB_2187	0.667 	0.333 
SGB_2357	0.667 	0.333 
SGB_2432	0.667 	0.333 
SGB_2898	0.667 	0.333 
SGB_4483	0.667 	0.333 
SGB_4542	0.667 	0.333 
SGB_4543	0.667 	0.333 
SGB_4573	0.667 	0.333 
SGB_4711	0.667 	0.333 
SGB_4731	0.667 	0.333 
SGB_4877	0.667 	0.333 
SGB_4892	0.667 	0.333 
SGB_4975	0.667 	0.333 
SGB_5057	0.667 	0.333 
SGB_5067	0.667 	0.333 
SGB_566	0.667 	0.333 
SGB_617	0.667 	0.333 
SGB_630	0.667 	0.333 
SGB_6326	0.667 	0.333 
SGB_6435	0.667 	0.333 
SGB_6684	0.667 	0.333 
SGB_6721	0.667 	0.333 
SGB_6742	0.667 	0.333 
SGB_6803	0.667 	0.333 
SGB_7092	0.667 	0.333 
SGB_7578	0.667 	0.333 
SGB_7682	0.667 	0.333 
SGB_7730	0.667 	0.333 
SGB_7903	0.667 	0.333 
SGB_8103	0.667 	0.333 
SGB_8327	0.667 	0.333 
SGB_8407	0.667 	0.333 
SGB_8474	0.667 	0.333 
SGB_8528	0.667 	0.333 
SGB_8621	0.667 	0.333 
SGB_8884	0.667 	0.333 
SGB_9047	0.667 	0.333 
SGB_9267	0.667 	0.333 
SGB_9576	0.667 	0.333 
SGB_9707	0.667 	0.333 
SGB_9804	0.667 	0.333 
SGB_9858	0.667 	0.333 
SGB_9888	0.667 	0.333 
SGB_4765	0.758 	0.242 
SGB_5081	0.758 	0.242 
SGB_5098	0.758 	0.242 
SGB_5212	0.758 	0.242 
SGB_7752	0.758 	0.242 
SGB_9033	0.758 	0.242 
SGB_10518	0.600 	0.400 
SGB_5224	0.600 	0.400 
SGB_7109	0.273 	0.727 
SGB_8740	0.273 	0.727 
SGB_6964	0.733 	0.267 
SGB_12798	0.895 	0.105 
SGB_8823	0.895 	0.105 
SGB_3045	0.762 	0.238 
SGB_5305	0.762 	0.238 
SGB_645	0.636 	0.364 
SGB_11665	0.705 	0.295 
SGB_6408	0.705 	0.295 
SGB_8960	0.705 	0.295 
SGB_10270	0.633 	0.367 
SGB_10496	0.633 	0.367 
SGB_1101	0.633 	0.367 
SGB_11732	0.633 	0.367 
SGB_12028	0.633 	0.367 
SGB_12072	0.633 	0.367 
SGB_12642	0.633 	0.367 
SGB_12684	0.633 	0.367 
SGB_12727	0.633 	0.367 
SGB_12896	0.633 	0.367 
SGB_13060	0.633 	0.367 
SGB_13107	0.633 	0.367 
SGB_13176	0.633 	0.367 
SGB_13584	0.633 	0.367 
SGB_13869	0.633 	0.367 
SGB_13996	0.633 	0.367 
SGB_14060	0.633 	0.367 
SGB_1517	0.633 	0.367 
SGB_2299	0.633 	0.367 
SGB_3327	0.633 	0.367 
SGB_4445	0.633 	0.367 
SGB_4736	0.633 	0.367 
SGB_4743	0.633 	0.367 
SGB_4868	0.633 	0.367 
SGB_5135	0.633 	0.367 
SGB_637	0.633 	0.367 
SGB_6447	0.633 	0.367 
SGB_6589	0.633 	0.367 
SGB_6819	0.633 	0.367 
SGB_7266	0.633 	0.367 
SGB_7328	0.633 	0.367 
SGB_7358	0.633 	0.367 
SGB_7483	0.633 	0.367 
SGB_7699	0.633 	0.367 
SGB_7862	0.633 	0.367 
SGB_8358	0.633 	0.367 
SGB_9012	0.633 	0.367 
SGB_9475	0.633 	0.367 
SGB_9556	0.633 	0.367 
SGB_9905	0.633 	0.367 
SGB_10020	0.364 	0.636 
SGB_4651	0.364 	0.636 
SGB_582	0.364 	0.636 
SGB_7084	0.364 	0.636 
SGB_10137	0.722 	0.278 
SGB_10940	0.722 	0.278 
SGB_11412	0.722 	0.278 
SGB_11442	0.722 	0.278 
SGB_13193	0.722 	0.278 
SGB_13728	0.722 	0.278 
SGB_13754	0.722 	0.278 
SGB_1888	0.722 	0.278 
SGB_1920	0.722 	0.278 
SGB_4074	0.722 	0.278 
SGB_6273	0.722 	0.278 
SGB_7236	0.722 	0.278 
SGB_7823	0.722 	0.278 
SGB_8024	0.722 	0.278 
SGB_8398	0.722 	0.278 
SGB_8563	0.722 	0.278 
SGB_9803	0.722 	0.278 
SGB_629	0.833 	0.167 
SGB_5333	0.589 	0.411 
SGB_10185	0.660 	0.340 
SGB_10190	0.660 	0.340 
SGB_10312	0.660 	0.340 
SGB_10315	0.660 	0.340 
SGB_10633	0.660 	0.340 
SGB_10862	0.660 	0.340 
SGB_11166	0.660 	0.340 
SGB_11271	0.660 	0.340 
SGB_11390	0.660 	0.340 
SGB_11696	0.660 	0.340 
SGB_12326	0.660 	0.340 
SGB_12512	0.660 	0.340 
SGB_12553	0.660 	0.340 
SGB_1315	0.660 	0.340 
SGB_13336	0.660 	0.340 
SGB_13379	0.660 	0.340 
SGB_1363	0.660 	0.340 
SGB_13669	0.660 	0.340 
SGB_13786	0.660 	0.340 
SGB_13998	0.660 	0.340 
SGB_2225	0.660 	0.340 
SGB_2771	0.660 	0.340 
SGB_6388	0.660 	0.340 
SGB_6616	0.660 	0.340 
SGB_7597	0.660 	0.340 
SGB_7652	0.660 	0.340 
SGB_9811	0.660 	0.340 
SGB_2386	0.359 	0.641 
SGB_4428	0.359 	0.641 
SGB_6550	0.359 	0.641 
SGB_6751	0.359 	0.641 
SGB_827	0.359 	0.641 
SGB_8688	0.359 	0.641 
SGB_11431	0.900 	0.100 
SGB_7460	0.900 	0.100 
SGB_11112	0.563 	0.438 
SGB_4241	0.563 	0.438 
SGB_4252	0.563 	0.438 
SGB_4306	0.563 	0.438 
SGB_5863	0.563 	0.438 
SGB_10509	0.651 	0.349 
SGB_11342	0.651 	0.349 
SGB_11519	0.651 	0.349 
SGB_11619	0.651 	0.349 
SGB_12038	0.651 	0.349 
SGB_12831	0.651 	0.349 
SGB_13083	0.651 	0.349 
SGB_13444	0.651 	0.349 
SGB_13670	0.651 	0.349 
SGB_2433	0.651 	0.349 
SGB_2975	0.651 	0.349 
SGB_3842	0.651 	0.349 
