Host	Sample_ID
TA	T1900044953_TA20190006
TA	T1900044951_TA20190004
TA	T1900044948_TA20190001
TA	T1900044954_TA20190008
TA	T1900044950_TA20190003
TA	T1900044949_TA20190002
TA	T1900044952_TA20190005
TA	T1900044990_TA20190052
TA	T1900044981_TA20190043
TA	T1900044989_TA20190051
TA	T1900044980_TA20190042
TA	T1900044987_TA20190049
TA	T1900044988_TA20190050
TA	T1900044985_TA20190047
TA	T1900044986_TA20190048
TA	T1900044978_TA20190040
TA	T1900044962_TA20190024
TA	T1900044968_TA20190030
TA	T1900044957_TA20190013
TA	T1900044959_TA20190016
TA	T1900044956_TA20190011
TA	T1900044958_TA20190014
TA	T1900044966_TA20190028
TA	T1900044961_TA20190021
TA	T1900044967_TA20190029
TA	T1900044955_TA20190009
TA	T1900044977_TA20190039
TA	T1900044979_TA20190041
TA	T1900044969_TA20190031
TA	T1900044965_TA20190027
TA	T1900044960_TA20190018
TA	T1900044993_TA20190055
TA	T1900045007_TA20190069
TA	T1900044995_TA20190057
TA	T1900044996_TA20190058
TA	T1900044994_TA20190056
TA	T1900044998_TA20190060
TA	T1900044991_TA20190053
TA	T1900044992_TA20190054
TA	T1900044997_TA20190059
TA	T1900045005_TA20190067
TA	T1900045004_TA20190066
TA	T1900045001_TA20190063
TA	T1900045002_TA20190064
TA	T1900045000_TA20190062
TA	T1900045003_TA20190065
TA	T1900044999_TA20190061
TA	T1900045006_TA20190068
TC	T1900045167_TC20190161
TC	T1900045157_TC20190151
TC	T1900045160_TC20190154
TC	T1900045165_TC20190159
TC	T1900045170_TC20190164
TC	T1900045178_TC20190174
TC	T1900045180_TC20190176
TC	T1900045184_TC20190180
TC	T1900045185_TC20190181
TC	T1900045773_TC20190227
TC	T1900045776_TC20190230
TC	T1900045109_TC20190103
TC	T1900045123_TC20190117
TC	T1900045077_TC20190071
TC	T1900045019_TC20190012
TC	T1900045021_TC20190014
TC	T1900045024_TC20190017
TC	T1900045025_TC20190018
TC	T1900045026_TC20190019
TC	T1900045028_TC20190021
TC	T1900045031_TC20190024
TC	T1900045032_TC20190025
