SGB_ID,Event,Genus,Co-phylogeny_rate,Host-swap_rate
SGB_1858,Non-specific,g__UBA1784,0.6,0.4
SGB_13900,Non-specific,g__SIG307,0.8,0.2
SGB_331,Non-specific,g__UBA1723,0.604938272,0.395061728
SGB_8406,Non-specific,g__UBA1723,0.604938272,0.395061728
SGB_5333,Non-specific,g__Escherichia,0.589285714,0.410714286
SGB_13167,Non-specific,g__UBA1784,0.6,0.4
SGB_12038,Non-specific,g__Limimorpha,0.650793651,0.349206349
SGB_12995,Non-specific,g__SIG622,0.714285714,0.285714286
SGB_11732,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_5228,Non-specific,g__RGIG1711,0.777777778,0.222222222
SGB_11342,Non-specific,g__Limimorpha,0.650793651,0.349206349
SGB_4071,Non-specific,g__Ruminococcus,0.646341463,0.353658537
SGB_1788,Non-specific,g__Akkermansia,0.608695652,0.391304348
SGB_645,Non-specific,g__CAG-390,0.636363636,0.363636364
SGB_2771,Non-specific,g__HGM04593,0.66,0.34
SGB_8135,Non-specific,g__Akkermansia,0.608695652,0.391304348
SGB_6183,Non-specific,g__Prevotella,0.703703704,0.296296296
SGB_1852,Non-specific,g__UBA1784,0.6,0.4
SGB_12642,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_4291,Non-specific,g__Ruminococcus,0.646341463,0.353658537
SGB_11521,Non-specific,g__Akkermansia,0.608695652,0.391304348
SGB_1449,Non-specific,g__Akkermansia,0.608695652,0.391304348
SGB_12461,Non-specific,g__UBA1784,0.6,0.4
SGB_7322,Non-specific,g__Akkermansia,0.608695652,0.391304348
SGB_6401,Non-specific,g__Phocaeicola_A,0.578947368,0.421052632
SGB_6635,Non-specific,g__Akkermansia,0.608695652,0.391304348
SGB_10633,Non-specific,g__HGM04593,0.66,0.34
SGB_10509,Non-specific,g__Limimorpha,0.650793651,0.349206349
SGB_13564,Non-specific,g__Akkermansia,0.608695652,0.391304348
SGB_10604,Non-specific,g__Akkermansia,0.608695652,0.391304348
SGB_618,Non-specific,g__Akkermansia,0.608695652,0.391304348
SGB_7862,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_1744,Non-specific,g__UBA1723,0.604938272,0.395061728
SGB_6819,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_10185,Non-specific,g__HGM04593,0.66,0.34
SGB_5369,Non-specific,g__RUG740,0.545454545,0.454545455
SGB_1787,Non-specific,g__RGIG4079,0.70212766,0.29787234
SGB_5057,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_7328,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_1888,Non-specific,g__Egerieousia,0.722222222,0.277777778
SGB_13670,Non-specific,g__Limimorpha,0.650793651,0.349206349
SGB_2975,Non-specific,g__Limimorpha,0.650793651,0.349206349
SGB_7652,Non-specific,g__HGM04593,0.66,0.34
SGB_5851,Non-specific,g__UBA1723,0.604938272,0.395061728
SGB_10312,Non-specific,g__HGM04593,0.66,0.34
SGB_11230,Non-specific,g__Phocaeicola_A,0.578947368,0.421052632
SGB_3842,Non-specific,g__Limimorpha,0.650793651,0.349206349
SGB_7823,Non-specific,g__Egerieousia,0.722222222,0.277777778
SGB_13599,Non-specific,g__Akkermansia,0.608695652,0.391304348
SGB_7679,Non-specific,g__Akkermansia,0.608695652,0.391304348
SGB_5137,Non-specific,g__RGIG2000,0.823529412,0.176470588
SGB_10518,Non-specific,g__Aphodosoma,0.6,0.4
SGB_8993,Non-specific,g__UBA4372,0.586206897,0.413793103
SGB_2299,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_4399,Non-specific,g__Akkermansia,0.608695652,0.391304348
SGB_13142,Non-specific,g__Akkermansia,0.608695652,0.391304348
SGB_3626,Non-specific,g__UBA4372,0.586206897,0.413793103
SGB_13083,Non-specific,g__Limimorpha,0.650793651,0.349206349
SGB_165,Non-specific,g__RGIG4079,0.70212766,0.29787234
SGB_4061,Non-specific,g__Wujia,0.666666667,0.333333333
SGB_13110,Non-specific,g__Alistipes,0.667484663,0.332515337
SGB_5098,Non-specific,g__Alloprevotella,0.757575758,0.242424242
SGB_13584,Non-specific,g__Cryptobacteroides,0.633165829,0.366834171
SGB_13372,Non-specific,g__Akkermansia,0.608695652,0.391304348
SGB_6125,Non-specific,g__Prevotella,0.703703704,0.296296296
SGB_6036,Non-specific,g__Prevotella,0.703703704,0.296296296
SGB_566,Non-specific,g__Alistipes,0.667484663,0.332515337
