Genus,Event,Co-phylogeny_rate,Host-swap_rate,SGB Name,More,Less,pNpS_ratio,Taxonomy
g__Acetatifactor,Co-phylogeney,0.666666667,0.333333333,SGB_13467,0.0131209,0.977507029,0.102066116,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__
g__Acetatifactor,Co-phylogeney,0.666666667,0.333333333,SGB_5012,0.045840407,0.920203735,0.096672587,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp904501885
g__Agathobacter,Host swap,0.454545455,0.545454545,SGB_2422,0.008668243,0.97714736,0.068198357,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp017936725
g__Akkermansia,Non-specific,0.608695652,0.391304348,SGB_10604,0.007834758,0.984330484,0.11618799,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__
g__Akkermansia,Non-specific,0.608695652,0.391304348,SGB_11521,0.013192612,0.968337731,0.192074592,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia sp017517805
g__Akkermansia,Non-specific,0.608695652,0.391304348,SGB_13142,0.008750994,0.986475736,0.103919719,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia sp017521145
g__Akkermansia,Non-specific,0.608695652,0.391304348,SGB_13372,0.006595218,0.993404782,0.092605997,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia sp017399165
g__Akkermansia,Non-specific,0.608695652,0.391304348,SGB_13564,0.021201413,0.967491166,0.107698962,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia sp015062005
g__Akkermansia,Non-specific,0.608695652,0.391304348,SGB_13599,0.022603274,0.970381917,0.160503241,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__
g__Akkermansia,Non-specific,0.608695652,0.391304348,SGB_1449,0.033752482,0.951687624,0.149862715,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia sp017937215
g__Akkermansia,Non-specific,0.608695652,0.391304348,SGB_1788,0.041875,0.946875,0.154690265,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__
g__Akkermansia,Non-specific,0.608695652,0.391304348,SGB_2772,0.008650519,0.987024221,0.097615577,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia sp015061985
g__Akkermansia,Non-specific,0.608695652,0.391304348,SGB_4399,0.014274385,0.98334655,0.139776358,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia sp017549485
g__Akkermansia,Non-specific,0.608695652,0.391304348,SGB_4857,0.008040201,0.987939698,0.156279215,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__
g__Akkermansia,Non-specific,0.608695652,0.391304348,SGB_618,0.01,0.984285714,0.094801338,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia sp017435365
g__Akkermansia,Non-specific,0.608695652,0.391304348,SGB_6412,0.00261324,0.994773519,0.0677438,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__
g__Akkermansia,Non-specific,0.608695652,0.391304348,SGB_6635,0.011019284,0.982782369,0.111098708,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia sp017379255
