Rank	Taxon	Counts
Kingdom	Bacteria	13957
Phylum	p__Actinomycetota	60
Phylum	p__Armatimonadota	1
Phylum	p__Bacillota	355
Phylum	p__Bacillota_A	9904
Phylum	p__Bacillota_B	25
Phylum	p__Bacillota_C	38
Phylum	p__Bacteroidota	1990
Phylum	p__Campylobacterota	4
Phylum	p__Chlamydiota	2
Phylum	p__Chloroflexota	1
Phylum	p__Cyanobacteriota	118
Phylum	p__Deferribacterota	2
Phylum	p__Desulfobacterota	17
Phylum	p__Elusimicrobiota	88
Phylum	p__Eremiobacterota	2
Phylum	p__Fibrobacterota	34
Phylum	p__Myxococcota	17
Phylum	p__Patescibacteria	206
Phylum	p__Planctomycetota	37
Phylum	p__Pseudomonadota	455
Phylum	p__Riflebacteria	3
Phylum	p__Spirochaetota	154
Phylum	p__Synergistota	10
Phylum	p__UBA3054	1
Phylum	p__Verrucomicrobiota	433
Class	c__Actinomycetia	19
Class	c__Alphaproteobacteria	416
Class	c__Anaerolineae	1
Class	c__Bacilli	355
Class	c__Bacteroidia	1990
Class	c__Bradymonadia	13
Class	c__Campylobacteria	4
Class	c__Chlamydiia	2
Class	c__Clostridia	9904
Class	c__Coriobacteriia	41
Class	c__Deferribacteres	2
Class	c__Dehalobacteriia	6
Class	c__Desulfarculia	1
Class	c__Desulfobulbia	1
Class	c__Desulfotomaculia	2
Class	c__Desulfovibrionia	15
Class	c__Elusimicrobia	85
Class	c__Endomicrobia	3
Class	c__Fibrobacteria	34
Class	c__Gammaproteobacteria	39
Class	c__GWE2-31-10	3
Class	c__JAEDAM01	4
Class	c__Kiritimatiellia	118
Class	c__Lentisphaeria	150
Class	c__Microgenomatia	2
Class	c__Myxococcia	2
Class	c__Negativicutes	38
Class	c__Ozemobacteria	3
Class	c__Peptococcia	14
Class	c__Planctomycetia	37
Class	c__Saccharimonadia	200
Class	c__Spirochaetia	150
Class	c__Synergistia	10
Class	c__Syntrophomonadia	2
Class	c__UBA3054	1
Class	c__UBA4802	1
Class	c__UBA5829	1
Class	c__Vampirovibrionia	118
Class	c__Verrucomicrobiae	165
Class	c__Xenobia	2
Class	c__XYA12-FULL-58-9	2
Class	c__Z-2901	1
Order	Unclassified	3
Order	o__Absconditabacterales	4
Order	o__Acetobacterales	2
Order	o__Acholeplasmatales	17
Order	o__Acidaminococcales	18
Order	o__Actinomycetales	17
Order	o__Adiutricales	1
Order	o__Anaerolineales	1
Order	o__Bacillales	32
Order	o__Bacteroidales	1971
Order	o__Burkholderiales	11
Order	o__CADAEX01	5
Order	o__Campylobacterales	4
Order	o__Carboxydothermales	1
Order	o__Chitinophagales	1
Order	o__Chlamydiales	2
Order	o__Christensenellales	1249
Order	o__Clostridiales	6
Order	o__Coriobacteriales	41
Order	o__Deferribacterales	2
Order	o__Desulfobulbales	1
Order	o__Desulfotomaculales	2
Order	o__Desulfovibrionales	15
Order	o__Elusimicrobiales	85
Order	o__Endomicrobiales	3
Order	o__Enterobacterales	2
Order	o__Enterobacterales_A	11
Order	o__Erysipelotrichales	78
Order	o__Eubacteriales	10
Order	o__Fibrobacterales	34
Order	o__Flavobacteriales	9
Order	o__Gastranaerophilales	118
Order	o__GWE2-31-10	3
Order	o__HGM11327	6
Order	o__HGM11514	15
Order	o__Izemoplasmatales	1
Order	o__JAEEML01	2
Order	o__JAGOMX01	1
Order	o__Lachnospirales	1068
Order	o__Lactobacillales	8
Order	o__LD1-PB3_B	1
Order	o__ML615J-28	57
Order	o__Monoglobales	221
Order	o__Mycobacteriales	1
Order	o__Mycoplasmatales	15
Order	o__Myxococcales	2
Order	o__Opitutales	27
Order	o__Oscillospirales	6261
Order	o__Ozemobacterales	3
Order	o__Paenibacillales	3
Order	o__Pedosphaerales	1
Order	o__Peptococcales	14
Order	o__Peptostreptococcales	128
Order	o__Pirellulales	37
