"","Sample_ID","PCoA1","PCoA2","Host"
"417","T1900045011_TC20190004",-0.211632427848499,-0.0725612410406983,"TC"
"418","T1900045013_TC20190006",-0.225298208791202,-0.0843878632131978,"TC"
"419","T1900045019_TC20190012",-0.128492997309128,-0.0412285891320259,"TC"
"420","T1900045020_TC20190013",-0.291991084336857,-0.0478937763470617,"TC"
"421","T1900045021_TC20190014",-0.282475253861368,-0.0436637705458588,"TC"
"422","T1900045022_TC20190015",-0.326931297392907,-0.0698029108561336,"TC"
"423","T1900045023_TC20190016",-0.348815761845301,-0.0658174604597039,"TC"
"424","T1900045024_TC20190017",-0.285445912654636,-0.0449753595949372,"TC"
"425","T1900045025_TC20190018",-0.301336675840535,-0.0482768606081758,"TC"
"426","T1900045026_TC20190019",-0.333763300194837,-0.0550884184717423,"TC"
"427","T1900045027_TC20190020",-0.277985595768906,-0.0594364701661409,"TC"
"428","T1900045028_TC20190021",-0.277509336330917,-0.0362974484119251,"TC"
"429","T1900045029_TC20190022",-0.303620453660739,-0.0477733259357074,"TC"
"430","T1900045030_TC20190023",-0.267789640262439,-0.0798013713346316,"TC"
"431","T1900045031_TC20190024",-0.270701626871467,-0.0528129742039245,"TC"
"432","T1900045032_TC20190025",-0.290035859245044,-0.0432540710144635,"TC"
"433","T1900045033_TC20190026",-0.331673512936965,-0.0459783237798718,"TC"
"434","T1900045034_TC20190027",-0.279334114098061,-0.0608945997208992,"TC"
"435","T1900045035_TC20190028",-0.271604269273818,-0.0816886338051983,"TC"
"436","T1900045036_TC20190029",-0.284607560485744,-0.061344819525069,"TC"
"437","T1900045037_TC20190030",-0.316417976025448,-0.0867131781219348,"TC"
"438","T1900045038_TC20190031",-0.245195922451124,-0.0493320826440494,"TC"
"439","T1900045039_TC20190032",-0.360550879562694,-0.0807355452286448,"TC"
"440","T1900045040_TC20190033",-0.306711507481458,-0.0548191590447737,"TC"
"441","T1900045041_TC20190034",-0.282093132587141,-0.0614213310929928,"TC"
"442","T1900045042_TC20190035",-0.280488806848324,-0.0595877003710122,"TC"
"443","T1900045043_TC20190036",-0.310783291131172,-0.062529402553858,"TC"
"444","T1900045044_TC20190037",-0.308962692812636,-0.085004041607187,"TC"
"445","T1900045045_TC20190038",-0.316899454431477,-0.085039747387189,"TC"
"446","T1900045046_TC20190039",-0.243432458773214,-0.0497885164816966,"TC"
"447","T1900045048_TC20190041",-0.267839914922154,-0.0313564576547443,"TC"
"448","T1900045049_TC20190042",-0.312186989010615,-0.0611913168327216,"TC"
"449","T1900045050_TC20190043",-0.341688057570608,-0.0617052140353049,"TC"
"450","T1900045051_TC20190044",-0.281230263292513,-0.0379745167903925,"TC"
"451","T1900045053_TC20190046",-0.336615585227575,-0.0648470057548064,"TC"
"452","T1900045054_TC20190047",-0.355902321879664,-0.0645117004793933,"TC"
"453","T1900045055_TC20190048",-0.281223604790818,-0.0398260126456761,"TC"
"454","T1900045056_TC20190049",-0.286161867066681,-0.0890747863020096,"TC"
"455","T1900045058_TC20190051",-0.326939971536387,-0.0425805796341366,"TC"
"456","T1900045060_TC20190053",-0.261346841489719,-0.0672258228682667,"TC"
"457","T1900045061_TC20190054",-0.3363949248925,-0.0564463344460213,"TC"
"458","T1900045063_TC20190056",-0.220634020251931,-0.0589924356282982,"TC"
"459","T1900045064_TC20190058",-0.283191612470513,-0.0530091268350451,"TC"
"460","T1900045065_TC20190059",-0.317076940964972,-0.0623514451127827,"TC"
"461","T1900045066_TC20190060",-0.322935537187741,-0.0786474582777786,"TC"
"462","T1900045067_TC20190061",-0.263434569017468,-0.0725373449619269,"TC"
"463","T1900045068_TC20190062",-0.322237102242334,-0.0651664709435549,"TC"
"464","T1900045070_TC20190064",-0.281774171066366,-0.040546958881385,"TC"
"465","T1900045071_TC20190065",-0.346979535794902,-0.0653731159994724,"TC"
"466","T1900045072_TC20190066",-0.291333609375578,-0.040927163160981,"TC"
"467","T1900045073_TC20190067",-0.291350088684062,-0.0656244293667092,"TC"
"468","T1900045074_TC20190068",-0.293823661878156,-0.0486366607121949,"TC"
"469","T1900045075_TC20190069",-0.278979851902643,-0.0399044400052525,"TC"
"470","T1900045076_TC20190070",-0.269590001809337,-0.0879275984396973,"TC"
"471","T1900045077_TC20190071",-0.339320804039091,-0.0569687805242467,"TC"
"472","T1900045078_TC20190072",-0.240619730008999,-0.047440575701947,"TC"
"473","T1900045079_TC20190073",-0.266789202252367,-0.0887206884277505,"TC"
"474","T1900045080_TC20190074",-0.262100853600668,-0.0268528007103354,"TC"
"475","T1900045081_TC20190075",-0.294345532374773,-0.0459524549088665,"TC"
"476","T1900045082_TC20190076",-0.277710751051169,-0.0776726100982446,"TC"
"477","T1900045083_TC20190077",-0.285740089837424,-0.0397181547241299,"TC"
"478","T1900045084_TC20190078",-0.318344345827306,-0.0789691061504685,"TC"
"479","T1900045085_TC20190079",-0.312341542259185,-0.0582752739942308,"TC"
"480","T1900045086_TC20190080",-0.285941460682442,-0.0449022272263071,"TC"
"481","T1900045087_TC20190081",-0.288958126337648,-0.044525985225271,"TC"
"482","T1900045088_TC20190082",-0.292620378676014,-0.0440399413249705,"TC"
"483","T1900045089_TC20190083",-0.272449877410147,-0.0737415223666576,"TC"
"484","T1900045090_TC20190084",-0.312787976255508,-0.0607530048481943,"TC"
"485","T1900045091_TC20190085",-0.25946063236367,-0.0732396744394646,"TC"
"486","T1900045092_TC20190086",-0.311649910254725,-0.0668610153914728,"TC"
"487","T1900045094_TC20190088",-0.331378484853627,-0.0534707633880738,"TC"
"488","T1900045095_TC20190089",-0.284496647344188,-0.0641211637325823,"TC"
"489","T1900045096_TC20190090",-0.259392400075102,-0.0636756303120509,"TC"
"490","T1900045097_TC20190091",-0.332046125515546,-0.0538132771738333,"TC"
"491","T1900045098_TC20190092",-0.29758448023646,-0.0524023615194454,"TC"
"492","T1900045099_TC20190093",-0.271331488665489,-0.0822445386175859,"TC"
"493","T1900045100_TC20190094",-0.288046310123717,-0.0447764076546752,"TC"
"494","T1900045101_TC20190095",-0.291497572808648,-0.0437530388052636,"TC"
"495","T1900045102_TC20190096",-0.286844845416526,-0.0406808781784326,"TC"
"496","T1900045103_TC20190097",-0.287688400928836,-0.0878238853689338,"TC"
"497","T1900045104_TC20190098",-0.269689280002092,-0.0517676879850689,"TC"
"498","T1900045105_TC20190099",-0.350737520280539,-0.0732213200896137,"TC"
"499","T1900045106_TC20190100",-0.264168206218964,-0.0671893486807573,"TC"
