Rank	Taxon	Counts
Kingdom	Archaea	183
Phylum	Methanobacteriota	138
Class	Methanobacteria	138
Order	Methanobacteriales	138
Family	Methanobacteriaceae	138
Genus	Methanobrevibacter_A	101
Species	Unclassified	172
Species	Methanobrevibacter_A millerae	1
Phylum	Thermoplasmatota	31
Class	Thermoplasmata	31
Order	Methanomassiliicoccales	31
Family	Methanomethylophilaceae	31
Genus	MX-02	19
Genus	Methanobrevibacter	13
Species	Methanobrevibacter_A sp900314615	1
Genus	ISO4-G1	6
Phylum	Halobacteriota	14
Class	Methanomicrobia	13
Order	Methanomicrobiales	13
Family	Methanocorpusculaceae	13
Genus	Methanocorpusculum	10
Genus	Methanosphaera	15
Species	Methanobrevibacter_A thaueri	1
Species	Methanobrevibacter sp900314635	1
Species	Methanobrevibacter_A sp900319535	1
Genus	Methanomethylophilus	6
Genus	Unclassified	11
Species	Methanobrevibacter_A gottschalkii	1
Species	Methanosphaera sp003266065	1
Genus	Methanobrevibacter_B	1
Species	Methanobrevibacter_B sp900314605	1
Species	Methanobrevibacter_A sp900320515	1
Species	Methanosphaera sp003266075	1
Species	Methanobrevibacter_A sp900314695	1
Class	Methanosarcinia	1
Order	Methanosarcinales	1
Family	Methanosarcinaceae	1
Genus	Methanimicrococcus	1
