Rank	Taxon	Counts
Kingdom	Bacteria	19068
Phylum	Firmicutes_A	13509
Class	Clostridia	11880
Order	Oscillospirales	8408
Family	Oscillospiraceae	1886
Genus	Unclassified	5029
Species	Unclassified	18926
Class	Clostridia_A	1629
Order	Christensenellales	1622
Family	UMGS1908	39
Family	Acutalibacteraceae	2603
Genus	UBA737	424
Phylum	Cyanobacteria	172
Class	Vampirovibrionia	172
Order	Gastranaerophilales	172
Family	Gastranaerophilaceae	154
Genus	CAG-196	46
Genus	RUG806	92
Family	UBA1242	214
Genus	UBA11490	31
Family	CAG-272	2580
Genus	UMGS1002	304
Genus	CAG-110	1350
Phylum	Bacteroidota	2592
Class	Bacteroidia	2592
Order	Bacteroidales	2568
Family	Bacteroidaceae	691
Genus	Phocaeicola	78
Family	Borkfalkiaceae	877
Phylum	Firmicutes	769
Class	Bacilli	769
Order	ML615J-28	118
Family	CAG-313	82
Order	RF39	260
Family	CAG-1000	94
Genus	CAG-1000	12
Genus	QALS01	355
Order	Monoglobales	277
Family	Monoglobaceae	231
Phylum	Proteobacteria	539
Class	Alphaproteobacteria	497
Order	RF32	221
Family	CAG-239	132
Genus	CAG-495	59
Phylum	Patescibacteria	310
Class	Saccharimonadia	303
Order	Saccharimonadales	303
Family	Saccharimonadaceae	303
Genus	UBA2866	277
Phylum	Verrucomicrobiota	505
Class	Lentisphaeria	179
Order	Victivallales	172
Family	Victivallaceae	142
Family	CAG-552	37
Genus	UBA6857	180
Order	Acholeplasmatales	37
Family	Anaeroplasmataceae	37
Family	CAG-382	359
Genus	UBA1752	163
Order	Monoglobales_A	479
Family	UBA9506	166
Genus	UBA9506	107
Genus	UBA11517	38
Genus	UBA4626	68
Genus	UMGS1865	189
Genus	Ruminococcus_E	158
Family	UBA4651	20
Genus	CAG-448	237
Family	CAG-74	221
Genus	Firm-11	22
Order	Lachnospirales	1681
Family	Lachnospiraceae	1629
Genus	UBA1712-A	30
Genus	SFWF01	108
Order	Rs-D84	259
Family	Rs-D84	255
Genus	Rs-D84	254
Genus	COE1	19
Genus	UBA1179	41
Family	QAMX01	20
Family	RUG350	25
Genus	UBA11963	37
Family	ML635J-15	2
Genus	Bact-19	2
Genus	Firm-07	69
Family	UBA932	676
Genus	RC9	551
Genus	UBA1740	656
Order	TANB77	133
Family	CAG-465	31
Genus	UMGS1649	27
Family	QALW01	55
Genus	UMGS1322	52
Genus	UMGS1696	152
Genus	UMGS268	4
Phylum	Elusimicrobiota	95
Class	Elusimicrobia	92
Order	Elusimicrobiales	92
Family	Elusimicrobiaceae	92
Genus	UBA1436	57
Species	UBA1436 sp900315795	1
Family	UBA1829	30
Genus	UBA7862	12
Genus	UMGS1052	37
Genus	RUG563	29
Genus	CAG-552	3
Genus	UBA4636	25
Genus	SFHK01	17
Phylum	Spirochaetota	245
Class	Spirochaetia	241
Order	Treponematales	227
Family	Treponemataceae	227
Genus	Treponema_F	16
Genus	UMGS874	73
Family	CAG-382_A	127
Genus	UBA1254	6
Genus	UMGS1532	26
Genus	DTU064	22
Phylum	Deferribacterota	2
Class	Deferribacteres	2
Order	Deferribacterales	2
Family	Mucispirillaceae	2
Order	Unclassified	55
Family	Unclassified	316
Family	CAG-611	85
Genus	CAG-710	12
Genus	CAG-390	50
Genus	UMGS172	70
Genus	UMGS1815	73
Family	Rikenellaceae	446
Genus	Alistipes	372
Genus	CAG-488	83
Genus	SFDP01	30
Order	UMGS1883	243
Family	UMGS1883	202
Family	UBA1758	100
Family	Ruminococcaceae	455
Genus	UMGS1668	40
Genus	UMGS1858	19
Genus	UBA1774	5
Genus	UBA11524	36
Genus	UMGS1484	28
Family	Paludibacteraceae	290
Genus	RF16	162
Family	Muribaculaceae	87
Genus	M3	30
Genus	CAG-877	33
Genus	1XD8-76	3
Family	UMGS1253	29
Genus	G11	22
Genus	CAG-177	187
Genus	UBA1380	88
Class	Kiritimatiellae	150
Order	RFP12	149
Family	UBA1067	125
Genus	UBA1067	91
Order	UBA1212	51
Family	UBA1255	29
Genus	Faecalimonas	143
Genus	1XD42-69	1
Genus	CAG-127	44
Genus	UBA3855	30
Genus	UMGS1883	112
Family	CAG-314	22
Family	QAKW01	94
Family	UBA644	68
Family	Firm-18	43
Genus	UBA1775	35
Class	Verrucomicrobiae	176
Order	Verrucomicrobiales	146
Family	Akkermansiaceae	146
Genus	Akkermansia	146
Genus	UBA1425	5
Genus	Acetatifactor	164
Genus	Kineothrix	4
Order	UMGS1810	210
Family	UMGS1810	190
Genus	UMGS1810	3
Genus	CAG-95	24
Family	UBA1381	239
Genus	UBA5905	148
Genus	UMGS1623	102
Family	CAG-822	55
Genus	CAG-884	4
Family	UBA3637	77
Genus	UBA3637	18
Family	CAG-508	88
Genus	CAG-460	11
Genus	CAG-590	25
Genus	UBA1081	36
Genus	QAKW01	54
Order	UMGS1840	70
Phylum	Myxococcota	21
Class	Bradimonadia	17
Order	Bradymonadales	16
Family	UBA4248	16
Genus	UBA2834	21
Genus	UBA4717	20
Genus	UBA8612	98
Genus	UMGS1279	72
Genus	CAG-180	113
Genus	NK4A136	28
Family	WCHB1-69	40
Family	UBA1234	9
Family	CAG-302	19
Genus	RUG705	9
Family	CAG-917	18
Genus	DTU089_A	215
Genus	UBA7477	7
Genus	CAG-306	5
Genus	UBA11540	18
Family	UBA1715	11
Genus	UBA1715	10
Genus	UMGS2055	4
Genus	GCA-900199385	17
Genus	RUG293	9
Class	Myxococcia	2
Order	Myxococcales	2
Family	UBA5297	1
Genus	UBA1203	1
Genus	ISDg	12
Genus	UBA1240	4
Species	UBA1240 sp001603145	1
Genus	CAG-194	27
Family	CAG-138	49
Genus	SZUA-448	25
Genus	UBA4675	40
Genus	UBA11452	7
Order	Peptostreptococcales	204
Family	Anaerovoracaceae	204
Genus	UMGS755	38
Genus	UMGS1387	45
Family	Butyricicoccaceae	60
Order	RFN20	116
Family	UBA1709	20
Genus	Mogibacterium	61
Family	DTU072	17
Order	Mycoplasmatales	25
