SGB	Host
SGB_5458	Tibetanass
SGB_5453	Tibetanass
SGB_5451	Tibetanhorse
SGB_5468	Tibetanhorse
SGB_5496	Tibetanantelope
SGB_5556	Tibetanantelope
SGB_5497	Tibetanantelope
SGB_5487	Tibetanantelope
SGB_5554	Tibetanantelope
SGB_5522	Tibetanantelope
SGB_5510	Tibetanantelope
SGB_5486	Tibetanantelope
SGB_5548	Tibetanantelope
SGB_5488	Tibetanantelope
SGB_5523	Tibetanantelope
SGB_5562	Tibetanantelope
SGB_5461	Tibetanantelope
SGB_5560	Tibetanantelope
SGB_5406	Tibetanantelope
SGB_5489	Tibetanantelope
SGB_5546	Tibetanantelope
SGB_5505	Tibetanantelope
SGB_5477	Tibetansheep
SGB_5559	Tibetansheep
SGB_5525	Tibetansheep
SGB_5433	Tibetansheep
SGB_5407	Tibetansheep
SGB_5436	Tibetansheep
SGB_5524	Tibetansheep
SGB_5443	Tibetansheep
SGB_5401	Tibetansheep
SGB_5495	Tibetansheep
SGB_5435	Tibetansheep
SGB_5532	Tibetansheep
SGB_5400	Tibetansheep
SGB_5418	Tibetansheep
SGB_5412	Tibetansheep
SGB_5503	Tibetansheep
SGB_5516	Tibetansheep
