SGB	Host
SGB_5605	Tibetanhorse
SGB_5607	Tibetanhorse
SGB_5604	Tibetanhorse
SGB_5603	Tibetanhorse
SGB_5602	Tibetanhorse
SGB_5640	Tibetanantelope
SGB_5642	Tibetanantelope
SGB_5635	Tibetanantelope
SGB_5633	Tibetanantelope
SGB_5616	Tibetanantelope
SGB_5634	Tibetanantelope
SGB_5585	Tibetanantelope
SGB_5625	Tibetanantelope
SGB_5627	Tibetanantelope
SGB_5619	Tibetanantelope
SGB_5637	Tibetanantelope
SGB_5647	Tibetanantelope
SGB_5620	Tibetanantelope
SGB_5639	Tibetanantelope
SGB_5626	Tibetanantelope
SGB_5618	Tibetanantelope
SGB_5580	Tibetanantelope
SGB_5587	Tibetansheep
SGB_5588	Tibetansheep
SGB_5586	Tibetansheep
SGB_5623	Tibetansheep
SGB_5599	Tibetancattle
SGB_5613	Tibetancattle
