SGB	Host
SGB_1940	Tibetanantelope
SGB_1858	Tibetanantelope
SGB_1874	Tibetanantelope
SGB_1853	Tibetanantelope
SGB_1878	Tibetanantelope
SGB_1854	Tibetanantelope
SGB_1876	Tibetanantelope
SGB_1877	Tibetanantelope
SGB_1870	Tibetanantelope
SGB_1856	Tibetanantelope
SGB_1926	Tibetanantelope
SGB_1911	Tibetanantelope
SGB_1912	Tibetanantelope
SGB_1880	Tibetanantelope
SGB_1891	Tibetansheep
SGB_1626	Tibetansheep
SGB_1582	Tibetansheep
SGB_1875	Tibetansheep
SGB_1615	Tibetansheep
SGB_1900	Tibetansheep
SGB_1587	Tibetansheep
SGB_1586	Tibetansheep
SGB_1667	Tibetansheep
SGB_1871	Tibetansheep
SGB_1576	Tibetansheep
SGB_1603	Tibetansheep
SGB_1724	Tibetansheep
SGB_1592	Tibetansheep
SGB_1625	Tibetansheep
SGB_1938	Tibetansheep
SGB_1916	Tibetansheep
SGB_1578	Tibetansheep
SGB_1887	Tibetansheep
SGB_1573	Tibetansheep
SGB_1895	Tibetansheep
SGB_1572	Tibetansheep
SGB_1921	Tibetansheep
SGB_1882	Tibetansheep
SGB_1869	Tibetansheep
SGB_1898	Tibetansheep
SGB_1915	Tibetansheep
SGB_1634	Tibetansheep
SGB_1879	Tibetansheep
SGB_1889	Tibetansheep
SGB_1827	Tibetansheep
SGB_1611	Tibetansheep
SGB_1864	Tibetansheep
SGB_1609	Tibetansheep
SGB_1627	Tibetansheep
SGB_1617	Tibetansheep
SGB_1574	Tibetansheep
SGB_1725	Yak
SGB_1824	Yak
SGB_1807	Yak
SGB_1767	Yak
SGB_1836	Yak
SGB_1774	Yak
SGB_1826	Yak
SGB_1691	Tibetancattle
SGB_1851	Tibetancattle
SGB_1677	Tibetancattle
SGB_1652	Tibetancattle
SGB_1822	Tibetancattle
SGB_1790	Tibetancattle
SGB_1678	Tibetancattle
SGB_1657	Tibetancattle
SGB_1803	Tibetancattle
SGB_1669	Tibetancattle
SGB_1789	Tibetancattle
SGB_1778	Tibetancattle
SGB_1756	Tibetancattle
SGB_1840	Tibetancattle
SGB_1662	Tibetancattle
SGB_1681	Tibetancattle
SGB_1763	Tibetancattle
SGB_1694	Tibetancattle
SGB_1734	Tibetancattle
SGB_1743	Tibetancattle
SGB_1805	Tibetancattle
SGB_1806	Tibetancattle
SGB_1847	Tibetancattle
SGB_1835	Tibetancattle
SGB_1740	Tibetancattle
SGB_1841	Tibetancattle
SGB_1770	Tibetancattle
SGB_1784	Tibetancattle
SGB_1848	Tibetancattle
