SGB	Host
SGB_13779	Tibetanass
SGB_13774	Tibetanhorse
SGB_14557	Tibetanantelope
SGB_14603	Tibetanantelope
SGB_14599	Tibetanantelope
SGB_14658	Tibetanantelope
SGB_14490	Tibetanantelope
SGB_14186	Tibetanantelope
SGB_14303	Tibetanantelope
SGB_14617	Tibetanantelope
SGB_14764	Tibetanantelope
SGB_14677	Tibetanantelope
SGB_14598	Tibetanantelope
SGB_14753	Tibetanantelope
SGB_14633	Tibetanantelope
SGB_14560	Tibetanantelope
SGB_14674	Tibetanantelope
SGB_14583	Tibetanantelope
SGB_14421	Tibetanantelope
SGB_14290	Tibetanantelope
SGB_14624	Tibetanantelope
SGB_14507	Tibetanantelope
SGB_14425	Tibetanantelope
SGB_14663	Tibetanantelope
SGB_14623	Tibetanantelope
SGB_14714	Tibetanantelope
SGB_14740	Tibetanantelope
SGB_14492	Tibetanantelope
SGB_14534	Tibetanantelope
SGB_14695	Tibetanantelope
SGB_14509	Tibetanantelope
SGB_14261	Tibetanantelope
SGB_14675	Tibetanantelope
SGB_14222	Tibetanantelope
SGB_14564	Tibetanantelope
SGB_14576	Tibetanantelope
SGB_14270	Tibetanantelope
SGB_14477	Tibetanantelope
SGB_14394	Tibetanantelope
SGB_14282	Tibetanantelope
SGB_14164	Tibetanantelope
SGB_14206	Tibetanantelope
SGB_14631	Tibetanantelope
SGB_14213	Tibetanantelope
SGB_14188	Tibetanantelope
SGB_14546	Tibetanantelope
SGB_14620	Tibetanantelope
SGB_14464	Tibetanantelope
SGB_14438	Tibetanantelope
SGB_14461	Tibetanantelope
SGB_14221	Tibetanantelope
SGB_14194	Tibetanantelope
SGB_14567	Tibetanantelope
SGB_14376	Tibetanantelope
SGB_14526	Tibetanantelope
SGB_14452	Tibetanantelope
SGB_14465	Tibetanantelope
SGB_14629	Tibetanantelope
SGB_14672	Tibetanantelope
SGB_14437	Tibetanantelope
SGB_14531	Tibetanantelope
SGB_14294	Tibetanantelope
SGB_14209	Tibetanantelope
SGB_14491	Tibetanantelope
SGB_14527	Tibetanantelope
SGB_14315	Tibetanantelope
SGB_14665	Tibetanantelope
SGB_14510	Tibetanantelope
SGB_14289	Tibetanantelope
SGB_14298	Tibetanantelope
SGB_14613	Tibetanantelope
SGB_14182	Tibetanantelope
SGB_14334	Tibetanantelope
SGB_14316	Tibetanantelope
SGB_14422	Tibetanantelope
SGB_14218	Tibetanantelope
SGB_14332	Tibetanantelope
SGB_14357	Tibetanantelope
SGB_13446	Tibetanantelope
SGB_14373	Tibetanantelope
SGB_14475	Tibetanantelope
SGB_14350	Tibetanantelope
SGB_14656	Tibetanantelope
SGB_14313	Tibetanantelope
SGB_14167	Tibetanantelope
SGB_14229	Tibetanantelope
SGB_14207	Tibetanantelope
SGB_14420	Tibetanantelope
SGB_14391	Tibetanantelope
SGB_14371	Tibetanantelope
SGB_14736	Tibetanantelope
SGB_14189	Tibetanantelope
SGB_13725	Tibetanantelope
SGB_14504	Tibetanantelope
SGB_14165	Tibetanantelope
SGB_14305	Tibetanantelope
SGB_14535	Tibetanantelope
SGB_13540	Tibetanantelope
SGB_13911	Tibetanantelope
SGB_13541	Tibetansheep
SGB_14431	Tibetansheep
SGB_14436	Tibetansheep
SGB_13623	Tibetansheep
SGB_13479	Tibetansheep
SGB_13701	Tibetansheep
SGB_13459	Tibetansheep
SGB_13555	Tibetansheep
SGB_14498	Tibetansheep
SGB_13506	Tibetansheep
SGB_14388	Tibetansheep
SGB_13732	Tibetansheep
SGB_13693	Tibetansheep
SGB_13565	Tibetansheep
SGB_13663	Tibetansheep
SGB_14147	Tibetansheep
SGB_14512	Tibetansheep
SGB_13583	Tibetansheep
SGB_14441	Tibetansheep
SGB_14323	Tibetansheep
SGB_14367	Tibetansheep
SGB_13692	Tibetansheep
SGB_14596	Tibetansheep
SGB_13523	Tibetansheep
SGB_13690	Tibetansheep
SGB_13569	Tibetansheep
SGB_13617	Tibetansheep
SGB_14515	Tibetansheep
SGB_13762	Tibetansheep
SGB_14614	Tibetansheep
SGB_13714	Tibetansheep
SGB_14352	Tibetansheep
SGB_14143	Tibetansheep
SGB_13688	Tibetansheep
SGB_13668	Tibetansheep
SGB_13903	Yak
SGB_13788	Yak
SGB_13947	Yak
SGB_14056	Yak
SGB_14114	Yak
SGB_14046	Yak
SGB_13896	Yak
SGB_14009	Yak
SGB_13981	Yak
SGB_14103	Yak
SGB_14172	Yak
SGB_13899	Yak
SGB_13834	Tibetancattle
SGB_14084	Tibetancattle
SGB_13863	Tibetancattle
SGB_13823	Tibetancattle
SGB_14034	Tibetancattle
SGB_13785	Tibetancattle
SGB_13842	Tibetancattle
SGB_14739	Tibetancattle
SGB_14033	Tibetancattle
SGB_13851	Tibetancattle
SGB_13811	Tibetancattle
SGB_14137	Tibetancattle
SGB_14031	Tibetancattle
SGB_13620	Tibetancattle
SGB_13804	Tibetancattle
SGB_14138	Tibetancattle
SGB_13606	Tibetancattle
SGB_14100	Tibetancattle
SGB_13984	Tibetancattle
SGB_14430	Tibetancattle
SGB_13976	Tibetancattle
SGB_13993	Tibetancattle
