SGB	Host
SGB_2340	Tibetanass
SGB_2252	Tibetanass
SGB_2337	Tibetanass
SGB_2313	Tibetanass
SGB_2288	Tibetanass
SGB_2290	Tibetanass
SGB_2341	Tibetanass
SGB_2279	Tibetanass
SGB_2301	Tibetanass
SGB_2331	Tibetanass
SGB_2329	Tibetanass
SGB_2306	Tibetanass
SGB_2315	Tibetanass
SGB_2255	Tibetanass
SGB_2321	Tibetanass
SGB_2260	Tibetanass
SGB_2267	Tibetanass
SGB_2334	Tibetanass
SGB_2254	Tibetanass
SGB_2452	Tibetanass
SGB_2283	Tibetanass
SGB_2275	Tibetanass
SGB_2256	Tibetanass
SGB_2311	Tibetanass
SGB_2277	Tibetanass
SGB_2472	Tibetanass
SGB_2271	Tibetanass
SGB_2287	Tibetanass
SGB_2435	Tibetanass
SGB_2461	Tibetanhorse
SGB_2425	Tibetanhorse
SGB_2477	Tibetanhorse
SGB_2430	Tibetanhorse
SGB_2469	Tibetanhorse
SGB_2468	Tibetanhorse
SGB_2454	Tibetanhorse
SGB_2265	Tibetanhorse
SGB_2475	Tibetanhorse
SGB_2424	Tibetanhorse
SGB_2438	Tibetanhorse
SGB_2418	Tibetanhorse
SGB_2465	Tibetanhorse
SGB_2245	Tibetanhorse
SGB_2481	Tibetanhorse
SGB_2257	Tibetanhorse
SGB_2299	Tibetanhorse
SGB_2249	Tibetanhorse
SGB_2665	Tibetanantelope
SGB_2691	Tibetanantelope
SGB_2660	Tibetanantelope
SGB_2661	Tibetanantelope
SGB_2654	Tibetanantelope
SGB_2679	Tibetanantelope
SGB_2656	Tibetansheep
SGB_2208	Tibetansheep
SGB_2207	Tibetansheep
SGB_2177	Tibetansheep
SGB_2220	Tibetansheep
SGB_2175	Tibetansheep
SGB_2202	Tibetansheep
SGB_2367	Tibetansheep
SGB_2237	Tibetansheep
SGB_2200	Tibetansheep
SGB_2684	Tibetansheep
SGB_2671	Tibetansheep
SGB_2648	Tibetansheep
SGB_2222	Tibetansheep
SGB_2384	Tibetansheep
SGB_2221	Tibetansheep
SGB_2192	Tibetansheep
SGB_2640	Tibetansheep
SGB_2211	Tibetansheep
SGB_2673	Tibetansheep
SGB_2669	Tibetansheep
SGB_2561	Tibetansheep
SGB_2696	Tibetansheep
SGB_2181	Tibetansheep
SGB_2714	Tibetansheep
SGB_2204	Tibetansheep
SGB_2694	Tibetansheep
SGB_2710	Tibetansheep
SGB_2216	Tibetansheep
SGB_2215	Tibetansheep
SGB_2234	Tibetansheep
SGB_2193	Tibetansheep
SGB_2581	Yak
SGB_2628	Yak
SGB_2583	Yak
SGB_2619	Yak
SGB_2491	Yak
SGB_2590	Yak
SGB_2592	Yak
SGB_2574	Yak
SGB_2534	Yak
SGB_2543	Yak
SGB_2403	Yak
SGB_2232	Yak
SGB_2392	Yak
SGB_2402	Yak
SGB_2369	Tibetancattle
SGB_2382	Tibetancattle
SGB_2399	Tibetancattle
SGB_2354	Tibetancattle
SGB_2347	Tibetancattle
SGB_2607	Tibetancattle
SGB_2528	Tibetancattle
SGB_2513	Tibetancattle
SGB_2575	Tibetancattle
SGB_2527	Tibetancattle
SGB_2594	Tibetancattle
SGB_2572	Tibetancattle
SGB_2512	Tibetancattle
SGB_2568	Tibetancattle
SGB_2562	Tibetancattle
SGB_2359	Tibetancattle
SGB_2531	Tibetancattle
SGB_2706	Tibetancattle
SGB_2570	Tibetancattle
