"SGB" "V4" "V3" "V5" "V6"
"1" "SGB_1940" "clade" "#0000CD" "normal" "1"
"2" "SGB_1858" "clade" "#0000CD" "normal" "1"
"3" "SGB_1874" "clade" "#0000CD" "normal" "1"
"4" "SGB_1853" "clade" "#0000CD" "normal" "1"
"5" "SGB_1878" "clade" "#0000CD" "normal" "1"
"6" "SGB_1854" "clade" "#0000CD" "normal" "1"
"7" "SGB_1876" "clade" "#0000CD" "normal" "1"
"8" "SGB_1877" "clade" "#0000CD" "normal" "1"
"9" "SGB_1870" "clade" "#0000CD" "normal" "1"
"10" "SGB_1856" "clade" "#0000CD" "normal" "1"
"11" "SGB_1926" "clade" "#0000CD" "normal" "1"
"12" "SGB_1911" "clade" "#0000CD" "normal" "1"
"13" "SGB_1912" "clade" "#0000CD" "normal" "1"
"14" "SGB_1880" "clade" "#0000CD" "normal" "1"
"15" "SGB_1891" "clade" "#33FFCC" "normal" "1"
"16" "SGB_1626" "clade" "#33FFCC" "normal" "1"
"17" "SGB_1582" "clade" "#33FFCC" "normal" "1"
"18" "SGB_1875" "clade" "#33FFCC" "normal" "1"
"19" "SGB_1615" "clade" "#33FFCC" "normal" "1"
"20" "SGB_1900" "clade" "#33FFCC" "normal" "1"
"21" "SGB_1587" "clade" "#33FFCC" "normal" "1"
"22" "SGB_1586" "clade" "#33FFCC" "normal" "1"
"23" "SGB_1667" "clade" "#33FFCC" "normal" "1"
"24" "SGB_1871" "clade" "#33FFCC" "normal" "1"
"25" "SGB_1576" "clade" "#33FFCC" "normal" "1"
"26" "SGB_1603" "clade" "#33FFCC" "normal" "1"
"27" "SGB_1724" "clade" "#33FFCC" "normal" "1"
"28" "SGB_1592" "clade" "#33FFCC" "normal" "1"
"29" "SGB_1625" "clade" "#33FFCC" "normal" "1"
"30" "SGB_1938" "clade" "#33FFCC" "normal" "1"
"31" "SGB_1916" "clade" "#33FFCC" "normal" "1"
"32" "SGB_1578" "clade" "#33FFCC" "normal" "1"
"33" "SGB_1887" "clade" "#33FFCC" "normal" "1"
"34" "SGB_1573" "clade" "#33FFCC" "normal" "1"
"35" "SGB_1895" "clade" "#33FFCC" "normal" "1"
"36" "SGB_1572" "clade" "#33FFCC" "normal" "1"
"37" "SGB_1921" "clade" "#33FFCC" "normal" "1"
"38" "SGB_1882" "clade" "#33FFCC" "normal" "1"
"39" "SGB_1869" "clade" "#33FFCC" "normal" "1"
"40" "SGB_1898" "clade" "#33FFCC" "normal" "1"
"41" "SGB_1915" "clade" "#33FFCC" "normal" "1"
"42" "SGB_1634" "clade" "#33FFCC" "normal" "1"
"43" "SGB_1879" "clade" "#33FFCC" "normal" "1"
"44" "SGB_1889" "clade" "#33FFCC" "normal" "1"
"45" "SGB_1827" "clade" "#33FFCC" "normal" "1"
"46" "SGB_1611" "clade" "#33FFCC" "normal" "1"
"47" "SGB_1864" "clade" "#33FFCC" "normal" "1"
"48" "SGB_1609" "clade" "#33FFCC" "normal" "1"
"49" "SGB_1627" "clade" "#33FFCC" "normal" "1"
"50" "SGB_1617" "clade" "#33FFCC" "normal" "1"
"51" "SGB_1574" "clade" "#33FFCC" "normal" "1"
"52" "SGB_1725" "clade" "#336600" "normal" "1"
"53" "SGB_1824" "clade" "#336600" "normal" "1"
"54" "SGB_1807" "clade" "#336600" "normal" "1"
"55" "SGB_1767" "clade" "#336600" "normal" "1"
"56" "SGB_1836" "clade" "#336600" "normal" "1"
"57" "SGB_1774" "clade" "#336600" "normal" "1"
"58" "SGB_1826" "clade" "#336600" "normal" "1"
"59" "SGB_1691" "clade" "#00FF00" "normal" "1"
"60" "SGB_1851" "clade" "#00FF00" "normal" "1"
"61" "SGB_1677" "clade" "#00FF00" "normal" "1"
"62" "SGB_1652" "clade" "#00FF00" "normal" "1"
"63" "SGB_1822" "clade" "#00FF00" "normal" "1"
"64" "SGB_1790" "clade" "#00FF00" "normal" "1"
"65" "SGB_1678" "clade" "#00FF00" "normal" "1"
"66" "SGB_1657" "clade" "#00FF00" "normal" "1"
"67" "SGB_1803" "clade" "#00FF00" "normal" "1"
"68" "SGB_1669" "clade" "#00FF00" "normal" "1"
"69" "SGB_1789" "clade" "#00FF00" "normal" "1"
"70" "SGB_1778" "clade" "#00FF00" "normal" "1"
"71" "SGB_1756" "clade" "#00FF00" "normal" "1"
"72" "SGB_1840" "clade" "#00FF00" "normal" "1"
"73" "SGB_1662" "clade" "#00FF00" "normal" "1"
"74" "SGB_1681" "clade" "#00FF00" "normal" "1"
"75" "SGB_1763" "clade" "#00FF00" "normal" "1"
"76" "SGB_1694" "clade" "#00FF00" "normal" "1"
"77" "SGB_1734" "clade" "#00FF00" "normal" "1"
"78" "SGB_1743" "clade" "#00FF00" "normal" "1"
"79" "SGB_1805" "clade" "#00FF00" "normal" "1"
"80" "SGB_1806" "clade" "#00FF00" "normal" "1"
"81" "SGB_1847" "clade" "#00FF00" "normal" "1"
"82" "SGB_1835" "clade" "#00FF00" "normal" "1"
"83" "SGB_1740" "clade" "#00FF00" "normal" "1"
"84" "SGB_1841" "clade" "#00FF00" "normal" "1"
"85" "SGB_1770" "clade" "#00FF00" "normal" "1"
"86" "SGB_1784" "clade" "#00FF00" "normal" "1"
"87" "SGB_1848" "clade" "#00FF00" "normal" "1"
