"SGB" "V7" "V3" "V5" "V6"
"1" "SGB_1940" "label" "#0000CD" "normal" "1"
"2" "SGB_1858" "label" "#0000CD" "normal" "1"
"3" "SGB_1874" "label" "#0000CD" "normal" "1"
"4" "SGB_1853" "label" "#0000CD" "normal" "1"
"5" "SGB_1878" "label" "#0000CD" "normal" "1"
"6" "SGB_1854" "label" "#0000CD" "normal" "1"
"7" "SGB_1876" "label" "#0000CD" "normal" "1"
"8" "SGB_1877" "label" "#0000CD" "normal" "1"
"9" "SGB_1870" "label" "#0000CD" "normal" "1"
"10" "SGB_1856" "label" "#0000CD" "normal" "1"
"11" "SGB_1926" "label" "#0000CD" "normal" "1"
"12" "SGB_1911" "label" "#0000CD" "normal" "1"
"13" "SGB_1912" "label" "#0000CD" "normal" "1"
"14" "SGB_1880" "label" "#0000CD" "normal" "1"
"15" "SGB_1891" "label" "#33FFCC" "normal" "1"
"16" "SGB_1626" "label" "#33FFCC" "normal" "1"
"17" "SGB_1582" "label" "#33FFCC" "normal" "1"
"18" "SGB_1875" "label" "#33FFCC" "normal" "1"
"19" "SGB_1615" "label" "#33FFCC" "normal" "1"
"20" "SGB_1900" "label" "#33FFCC" "normal" "1"
"21" "SGB_1587" "label" "#33FFCC" "normal" "1"
"22" "SGB_1586" "label" "#33FFCC" "normal" "1"
"23" "SGB_1667" "label" "#33FFCC" "normal" "1"
"24" "SGB_1871" "label" "#33FFCC" "normal" "1"
"25" "SGB_1576" "label" "#33FFCC" "normal" "1"
"26" "SGB_1603" "label" "#33FFCC" "normal" "1"
"27" "SGB_1724" "label" "#33FFCC" "normal" "1"
"28" "SGB_1592" "label" "#33FFCC" "normal" "1"
"29" "SGB_1625" "label" "#33FFCC" "normal" "1"
"30" "SGB_1938" "label" "#33FFCC" "normal" "1"
"31" "SGB_1916" "label" "#33FFCC" "normal" "1"
"32" "SGB_1578" "label" "#33FFCC" "normal" "1"
"33" "SGB_1887" "label" "#33FFCC" "normal" "1"
"34" "SGB_1573" "label" "#33FFCC" "normal" "1"
"35" "SGB_1895" "label" "#33FFCC" "normal" "1"
"36" "SGB_1572" "label" "#33FFCC" "normal" "1"
"37" "SGB_1921" "label" "#33FFCC" "normal" "1"
"38" "SGB_1882" "label" "#33FFCC" "normal" "1"
"39" "SGB_1869" "label" "#33FFCC" "normal" "1"
"40" "SGB_1898" "label" "#33FFCC" "normal" "1"
"41" "SGB_1915" "label" "#33FFCC" "normal" "1"
"42" "SGB_1634" "label" "#33FFCC" "normal" "1"
"43" "SGB_1879" "label" "#33FFCC" "normal" "1"
"44" "SGB_1889" "label" "#33FFCC" "normal" "1"
"45" "SGB_1827" "label" "#33FFCC" "normal" "1"
"46" "SGB_1611" "label" "#33FFCC" "normal" "1"
"47" "SGB_1864" "label" "#33FFCC" "normal" "1"
"48" "SGB_1609" "label" "#33FFCC" "normal" "1"
"49" "SGB_1627" "label" "#33FFCC" "normal" "1"
"50" "SGB_1617" "label" "#33FFCC" "normal" "1"
"51" "SGB_1574" "label" "#33FFCC" "normal" "1"
"52" "SGB_1725" "label" "#336600" "normal" "1"
"53" "SGB_1824" "label" "#336600" "normal" "1"
"54" "SGB_1807" "label" "#336600" "normal" "1"
"55" "SGB_1767" "label" "#336600" "normal" "1"
"56" "SGB_1836" "label" "#336600" "normal" "1"
"57" "SGB_1774" "label" "#336600" "normal" "1"
"58" "SGB_1826" "label" "#336600" "normal" "1"
"59" "SGB_1691" "label" "#00FF00" "normal" "1"
"60" "SGB_1851" "label" "#00FF00" "normal" "1"
"61" "SGB_1677" "label" "#00FF00" "normal" "1"
"62" "SGB_1652" "label" "#00FF00" "normal" "1"
"63" "SGB_1822" "label" "#00FF00" "normal" "1"
"64" "SGB_1790" "label" "#00FF00" "normal" "1"
"65" "SGB_1678" "label" "#00FF00" "normal" "1"
"66" "SGB_1657" "label" "#00FF00" "normal" "1"
"67" "SGB_1803" "label" "#00FF00" "normal" "1"
"68" "SGB_1669" "label" "#00FF00" "normal" "1"
"69" "SGB_1789" "label" "#00FF00" "normal" "1"
"70" "SGB_1778" "label" "#00FF00" "normal" "1"
"71" "SGB_1756" "label" "#00FF00" "normal" "1"
"72" "SGB_1840" "label" "#00FF00" "normal" "1"
"73" "SGB_1662" "label" "#00FF00" "normal" "1"
"74" "SGB_1681" "label" "#00FF00" "normal" "1"
"75" "SGB_1763" "label" "#00FF00" "normal" "1"
"76" "SGB_1694" "label" "#00FF00" "normal" "1"
"77" "SGB_1734" "label" "#00FF00" "normal" "1"
"78" "SGB_1743" "label" "#00FF00" "normal" "1"
"79" "SGB_1805" "label" "#00FF00" "normal" "1"
"80" "SGB_1806" "label" "#00FF00" "normal" "1"
"81" "SGB_1847" "label" "#00FF00" "normal" "1"
"82" "SGB_1835" "label" "#00FF00" "normal" "1"
"83" "SGB_1740" "label" "#00FF00" "normal" "1"
"84" "SGB_1841" "label" "#00FF00" "normal" "1"
"85" "SGB_1770" "label" "#00FF00" "normal" "1"
"86" "SGB_1784" "label" "#00FF00" "normal" "1"
"87" "SGB_1848" "label" "#00FF00" "normal" "1"
