"SGB" "V4" "V3" "V5" "V6"
"1" "SGB_13779" "clade" "#DC143B" "normal" "1"
"2" "SGB_13774" "clade" "#FF99FF" "normal" "1"
"3" "SGB_14557" "clade" "#0000CD" "normal" "1"
"4" "SGB_14603" "clade" "#0000CD" "normal" "1"
"5" "SGB_14599" "clade" "#0000CD" "normal" "1"
"6" "SGB_14658" "clade" "#0000CD" "normal" "1"
"7" "SGB_14490" "clade" "#0000CD" "normal" "1"
"8" "SGB_14186" "clade" "#0000CD" "normal" "1"
"9" "SGB_14303" "clade" "#0000CD" "normal" "1"
"10" "SGB_14617" "clade" "#0000CD" "normal" "1"
"11" "SGB_14764" "clade" "#0000CD" "normal" "1"
"12" "SGB_14677" "clade" "#0000CD" "normal" "1"
"13" "SGB_14598" "clade" "#0000CD" "normal" "1"
"14" "SGB_14753" "clade" "#0000CD" "normal" "1"
"15" "SGB_14633" "clade" "#0000CD" "normal" "1"
"16" "SGB_14560" "clade" "#0000CD" "normal" "1"
"17" "SGB_14674" "clade" "#0000CD" "normal" "1"
"18" "SGB_14583" "clade" "#0000CD" "normal" "1"
"19" "SGB_14421" "clade" "#0000CD" "normal" "1"
"20" "SGB_14290" "clade" "#0000CD" "normal" "1"
"21" "SGB_14624" "clade" "#0000CD" "normal" "1"
"22" "SGB_14507" "clade" "#0000CD" "normal" "1"
"23" "SGB_14425" "clade" "#0000CD" "normal" "1"
"24" "SGB_14663" "clade" "#0000CD" "normal" "1"
"25" "SGB_14623" "clade" "#0000CD" "normal" "1"
"26" "SGB_14714" "clade" "#0000CD" "normal" "1"
"27" "SGB_14740" "clade" "#0000CD" "normal" "1"
"28" "SGB_14492" "clade" "#0000CD" "normal" "1"
"29" "SGB_14534" "clade" "#0000CD" "normal" "1"
"30" "SGB_14695" "clade" "#0000CD" "normal" "1"
"31" "SGB_14509" "clade" "#0000CD" "normal" "1"
"32" "SGB_14261" "clade" "#0000CD" "normal" "1"
"33" "SGB_14675" "clade" "#0000CD" "normal" "1"
"34" "SGB_14222" "clade" "#0000CD" "normal" "1"
"35" "SGB_14564" "clade" "#0000CD" "normal" "1"
"36" "SGB_14576" "clade" "#0000CD" "normal" "1"
"37" "SGB_14270" "clade" "#0000CD" "normal" "1"
"38" "SGB_14477" "clade" "#0000CD" "normal" "1"
"39" "SGB_14394" "clade" "#0000CD" "normal" "1"
"40" "SGB_14282" "clade" "#0000CD" "normal" "1"
"41" "SGB_14164" "clade" "#0000CD" "normal" "1"
"42" "SGB_14206" "clade" "#0000CD" "normal" "1"
"43" "SGB_14631" "clade" "#0000CD" "normal" "1"
"44" "SGB_14213" "clade" "#0000CD" "normal" "1"
"45" "SGB_14188" "clade" "#0000CD" "normal" "1"
"46" "SGB_14546" "clade" "#0000CD" "normal" "1"
"47" "SGB_14620" "clade" "#0000CD" "normal" "1"
"48" "SGB_14464" "clade" "#0000CD" "normal" "1"
"49" "SGB_14438" "clade" "#0000CD" "normal" "1"
"50" "SGB_14461" "clade" "#0000CD" "normal" "1"
