"SGB" "V7" "V3" "V5" "V6"
"1" "SGB_13779" "label" "#DC143B" "normal" "1"
"2" "SGB_13774" "label" "#FF99FF" "normal" "1"
"3" "SGB_14557" "label" "#0000CD" "normal" "1"
"4" "SGB_14603" "label" "#0000CD" "normal" "1"
"5" "SGB_14599" "label" "#0000CD" "normal" "1"
"6" "SGB_14658" "label" "#0000CD" "normal" "1"
"7" "SGB_14490" "label" "#0000CD" "normal" "1"
"8" "SGB_14186" "label" "#0000CD" "normal" "1"
"9" "SGB_14303" "label" "#0000CD" "normal" "1"
"10" "SGB_14617" "label" "#0000CD" "normal" "1"
"11" "SGB_14764" "label" "#0000CD" "normal" "1"
"12" "SGB_14677" "label" "#0000CD" "normal" "1"
"13" "SGB_14598" "label" "#0000CD" "normal" "1"
"14" "SGB_14753" "label" "#0000CD" "normal" "1"
"15" "SGB_14633" "label" "#0000CD" "normal" "1"
"16" "SGB_14560" "label" "#0000CD" "normal" "1"
"17" "SGB_14674" "label" "#0000CD" "normal" "1"
"18" "SGB_14583" "label" "#0000CD" "normal" "1"
"19" "SGB_14421" "label" "#0000CD" "normal" "1"
"20" "SGB_14290" "label" "#0000CD" "normal" "1"
"21" "SGB_14624" "label" "#0000CD" "normal" "1"
"22" "SGB_14507" "label" "#0000CD" "normal" "1"
"23" "SGB_14425" "label" "#0000CD" "normal" "1"
"24" "SGB_14663" "label" "#0000CD" "normal" "1"
"25" "SGB_14623" "label" "#0000CD" "normal" "1"
"26" "SGB_14714" "label" "#0000CD" "normal" "1"
"27" "SGB_14740" "label" "#0000CD" "normal" "1"
"28" "SGB_14492" "label" "#0000CD" "normal" "1"
"29" "SGB_14534" "label" "#0000CD" "normal" "1"
"30" "SGB_14695" "label" "#0000CD" "normal" "1"
"31" "SGB_14509" "label" "#0000CD" "normal" "1"
"32" "SGB_14261" "label" "#0000CD" "normal" "1"
"33" "SGB_14675" "label" "#0000CD" "normal" "1"
"34" "SGB_14222" "label" "#0000CD" "normal" "1"
"35" "SGB_14564" "label" "#0000CD" "normal" "1"
"36" "SGB_14576" "label" "#0000CD" "normal" "1"
"37" "SGB_14270" "label" "#0000CD" "normal" "1"
"38" "SGB_14477" "label" "#0000CD" "normal" "1"
"39" "SGB_14394" "label" "#0000CD" "normal" "1"
"40" "SGB_14282" "label" "#0000CD" "normal" "1"
"41" "SGB_14164" "label" "#0000CD" "normal" "1"
"42" "SGB_14206" "label" "#0000CD" "normal" "1"
"43" "SGB_14631" "label" "#0000CD" "normal" "1"
"44" "SGB_14213" "label" "#0000CD" "normal" "1"
"45" "SGB_14188" "label" "#0000CD" "normal" "1"
"46" "SGB_14546" "label" "#0000CD" "normal" "1"
"47" "SGB_14620" "label" "#0000CD" "normal" "1"
"48" "SGB_14464" "label" "#0000CD" "normal" "1"
"49" "SGB_14438" "label" "#0000CD" "normal" "1"
"50" "SGB_14461" "label" "#0000CD" "normal" "1"
"51" "SGB_14221" "label" "#0000CD" "normal" "1"
"52" "SGB_14194" "label" "#0000CD" "normal" "1"
"53" "SGB_14567" "label" "#0000CD" "normal" "1"
"54" "SGB_14376" "label" "#0000CD" "normal" "1"
"55" "SGB_14526" "label" "#0000CD" "normal" "1"
"56" "SGB_14452" "label" "#0000CD" "normal" "1"
"57" "SGB_14465" "label" "#0000CD" "normal" "1"
"58" "SGB_14629" "label" "#0000CD" "normal" "1"
"59" "SGB_14672" "label" "#0000CD" "normal" "1"
"60" "SGB_14437" "label" "#0000CD" "normal" "1"
"61" "SGB_14531" "label" "#0000CD" "normal" "1"
"62" "SGB_14294" "label" "#0000CD" "normal" "1"
"63" "SGB_14209" "label" "#0000CD" "normal" "1"
"64" "SGB_14491" "label" "#0000CD" "normal" "1"
"65" "SGB_14527" "label" "#0000CD" "normal" "1"
"66" "SGB_14315" "label" "#0000CD" "normal" "1"
"67" "SGB_14665" "label" "#0000CD" "normal" "1"
"68" "SGB_14510" "label" "#0000CD" "normal" "1"
"69" "SGB_14289" "label" "#0000CD" "normal" "1"
"70" "SGB_14298" "label" "#0000CD" "normal" "1"
"71" "SGB_14613" "label" "#0000CD" "normal" "1"
"72" "SGB_14182" "label" "#0000CD" "normal" "1"
"73" "SGB_14334" "label" "#0000CD" "normal" "1"
"74" "SGB_14316" "label" "#0000CD" "normal" "1"
"75" "SGB_14422" "label" "#0000CD" "normal" "1"
"76" "SGB_14218" "label" "#0000CD" "normal" "1"
"77" "SGB_14332" "label" "#0000CD" "normal" "1"
"78" "SGB_14357" "label" "#0000CD" "normal" "1"
"79" "SGB_13446" "label" "#0000CD" "normal" "1"
"80" "SGB_14373" "label" "#0000CD" "normal" "1"
"81" "SGB_14475" "label" "#0000CD" "normal" "1"
"82" "SGB_14350" "label" "#0000CD" "normal" "1"
"83" "SGB_14656" "label" "#0000CD" "normal" "1"
"84" "SGB_14313" "label" "#0000CD" "normal" "1"
"85" "SGB_14167" "label" "#0000CD" "normal" "1"
"86" "SGB_14229" "label" "#0000CD" "normal" "1"
"87" "SGB_14207" "label" "#0000CD" "normal" "1"
"88" "SGB_14420" "label" "#0000CD" "normal" "1"
"89" "SGB_14391" "label" "#0000CD" "normal" "1"
"90" "SGB_14371" "label" "#0000CD" "normal" "1"
"91" "SGB_14736" "label" "#0000CD" "normal" "1"
"92" "SGB_14189" "label" "#0000CD" "normal" "1"
"93" "SGB_13725" "label" "#0000CD" "normal" "1"
"94" "SGB_14504" "label" "#0000CD" "normal" "1"
"95" "SGB_14165" "label" "#0000CD" "normal" "1"
"96" "SGB_14305" "label" "#0000CD" "normal" "1"
"97" "SGB_14535" "label" "#0000CD" "normal" "1"
"98" "SGB_13540" "label" "#0000CD" "normal" "1"
"99" "SGB_13911" "label" "#0000CD" "normal" "1"
"100" "SGB_13541" "label" "#33FFCC" "normal" "1"
"101" "SGB_14431" "label" "#33FFCC" "normal" "1"
"102" "SGB_14436" "label" "#33FFCC" "normal" "1"
"103" "SGB_13623" "label" "#33FFCC" "normal" "1"
"104" "SGB_13479" "label" "#33FFCC" "normal" "1"
"105" "SGB_13701" "label" "#33FFCC" "normal" "1"
"106" "SGB_13459" "label" "#33FFCC" "normal" "1"
"107" "SGB_13555" "label" "#33FFCC" "normal" "1"
"108" "SGB_14498" "label" "#33FFCC" "normal" "1"
"109" "SGB_13506" "label" "#33FFCC" "normal" "1"
"110" "SGB_14388" "label" "#33FFCC" "normal" "1"
"111" "SGB_13732" "label" "#33FFCC" "normal" "1"
"112" "SGB_13693" "label" "#33FFCC" "normal" "1"
"113" "SGB_13565" "label" "#33FFCC" "normal" "1"
"114" "SGB_13663" "label" "#33FFCC" "normal" "1"
"115" "SGB_14147" "label" "#33FFCC" "normal" "1"
"116" "SGB_14512" "label" "#33FFCC" "normal" "1"
"117" "SGB_13583" "label" "#33FFCC" "normal" "1"
"118" "SGB_14441" "label" "#33FFCC" "normal" "1"
"119" "SGB_14323" "label" "#33FFCC" "normal" "1"
"120" "SGB_14367" "label" "#33FFCC" "normal" "1"
"121" "SGB_13692" "label" "#33FFCC" "normal" "1"
"122" "SGB_14596" "label" "#33FFCC" "normal" "1"
"123" "SGB_13523" "label" "#33FFCC" "normal" "1"
"124" "SGB_13690" "label" "#33FFCC" "normal" "1"
"125" "SGB_13569" "label" "#33FFCC" "normal" "1"
"126" "SGB_13617" "label" "#33FFCC" "normal" "1"
"127" "SGB_14515" "label" "#33FFCC" "normal" "1"
"128" "SGB_13762" "label" "#33FFCC" "normal" "1"
"129" "SGB_14614" "label" "#33FFCC" "normal" "1"
"130" "SGB_13714" "label" "#33FFCC" "normal" "1"
"131" "SGB_14352" "label" "#33FFCC" "normal" "1"
"132" "SGB_14143" "label" "#33FFCC" "normal" "1"
"133" "SGB_13688" "label" "#33FFCC" "normal" "1"
"134" "SGB_13668" "label" "#33FFCC" "normal" "1"
"135" "SGB_13903" "label" "#336600" "normal" "1"
"136" "SGB_13788" "label" "#336600" "normal" "1"
"137" "SGB_13947" "label" "#336600" "normal" "1"
"138" "SGB_14056" "label" "#336600" "normal" "1"
"139" "SGB_14114" "label" "#336600" "normal" "1"
"140" "SGB_14046" "label" "#336600" "normal" "1"
"141" "SGB_13896" "label" "#336600" "normal" "1"
"142" "SGB_14009" "label" "#336600" "normal" "1"
"143" "SGB_13981" "label" "#336600" "normal" "1"
"144" "SGB_14103" "label" "#336600" "normal" "1"
"145" "SGB_14172" "label" "#336600" "normal" "1"
"146" "SGB_13899" "label" "#336600" "normal" "1"
"147" "SGB_13834" "label" "#00FF00" "normal" "1"
"148" "SGB_14084" "label" "#00FF00" "normal" "1"
"149" "SGB_13863" "label" "#00FF00" "normal" "1"
