"SGB" "V7" "V3" "V5" "V6"
"1" "SGB_2340" "label" "#DC143B" "normal" "1"
"2" "SGB_2252" "label" "#DC143B" "normal" "1"
"3" "SGB_2337" "label" "#DC143B" "normal" "1"
"4" "SGB_2313" "label" "#DC143B" "normal" "1"
"5" "SGB_2288" "label" "#DC143B" "normal" "1"
"6" "SGB_2290" "label" "#DC143B" "normal" "1"
"7" "SGB_2341" "label" "#DC143B" "normal" "1"
"8" "SGB_2279" "label" "#DC143B" "normal" "1"
"9" "SGB_2301" "label" "#DC143B" "normal" "1"
"10" "SGB_2331" "label" "#DC143B" "normal" "1"
"11" "SGB_2329" "label" "#DC143B" "normal" "1"
"12" "SGB_2306" "label" "#DC143B" "normal" "1"
"13" "SGB_2315" "label" "#DC143B" "normal" "1"
"14" "SGB_2255" "label" "#DC143B" "normal" "1"
"15" "SGB_2321" "label" "#DC143B" "normal" "1"
"16" "SGB_2260" "label" "#DC143B" "normal" "1"
"17" "SGB_2267" "label" "#DC143B" "normal" "1"
"18" "SGB_2334" "label" "#DC143B" "normal" "1"
"19" "SGB_2254" "label" "#DC143B" "normal" "1"
"20" "SGB_2452" "label" "#DC143B" "normal" "1"
"21" "SGB_2283" "label" "#DC143B" "normal" "1"
"22" "SGB_2275" "label" "#DC143B" "normal" "1"
"23" "SGB_2256" "label" "#DC143B" "normal" "1"
"24" "SGB_2311" "label" "#DC143B" "normal" "1"
"25" "SGB_2277" "label" "#DC143B" "normal" "1"
"26" "SGB_2472" "label" "#DC143B" "normal" "1"
"27" "SGB_2271" "label" "#DC143B" "normal" "1"
"28" "SGB_2287" "label" "#DC143B" "normal" "1"
"29" "SGB_2435" "label" "#DC143B" "normal" "1"
"30" "SGB_2461" "label" "#FF99FF" "normal" "1"
"31" "SGB_2425" "label" "#FF99FF" "normal" "1"
"32" "SGB_2477" "label" "#FF99FF" "normal" "1"
"33" "SGB_2430" "label" "#FF99FF" "normal" "1"
"34" "SGB_2469" "label" "#FF99FF" "normal" "1"
"35" "SGB_2468" "label" "#FF99FF" "normal" "1"
"36" "SGB_2454" "label" "#FF99FF" "normal" "1"
"37" "SGB_2265" "label" "#FF99FF" "normal" "1"
"38" "SGB_2475" "label" "#FF99FF" "normal" "1"
"39" "SGB_2424" "label" "#FF99FF" "normal" "1"
"40" "SGB_2438" "label" "#FF99FF" "normal" "1"
"41" "SGB_2418" "label" "#FF99FF" "normal" "1"
"42" "SGB_2465" "label" "#FF99FF" "normal" "1"
"43" "SGB_2245" "label" "#FF99FF" "normal" "1"
"44" "SGB_2481" "label" "#FF99FF" "normal" "1"
"45" "SGB_2257" "label" "#FF99FF" "normal" "1"
"46" "SGB_2299" "label" "#FF99FF" "normal" "1"
"47" "SGB_2249" "label" "#FF99FF" "normal" "1"
"48" "SGB_2665" "label" "#0000CD" "normal" "1"
"49" "SGB_2691" "label" "#0000CD" "normal" "1"
"50" "SGB_2660" "label" "#0000CD" "normal" "1"
"51" "SGB_2661" "label" "#0000CD" "normal" "1"
"52" "SGB_2654" "label" "#0000CD" "normal" "1"
"53" "SGB_2679" "label" "#0000CD" "normal" "1"
"54" "SGB_2656" "label" "#33FFCC" "normal" "1"
"55" "SGB_2208" "label" "#33FFCC" "normal" "1"
"56" "SGB_2207" "label" "#33FFCC" "normal" "1"
"57" "SGB_2177" "label" "#33FFCC" "normal" "1"
"58" "SGB_2220" "label" "#33FFCC" "normal" "1"
"59" "SGB_2175" "label" "#33FFCC" "normal" "1"
"60" "SGB_2202" "label" "#33FFCC" "normal" "1"
"61" "SGB_2367" "label" "#33FFCC" "normal" "1"
"62" "SGB_2237" "label" "#33FFCC" "normal" "1"
"63" "SGB_2200" "label" "#33FFCC" "normal" "1"
"64" "SGB_2684" "label" "#33FFCC" "normal" "1"
"65" "SGB_2671" "label" "#33FFCC" "normal" "1"
"66" "SGB_2648" "label" "#33FFCC" "normal" "1"
"67" "SGB_2222" "label" "#33FFCC" "normal" "1"
"68" "SGB_2384" "label" "#33FFCC" "normal" "1"
"69" "SGB_2221" "label" "#33FFCC" "normal" "1"
"70" "SGB_2192" "label" "#33FFCC" "normal" "1"
"71" "SGB_2640" "label" "#33FFCC" "normal" "1"
"72" "SGB_2211" "label" "#33FFCC" "normal" "1"
"73" "SGB_2673" "label" "#33FFCC" "normal" "1"
"74" "SGB_2669" "label" "#33FFCC" "normal" "1"
"75" "SGB_2561" "label" "#33FFCC" "normal" "1"
"76" "SGB_2696" "label" "#33FFCC" "normal" "1"
"77" "SGB_2181" "label" "#33FFCC" "normal" "1"
"78" "SGB_2714" "label" "#33FFCC" "normal" "1"
"79" "SGB_2204" "label" "#33FFCC" "normal" "1"
"80" "SGB_2694" "label" "#33FFCC" "normal" "1"
"81" "SGB_2710" "label" "#33FFCC" "normal" "1"
"82" "SGB_2216" "label" "#33FFCC" "normal" "1"
"83" "SGB_2215" "label" "#33FFCC" "normal" "1"
"84" "SGB_2234" "label" "#33FFCC" "normal" "1"
"85" "SGB_2193" "label" "#33FFCC" "normal" "1"
"86" "SGB_2581" "label" "#336600" "normal" "1"
"87" "SGB_2628" "label" "#336600" "normal" "1"
"88" "SGB_2583" "label" "#336600" "normal" "1"
"89" "SGB_2619" "label" "#336600" "normal" "1"
"90" "SGB_2491" "label" "#336600" "normal" "1"
"91" "SGB_2590" "label" "#336600" "normal" "1"
"92" "SGB_2592" "label" "#336600" "normal" "1"
"93" "SGB_2574" "label" "#336600" "normal" "1"
