BGC_ID,BGC_cluster_ID,BGC_Prediction,BiG-SCAPE_class
T1900044536_TS20190002_bin.253.fa.c00063_T190004...region001, T1900044536_TS20190002_bin.253_T1900044536_TS20190002_bin.253_contig_000063,RRE-containing,RiPPs
T1900044537_TS20190003_bin.399.fa.c00046_T190004...region001, T1900044537_TS20190003_bin.399_T1900044537_TS20190003_bin.399_contig_000046,RRE-containing,RiPPs
T1900044537_TS20190003_bin.399.fa.c00100_T190004...region001, T1900044537_TS20190003_bin.399_T1900044537_TS20190003_bin.399_contig_000100,ranthipeptide,RiPPs
T1900044537_TS20190003_bin.399.fa.c00175_T190004...region001, T1900044537_TS20190003_bin.399_T1900044537_TS20190003_bin.399_contig_000175,RRE-containing,RiPPs
T1900044542_TS20190008_bin.69.fa.c00014_T190004...region001, T1900044542_TS20190008_bin.69_T1900044542_TS20190008_bin.69_contig_000014,terpene,Terpene
T1900044545_TS20190011_bin.346.fa.c00016_T190004...region001, T1900044545_TS20190011_bin.346_T1900044545_TS20190011_bin.346_contig_000016,NRPS-like,NRPS
T1900044545_TS20190011_bin.346.fa.c00022_T190004...region001, T1900044545_TS20190011_bin.346_T1900044545_TS20190011_bin.346_contig_000022,ranthipeptide,RiPPs
T1900044545_TS20190011_bin.346.fa.c00060_T190004...region001, T1900044545_TS20190011_bin.346_T1900044545_TS20190011_bin.346_contig_000060,NRPS,NRPS
T1900044545_TS20190011_bin.346.fa.c00207_T190004...region001, T1900044545_TS20190011_bin.346_T1900044545_TS20190011_bin.346_contig_000207,cyclic-lactone-autoinducer,RiPPs
T1900044545_TS20190011_bin.346.fa.c00230_T190004...region001, T1900044545_TS20190011_bin.346_T1900044545_TS20190011_bin.346_contig_000230,NRPS,NRPS
T1900044546_TS20190012_bin.102.fa.c00041_T190004...region001, T1900044546_TS20190012_bin.102_T1900044546_TS20190012_bin.102_contig_000041,betalactone,Others
T1900044546_TS20190012_bin.235.fa.c00006_T190004...region001, T1900044546_TS20190012_bin.235_T1900044546_TS20190012_bin.235_contig_000006,RRE-containing,RiPPs
T1900044546_TS20190012_bin.235.fa.c00024_T190004...region001, T1900044546_TS20190012_bin.235_T1900044546_TS20190012_bin.235_contig_000024,betalactone,Others
T1900044546_TS20190012_bin.235.fa.c00029_T190004...region001, T1900044546_TS20190012_bin.235_T1900044546_TS20190012_bin.235_contig_000029,ranthipeptide,RiPPs
T1900044546_TS20190012_bin.4.fa.c00011_T190004...region001, T1900044546_TS20190012_bin.4_T1900044546_TS20190012_bin.4_contig_000011,ranthipeptide,RiPPs
T1900044546_TS20190012_bin.4.fa.c00027_T190004...region001, T1900044546_TS20190012_bin.4_T1900044546_TS20190012_bin.4_contig_000027,RRE-containing,RiPPs
T1900044546_TS20190012_bin.60.fa.c00115_T190004...region001, T1900044546_TS20190012_bin.60_T1900044546_TS20190012_bin.60_contig_000115,RRE-containing,RiPPs
T1900044549_TS20190015_bin.381.fa.c00039_T190004...region001, T1900044549_TS20190015_bin.381_T1900044549_TS20190015_bin.381_contig_000039,terpene,Terpene
T1900044549_TS20190015_bin.381.fa.c00083_T190004...region001, T1900044549_TS20190015_bin.381_T1900044549_TS20190015_bin.381_contig_000083,terpene,Terpene
T1900044549_TS20190015_bin.381.fa.c00099_T190004...region001, T1900044549_TS20190015_bin.381_T1900044549_TS20190015_bin.381_contig_000099,T1PKS,PKSI
T1900044550_TS20190016_bin.230.fa.c00006_T190004...region001, T1900044550_TS20190016_bin.230_T1900044550_TS20190016_bin.230_contig_000006,RRE-containing,RiPPs
T1900044550_TS20190016_bin.230.fa.c00014_T190004...region001, T1900044550_TS20190016_bin.230_T1900044550_TS20190016_bin.230_contig_000014,ranthipeptide,RiPPs
T1900044553_TS20190019_bin.95.fa.c00041_T190004...region001, T1900044553_TS20190019_bin.95_T1900044553_TS20190019_bin.95_contig_000041,NRPS-like,NRPS
T1900044553_TS20190019_bin.95.fa.c00054_T190004...region001, T1900044553_TS20190019_bin.95_T1900044553_TS20190019_bin.95_contig_000054,betalactone,Others
T1900044553_TS20190019_bin.95.fa.c00067_T190004...region001, T1900044553_TS20190019_bin.95_T1900044553_TS20190019_bin.95_contig_000067,ranthipeptide,RiPPs
T1900044553_TS20190019_bin.95.fa.c00172_T190004...region001, T1900044553_TS20190019_bin.95_T1900044553_TS20190019_bin.95_contig_000172,RRE-containing,RiPPs
T1900044555_TS20190021_bin.263.fa.c00025_T190004...region001, T1900044555_TS20190021_bin.263_T1900044555_TS20190021_bin.263_contig_000025,RRE-containing,RiPPs
T1900044555_TS20190021_bin.263.fa.c00063_T190004...region001, T1900044555_TS20190021_bin.263_T1900044555_TS20190021_bin.263_contig_000063,ranthipeptide,RiPPs
T1900044555_TS20190021_bin.56.fa.c00028_T190004...region001, T1900044555_TS20190021_bin.56_T1900044555_TS20190021_bin.56_contig_000028,hserlactone,Others
T1900044557_TS20190023_bin.12.fa.c00016_T190004...region001, T1900044557_TS20190023_bin.12_T1900044557_TS20190023_bin.12_contig_000016,betalactone,Others
T1900044557_TS20190023_bin.12.fa.c00037_T190004...region001, T1900044557_TS20190023_bin.12_T1900044557_TS20190023_bin.12_contig_000037,RRE-containing,RiPPs
T1900044557_TS20190023_bin.12.fa.c00047_T190004...region001, T1900044557_TS20190023_bin.12_T1900044557_TS20190023_bin.12_contig_000047,ranthipeptide,RiPPs
T1900044558_TS20190024_bin.309.fa.c00030_T190004...region001, T1900044558_TS20190024_bin.309_T1900044558_TS20190024_bin.309_contig_000030,RRE-containing,RiPPs
T1900044558_TS20190024_bin.309.fa.c00045_T190004...region001, T1900044558_TS20190024_bin.309_T1900044558_TS20190024_bin.309_contig_000045,NRPS-like,NRPS
T1900044558_TS20190024_bin.309.fa.c00048_T190004...region001, T1900044558_TS20190024_bin.309_T1900044558_TS20190024_bin.309_contig_000048,betalactone,Others
T1900044559_TS20190025_bin.82.fa.c00013_T190004...region001, T1900044559_TS20190025_bin.82_T1900044559_TS20190025_bin.82_contig_000013,ranthipeptide,RiPPs
T1900044559_TS20190025_bin.82.fa.c00037_T190004...region001, T1900044559_TS20190025_bin.82_T1900044559_TS20190025_bin.82_contig_000037,betalactone,Others
T1900044563_TS20190029_bin.343.fa.c00051_T190004...region001, T1900044563_TS20190029_bin.343_T1900044563_TS20190029_bin.343_contig_000051,RRE-containing,RiPPs
T1900044565_TS20190031_bin.254.fa.c00031_T190004...region001, T1900044565_TS20190031_bin.254_T1900044565_TS20190031_bin.254_contig_000031,RRE-containing,RiPPs
T1900044565_TS20190031_bin.254.fa.c00175_T190004...region001, T1900044565_TS20190031_bin.254_T1900044565_TS20190031_bin.254_contig_000175,RRE-containing,RiPPs
