SGB_ID,MAGs_in_SGB,Yak_MAGs,Antelope_MAGs,Ass_MAGs,Cattle_MAGs,Horse_MAGs,Sheep_MAGs,Representative_genome,Quality,Completeness,Contamination,Quality_Score,tRNAs_number,tRNAs_decoding_Standard_20_AA,5S_rRNA_num,16S_rRNA_num,23S_rRNA_num,GTDB_domain,GTDB_phylum
SGB_274,165,0,47,0,0,0,118,TP20200815-DZC42_DT2009055512-1_bin.30.fa,High,93.56,0.5,91.06,48,20,3,0,0,d__Bacteria,p__Bacteroidota
SGB_275,151,4,12,0,0,0,135,TP20200815-DZC8_DT2009055478-1_bin.345.fa,High,91.64,0.37,89.79,49,20,0,0,0,d__Bacteria,p__Bacteroidota
SGB_276,145,89,15,0,0,0,41,T1900045337_YK20190026_bin.63.fa,High,92.93,0.19,91.98,45,20,0,0,0,d__Bacteria,p__Bacteroidota
SGB_277,144,2,84,0,0,0,58,TP20200825-WDL119_DT2009055619-1_bin.147.fa,High,94.27,0.5,91.77,41,19,1,1,0,d__Bacteria,p__Bacteroidota
SGB_278,119,90,0,0,29,0,0,T1900045662_YK20190356_bin.346.fa,High,95.69,0,95.69,50,19,4,1,0,d__Bacteria,p__Bacteroidota
SGB_279,111,69,2,0,23,0,17,T1900044809_TS20190275_bin.131.fa,High,90.65,1.19,84.7,45,18,1,0,0,d__Bacteria,p__Bacteroidota
SGB_280,15,0,0,0,0,0,15,T1900044554_TS20190020_bin.143.fa,Medium,89.5,1.57,81.65,41,19,2,0,0,d__Bacteria,p__Bacteroidota
SGB_281,29,0,2,0,0,0,27,T1900044558_TS20190024_bin.350.fa,Medium,87.38,0.28,85.98,37,16,3,0,0,d__Bacteria,p__Bacteroidota
SGB_282,7,0,0,0,0,0,7,T1900044569_TS20190035_bin.13.fa,Medium,89.12,1.17,83.27,36,18,0,0,0,d__Bacteria,p__Bacteroidota
SGB_283,72,33,0,0,23,0,16,T1900044588_TS20190054_bin.147.fa,Medium,88.85,0.42,86.75,39,17,4,0,0,d__Bacteria,p__Bacteroidota
SGB_284,7,0,0,0,0,0,7,T1900044593_TS20190059_bin.20.fa,Medium,88.63,1.44,81.43,31,16,3,0,0,d__Bacteria,p__Bacteroidota
SGB_285,22,13,2,0,1,0,6,T1900044611_TS20190077_bin.179.fa,Medium,86.11,0.65,82.86,32,16,2,0,0,d__Bacteria,p__Bacteroidota
