BGC_ID,BGC_cluster_ID,BGC_Prediction,BiG-SCAPE_class
T1900044535_TS20190001_bin.103.fa.c00018_T190004...region001, T1900044535_TS20190001_bin.103_T1900044535_TS20190001_bin.103_contig_000018,RRE-containing,RiPPs
T1900044535_TS20190001_bin.103.fa.c00034_T190004...region001, T1900044535_TS20190001_bin.103_T1900044535_TS20190001_bin.103_contig_000034,NRPS-like,NRPS
T1900044535_TS20190001_bin.103.fa.c00040_T190004...region001, T1900044535_TS20190001_bin.103_T1900044535_TS20190001_bin.103_contig_000040,betalactone,Others
T1900044535_TS20190001_bin.66.fa.c00180_T190004...region001, T1900044535_TS20190001_bin.66_T1900044535_TS20190001_bin.66_contig_000180,arylpolyene,Others
T1900044542_TS20190008_bin.69.fa.c00014_T190004...region001, T1900044542_TS20190008_bin.69_T1900044542_TS20190008_bin.69_contig_000014,terpene,Terpene
T1900044542_TS20190008_bin.80.fa.c00033_T190004...region001, T1900044542_TS20190008_bin.80_T1900044542_TS20190008_bin.80_contig_000033,RRE-containing,RiPPs
T1900044542_TS20190008_bin.80.fa.c00048_T190004...region001, T1900044542_TS20190008_bin.80_T1900044542_TS20190008_bin.80_contig_000048,cyclic-lactone-autoinducer,RiPPs
T1900044542_TS20190008_bin.80.fa.c00059_T190004...region001, T1900044542_TS20190008_bin.80_T1900044542_TS20190008_bin.80_contig_000059,betalactone,Others
T1900044542_TS20190008_bin.80.fa.c00082_T190004...region001, T1900044542_TS20190008_bin.80_T1900044542_TS20190008_bin.80_contig_000082,RRE-containing,RiPPs
T1900044545_TS20190011_bin.392.fa.c00011_T190004...region001, T1900044545_TS20190011_bin.392_T1900044545_TS20190011_bin.392_contig_000011,NRPS-like,NRPS
T1900044545_TS20190011_bin.392.fa.c00040_T190004...region001, T1900044545_TS20190011_bin.392_T1900044545_TS20190011_bin.392_contig_000040,RRE-containing,RiPPs
T1900044545_TS20190011_bin.392.fa.c00049_T190004...region001, T1900044545_TS20190011_bin.392_T1900044545_TS20190011_bin.392_contig_000049,betalactone,Others
T1900044545_TS20190011_bin.392.fa.c00051_T190004...region001, T1900044545_TS20190011_bin.392_T1900044545_TS20190011_bin.392_contig_000051,ranthipeptide,RiPPs
T1900044546_TS20190012_bin.182.fa.c00019_T190004...region001, T1900044546_TS20190012_bin.182_T1900044546_TS20190012_bin.182_contig_000019,T1PKS,PKSI
T1900044546_TS20190012_bin.182.fa.c00030_T190004...region001, T1900044546_TS20190012_bin.182_T1900044546_TS20190012_bin.182_contig_000030,terpene,Terpene
T1900044546_TS20190012_bin.182.fa.c00036_T190004...region001, T1900044546_TS20190012_bin.182_T1900044546_TS20190012_bin.182_contig_000036,terpene,Terpene
T1900044546_TS20190012_bin.290.fa.c00023_T190004...region001, T1900044546_TS20190012_bin.290_T1900044546_TS20190012_bin.290_contig_000023,terpene,Terpene
T1900044546_TS20190012_bin.290.fa.c00036_T190004...region001, T1900044546_TS20190012_bin.290_T1900044546_TS20190012_bin.290_contig_000036,terpene,Terpene
T1900044549_TS20190015_bin.334.fa.c00045_T190004...region001, T1900044549_TS20190015_bin.334_T1900044549_TS20190015_bin.334_contig_000045,betalactone,Others
T1900044549_TS20190015_bin.334.fa.c00134_T190004...region001, T1900044549_TS20190015_bin.334_T1900044549_TS20190015_bin.334_contig_000134,RRE-containing,RiPPs
T1900044549_TS20190015_bin.9.fa.c00009_T190004...region001, T1900044549_TS20190015_bin.9_T1900044549_TS20190015_bin.9_contig_000009,terpene,Terpene
T1900044550_TS20190016_bin.176.fa.c00030_T190004...region001, T1900044550_TS20190016_bin.176_T1900044550_TS20190016_bin.176_contig_000030,ranthipeptide,RiPPs
T1900044551_TS20190017_bin.132.fa.c00327_T190004...region001, T1900044551_TS20190017_bin.132_T1900044551_TS20190017_bin.132_contig_000327,ranthipeptide,RiPPs
T1900044552_TS20190018_bin.79.fa.c00009_T190004...region001, T1900044552_TS20190018_bin.79_T1900044552_TS20190018_bin.79_contig_000009,ranthipeptide,RiPPs
T1900044555_TS20190021_bin.47.fa.c00027_T190004...region001, T1900044555_TS20190021_bin.47_T1900044555_TS20190021_bin.47_contig_000027,RRE-containing,RiPPs
T1900044555_TS20190021_bin.47.fa.c00034_T190004...region001, T1900044555_TS20190021_bin.47_T1900044555_TS20190021_bin.47_contig_000034,ranthipeptide,RiPPs
T1900044555_TS20190021_bin.47.fa.c00077_T190004...region001, T1900044555_TS20190021_bin.47_T1900044555_TS20190021_bin.47_contig_000077,cyclic-lactone-autoinducer,RiPPs
T1900044557_TS20190023_bin.387.fa.c00010_T190004...region001, T1900044557_TS20190023_bin.387_T1900044557_TS20190023_bin.387_contig_000010,RRE-containing,RiPPs
T1900044557_TS20190023_bin.387.fa.c00023_T190004...region001, T1900044557_TS20190023_bin.387_T1900044557_TS20190023_bin.387_contig_000023,cyclic-lactone-autoinducer,RiPPs
T1900044557_TS20190023_bin.387.fa.c00034_T190004...region001, T1900044557_TS20190023_bin.387_T1900044557_TS20190023_bin.387_contig_000034,ranthipeptide,RiPPs
T1900044557_TS20190023_bin.422.fa.c00009_T190004...region001, T1900044557_TS20190023_bin.422_T1900044557_TS20190023_bin.422_contig_000009,RRE-containing,RiPPs
T1900044557_TS20190023_bin.517.fa.c00020_T190004...region001, T1900044557_TS20190023_bin.517_T1900044557_TS20190023_bin.517_contig_000020,RRE-containing,RiPPs
