BGC_ID,BGC_cluster_ID,BGC_Prediction,BiG-SCAPE_class
T1900044948_TA20190001_bin.227.fa.c00017_T190004...region001, T1900044948_TA20190001_bin.227_T1900044948_TA20190001_bin.227_contig_000017,RRE-containing,RiPPs
T1900044948_TA20190001_bin.227.fa.c00037_T190004...region001, T1900044948_TA20190001_bin.227_T1900044948_TA20190001_bin.227_contig_000037,NRPS,NRPS
T1900044948_TA20190001_bin.255.fa.c00022_T190004...region001, T1900044948_TA20190001_bin.255_T1900044948_TA20190001_bin.255_contig_000022,arylpolyene,Others
T1900044948_TA20190001_bin.255.fa.c00059_T190004...region001, T1900044948_TA20190001_bin.255_T1900044948_TA20190001_bin.255_contig_000059,NRPS,NRPS
T1900044948_TA20190001_bin.255.fa.c00086_T190004...region001, T1900044948_TA20190001_bin.255_T1900044948_TA20190001_bin.255_contig_000086,T3PKS,PKSother
T1900044948_TA20190001_bin.255.fa.c00115_T190004...region001, T1900044948_TA20190001_bin.255_T1900044948_TA20190001_bin.255_contig_000115,NRPS-like.thioamide-NRP.betalactone,Others
T1900044948_TA20190001_bin.267.fa.c00027_T190004...region001, T1900044948_TA20190001_bin.267_T1900044948_TA20190001_bin.267_contig_000027,arylpolyene,Others
T1900044948_TA20190001_bin.267.fa.c00060_T190004...region001, T1900044948_TA20190001_bin.267_T1900044948_TA20190001_bin.267_contig_000060,arylpolyene,Others
T1900044948_TA20190001_bin.272.fa.c00005_T190004...region001, T1900044948_TA20190001_bin.272_T1900044948_TA20190001_bin.272_contig_000005,arylpolyene,Others
T1900044948_TA20190001_bin.272.fa.c00019_T190004...region001, T1900044948_TA20190001_bin.272_T1900044948_TA20190001_bin.272_contig_000019,RRE-containing,RiPPs
T1900044948_TA20190001_bin.272.fa.c00026_T190004...region001, T1900044948_TA20190001_bin.272_T1900044948_TA20190001_bin.272_contig_000026,arylpolyene,Others
T1900044949_TA20190002_bin.140.fa.c00020_T190004...region001, T1900044949_TA20190002_bin.140_T1900044949_TA20190002_bin.140_contig_000020,RRE-containing,RiPPs
T1900044949_TA20190002_bin.140.fa.c00023_T190004...region001, T1900044949_TA20190002_bin.140_T1900044949_TA20190002_bin.140_contig_000023,betalactone,Others
T1900044949_TA20190002_bin.140.fa.c00051_T190004...region001, T1900044949_TA20190002_bin.140_T1900044949_TA20190002_bin.140_contig_000051,arylpolyene,Others
T1900044949_TA20190002_bin.140.fa.c00056_T190004...region001, T1900044949_TA20190002_bin.140_T1900044949_TA20190002_bin.140_contig_000056,RRE-containing,RiPPs
T1900044949_TA20190002_bin.140.fa.c00063_T190004...region001, T1900044949_TA20190002_bin.140_T1900044949_TA20190002_bin.140_contig_000063,arylpolyene,Others
T1900044949_TA20190002_bin.140.fa.c00073_T190004...region001, T1900044949_TA20190002_bin.140_T1900044949_TA20190002_bin.140_contig_000073,resorcinol,Others
