SGB_ID,SGBs,completeness,contamination,length,N50,taxonomy,Quality,MAGs_in_SGB
SGB_1,T1900044535_TS20190001_bin.115.fa,81.52,2.55,1184943,26610,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__RGIG1681;s__,Medium,4
SGB_10,T1900044536_TS20190002_bin.216.fa,82.32,2.4,1408772,7419,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__JAAYQM01;s__,Medium,2
SGB_100,T1900044544_TS20190010_bin.93.fa,87.34,1.14,1299887,6728,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__SIG565;s__,Medium,2
SGB_1000,T1900044629_TS20190095.MAGScoT_cleanbin_000036.fa,90.38,0,1321500,66922,d__Bacteria;p__Bacillota_A;c__Clostridia;o__UMGS1840;f__UMGS1840;g__SIG452;s__,High,9
SGB_10000,TP20200812-DBC44_DT2009055267-1.MAGScoT_cleanbin_000007.fa,96.42,0.71,2167780,69215,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UMGS731;s__,High,10
SGB_10001,TP20200812-DBC44_DT2009055267-1.MAGScoT_cleanbin_000016.fa,95.75,1.01,1562195,33409,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__RGIG8775;s__,High,2
SGB_10002,TP20200812-DBC44_DT2009055267-1.MAGScoT_cleanbin_000034.fa,93.34,0.06,1546518,19638,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Ructibacterium;s__,High,2
SGB_10003,TP20200812-DBC44_DT2009055267-1.MAGScoT_cleanbin_000041.fa,94.09,0.83,1872744,38609,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__;s__,High,9
SGB_10004,TP20200812-DBC44_DT2009055267-1.MAGScoT_cleanbin_000046.fa,86.69,0.81,1454464,129848,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__UBA1259;s__,Medium,4
SGB_10005,TP20200812-DBC44_DT2009055267-1.MAGScoT_cleanbin_000048.fa,92.11,4.05,1743458,25645,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA737;s__,High,4
SGB_10006,TP20200812-DBC44_DT2009055267-1.MAGScoT_cleanbin_000049.fa,92.53,1.16,1334023,57553,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__Scatosoma;s__,High,2
SGB_10007,TP20200812-DBC44_DT2009055267-1.MAGScoT_cleanbin_000062.fa,94.21,1.53,1899679,63606,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__UBA1740;s__,High,7
SGB_10008,TP20200812-DBC44_DT2009055267-1.MAGScoT_cleanbin_000067.fa,92.16,2.16,1923987,12679,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__,High,6
SGB_10009,TP20200812-DBC44_DT2009055267-1.MAGScoT_cleanbin_000088.fa,85.76,2.24,2266028,9016,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__CAG-448;s__,Medium,6
SGB_1001,T1900044629_TS20190095.MAGScoT_cleanbin_000040.fa,89.19,1.27,3625912,23424,d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellia;o__RFP12;f__UBA1067;g__;s__,Medium,8
SGB_10010,TP20200812-DBC44_DT2009055267-1.MAGScoT_cleanbin_000092.fa,82.23,2.01,1323496,4062,d__Bacteria;p__Bacillota_A;c__Clostridia;o__UMGS1883;f__UMGS1540;g__SIG447;s__,Medium,5
SGB_10011,TP20200812-DBC44_DT2009055267-1.MAGScoT_cleanbin_000100.fa,89.89,4.32,2022343,26632,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__,Medium,2
SGB_10012,TP20200812-DBC44_DT2009055267-1.MAGScoT_cleanbin_000106.fa,80.04,3.33,1559338,5369,d__Bacteria;p__Bacillota_A;c__Clostridia;o__UBA1381;f__UBA9506;g__UMGS755;s__,Medium,2
SGB_10013,TP20200812-DBC44_DT2009055267-1.MAGScoT_cleanbin_000114.fa,81.85,0.67,1213010,26800,d__Bacteria;p__Bacillota_A;c__Clostridia;o__UMGS1883;f__UMGS1883;g__UMGS1883;s__,Medium,8
SGB_10014,TP20200812-DBC44_DT2009055267-1.MAGScoT_cleanbin_000131.fa,64.9,0,1419897,17578,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__DTU089;s__,Medium,3
SGB_10015,TP20200812-DBC45_DT2009055268-1_bin.146.fa,79.47,1.91,1357115,4804,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__RGIG3009;s__,Medium,3
SGB_10016,TP20200812-DBC45_DT2009055268-1_bin.163.fa,56.02,0,833485,3144,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__SIG402;s__,Medium,3
SGB_10017,TP20200812-DBC45_DT2009055268-1_bin.199.fa,93.55,2.01,2074427,8628,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__HGM12713;s__,High,7
SGB_10018,TP20200812-DBC45_DT2009055268-1_bin.212.fa,86.69,0.38,1409744,10963,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__HGM12713;s__,Medium,4
SGB_10019,TP20200812-DBC45_DT2009055268-1_bin.347.fa,88.15,1.01,2714300,20441,d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria;o__Victivallales;f__Victivallaceae;g__UBA1784;s__,Medium,16
SGB_1002,T1900044629_TS20190095.MAGScoT_cleanbin_000048.fa,91.9,4.19,2031249,8153,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__CAG-272;g__SIG694;s__SIG694 sp015063795,High,2
SGB_10020,TP20200812-DBC45_DT2009055268-1_bin.355.fa,96.42,0.34,2361057,103546,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__DTU089;s__,High,38
SGB_10021,TP20200812-DBC45_DT2009055268-1_bin.52.fa,92.25,1.04,1466618,15548,d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__Scatosoma;s__,High,4
SGB_10022,TP20200812-DBC45_DT2009055268-1.MAGScoT_cleanbin_000015.fa,97.76,0,1657412,85491,d__Bacteria;p__Bacillota_A;c__Clostridia;o__UBA1381;f__UBA1381;g__;s__,High,8
