BGC_ID,BGC_cluster_ID,BGC_Prediction,BiG-SCAPE_class
T1900044552_TS20190018_bin.79.fa.c00009_T190004...region001, T1900044552_TS20190018_bin.79_T1900044552_TS20190018_bin.79_contig_000009,ranthipeptide,RiPPs
T1900044563_TS20190029_bin.343.fa.c00051_T190004...region001, T1900044563_TS20190029_bin.343_T1900044563_TS20190029_bin.343_contig_000051,RRE-containing,RiPPs
T1900044567_TS20190033_bin.117.fa.c00009_T190004...region001, T1900044567_TS20190033_bin.117_T1900044567_TS20190033_bin.117_contig_000009,terpene,Terpene
T1900044567_TS20190033_bin.117.fa.c00070_T190004...region001, T1900044567_TS20190033_bin.117_T1900044567_TS20190033_bin.117_contig_000070,T1PKS,PKSI
T1900044567_TS20190033_bin.117.fa.c00076_T190004...region001, T1900044567_TS20190033_bin.117_T1900044567_TS20190033_bin.117_contig_000076,terpene,Terpene
T1900044575_TS20190041_bin.339.fa.c00208_T190004...region001, T1900044575_TS20190041_bin.339_T1900044575_TS20190041_bin.339_contig_000208,NRPS-like,NRPS
T1900044576_TS20190042_bin.153.fa.c00022_T190004...region001, T1900044576_TS20190042_bin.153_T1900044576_TS20190042_bin.153_contig_000022,terpene,Terpene
T1900044581_TS20190047_bin.160.fa.c00018_T190004...region001, T1900044581_TS20190047_bin.160_T1900044581_TS20190047_bin.160_contig_000018,cyclic-lactone-autoinducer,RiPPs
T1900044581_TS20190047_bin.396.fa.c00011_T190004...region001, T1900044581_TS20190047_bin.396_T1900044581_TS20190047_bin.396_contig_000011,RRE-containing,RiPPs
T1900044587_TS20190053_bin.65.fa.c00020_T190004...region001, T1900044587_TS20190053_bin.65_T1900044587_TS20190053_bin.65_contig_000020,hserlactone,Others
T1900044588_TS20190054_bin.147.fa.c00001_T190004...region001, T1900044588_TS20190054_bin.147_T1900044588_TS20190054_bin.147_contig_000001,RRE-containing,RiPPs
T1900044588_TS20190054_bin.147.fa.c00011_T190004...region001, T1900044588_TS20190054_bin.147_T1900044588_TS20190054_bin.147_contig_000011,arylpolyene,Others
T1900044588_TS20190054_bin.147.fa.c00045_T190004...region001, T1900044588_TS20190054_bin.147_T1900044588_TS20190054_bin.147_contig_000045,betalactone,Others
T1900044588_TS20190054_bin.181.fa.c00009_T190004...region001, T1900044588_TS20190054_bin.181_T1900044588_TS20190054_bin.181_contig_000009,hserlactone,Others
T1900044589_TS20190055_bin.213.fa.c00017_T190004...region001, T1900044589_TS20190055_bin.213_T1900044589_TS20190055_bin.213_contig_000017,arylpolyene,Others
T1900044589_TS20190055_bin.213.fa.c00034_T190004...region001, T1900044589_TS20190055_bin.213_T1900044589_TS20190055_bin.213_contig_000034,betalactone,Others
T1900044589_TS20190055_bin.213.fa.c00057_T190004...region001, T1900044589_TS20190055_bin.213_T1900044589_TS20190055_bin.213_contig_000057,RRE-containing,RiPPs
T1900044591_TS20190057_bin.186.fa.c00011_T190004...region001, T1900044591_TS20190057_bin.186_T1900044591_TS20190057_bin.186_contig_000011,arylpolyene,Others
T1900044591_TS20190057_bin.186.fa.c00013_T190004...region001, T1900044591_TS20190057_bin.186_T1900044591_TS20190057_bin.186_contig_000013,arylpolyene,Others
T1900044591_TS20190057_bin.186.fa.c00014_T190004...region001, T1900044591_TS20190057_bin.186_T1900044591_TS20190057_bin.186_contig_000014,arylpolyene,Others
T1900044597_TS20190063_bin.186.fa.c00046_T190004...region001, T1900044597_TS20190063_bin.186_T1900044597_TS20190063_bin.186_contig_000046,betalactone,Others
