BGC	Accession ID	Description	Product Prediction	BiG-SCAPE class	Organism	Taxonomy
SGB_892_k141_930.region001	SGB_892_k141_930	SGB_892_k141_930	betalactone	Others		
SGB_9255_k141_24.region001	SGB_9255_k141_24	SGB_9255_k141_24	transAT-PKS-like.NRPS-like	PKS-NRP_Hybrids		
c00001_SGB_100...region001	c00001_SGB_100..	SGB_10079_k141_825684	ranthipeptide	RiPPs		
c00001_SGB_101...region001	c00001_SGB_101..	SGB_10119_k141_1972006	betalactone	Others		
c00001_SGB_103...region001	c00001_SGB_103..	SGB_10340_k141_1207516	RRE-containing	RiPPs		
c00001_SGB_104...region001	c00001_SGB_104..	SGB_10410_k141_535294	betalactone	Others		
c00001_SGB_105...region001	c00001_SGB_105..	SGB_1059_k141_138590	RRE-containing	RiPPs		
c00001_SGB_106...region001	c00001_SGB_106..	SGB_10621_k141_328316	ranthipeptide	RiPPs		
c00001_SGB_116...region001	c00001_SGB_116..	SGB_11635_k141_1580874	RRE-containing	RiPPs		
c00001_SGB_117...region001	c00001_SGB_117..	SGB_11747_k141_1112498	betalactone	Others		
c00001_SGB_119...region001	c00001_SGB_119..	SGB_11925_k141_358610	RRE-containing	RiPPs		
c00001_SGB_121...region001	c00001_SGB_121..	SGB_12175_k141_1917340	betalactone	Others		
c00001_SGB_124...region001	c00001_SGB_124..	SGB_12458_k141_1573057	RRE-containing	RiPPs		
c00001_SGB_125...region001	c00001_SGB_125..	SGB_12514_k141_466522	ranthipeptide	RiPPs		
c00001_SGB_128...region001	c00001_SGB_128..	SGB_12872_k141_703681	RRE-containing	RiPPs		
c00001_SGB_129...region001	c00001_SGB_129..	SGB_12904_k141_460740	RRE-containing	RiPPs		
c00001_SGB_131...region001	c00001_SGB_131..	SGB_13152_k141_1464638	LAP	RiPPs		
c00001_SGB_132...region001	c00001_SGB_132..	SGB_13268_k141_1225182	ranthipeptide	RiPPs		
c00001_SGB_133...region001	c00001_SGB_133..	SGB_13326_k141_1646329	RRE-containing	RiPPs		
c00001_SGB_134...region001	c00001_SGB_134..	SGB_13411_k141_1184078	RiPP-like	RiPPs		
c00001_SGB_138...region001	c00001_SGB_138..	SGB_13878_k141_76170	betalactone	Others		
c00001_SGB_386...region001	c00001_SGB_386..	SGB_3867_k141_894819	RRE-containing	RiPPs		
c00001_SGB_417...region001	c00001_SGB_417..	SGB_4179_k141_719872	arylpolyene	Others		
c00001_SGB_456...region001	c00001_SGB_456..	SGB_456_k141_1861411	betalactone	Others		
c00001_SGB_470...region001	c00001_SGB_470..	SGB_4706_k141_1769677	RRE-containing	RiPPs		
c00001_SGB_505...region001	c00001_SGB_505..	SGB_5052_k141_403041	RRE-containing	RiPPs		
c00001_SGB_507...region001	c00001_SGB_507..	SGB_5070_k141_1745741	arylpolyene	Others		
c00001_SGB_510...region001	c00001_SGB_510..	SGB_5103_k141_403868	NRPS-like	NRPS		
c00001_SGB_525...region001	c00001_SGB_525..	SGB_5255_k141_2559749	RRE-containing	RiPPs		
c00001_SGB_533...region001	c00001_SGB_533..	SGB_5333_k141_3282674	thiopeptide	RiPPs		
c00001_SGB_605...region001	c00001_SGB_605..	SGB_6051_k141_1935810	betalactone	Others		
c00001_SGB_606...region001	c00001_SGB_606..	SGB_606_k141_1752622	RRE-containing	RiPPs		
c00001_SGB_622...region001	c00001_SGB_622..	SGB_6221_k141_726462	betalactone	Others		
c00001_SGB_708...region001	c00001_SGB_708..	SGB_7080_k141_937417	betalactone	Others		
c00001_SGB_723...region001	c00001_SGB_723..	SGB_7237_k141_973909	terpene	Terpene		
c00001_SGB_742...region001	c00001_SGB_742..	SGB_7421_k141_1935241	RRE-containing	RiPPs		
c00001_SGB_784...region001	c00001_SGB_784..	SGB_7847_k141_2300	RRE-containing	RiPPs		
c00001_SGB_819...region001	c00001_SGB_819..	SGB_8194_k141_134529	ranthipeptide	RiPPs		
c00001_SGB_871...region001	c00001_SGB_871..	SGB_8716_k141_2778203	terpene	Terpene		
c00001_SGB_872...region001	c00001_SGB_872..	SGB_8725_k141_1908180	ranthipeptide	RiPPs		
c00001_SGB_875...region001	c00001_SGB_875..	SGB_8755_k141_2758443	betalactone	Others		
c00001_SGB_935...region001	c00001_SGB_935..	SGB_9358_k141_704642	RRE-containing	RiPPs		
c00001_SGB_941...region001	c00001_SGB_941..	SGB_9410_k141_548188	NRPS-like	NRPS		
c00001_SGB_966...region001	c00001_SGB_966..	SGB_9661_k141_1343157	RRE-containing	RiPPs		
c00001_SGB_975...region001	c00001_SGB_975..	SGB_9750_k141_977811	NRPS-like	NRPS		
c00002_SGB_101...region001	c00002_SGB_101..	SGB_10170_k141_1145834	RRE-containing	RiPPs		
c00002_SGB_102...region001	c00002_SGB_102..	SGB_10287_k141_173252	NRPS-like	NRPS		
c00002_SGB_103...region001	c00002_SGB_103..	SGB_10301_k141_867079	ranthipeptide	RiPPs		
c00002_SGB_108...region001	c00002_SGB_108..	SGB_10883_k141_1294116	ranthipeptide	RiPPs		
c00002_SGB_111...region001	c00002_SGB_111..	SGB_11170_k141_1117258	ranthipeptide	RiPPs		
c00002_SGB_112...region001	c00002_SGB_112..	SGB_11261_k141_2071637	ranthipeptide	RiPPs		
c00002_SGB_114...region001	c00002_SGB_114..	SGB_11436_k141_986564	RRE-containing	RiPPs		
c00002_SGB_115...region001	c00002_SGB_115..	SGB_11519_k141_1845801	NRPS-like	NRPS		
c00002_SGB_117...region001	c00002_SGB_117..	SGB_11755_k141_425649	lanthipeptide-class-ii	RiPPs		
c00002_SGB_118...region001	c00002_SGB_118..	SGB_11813_k141_967874	ranthipeptide	RiPPs		
c00002_SGB_119...region001	c00002_SGB_119..	SGB_11992_k141_832292	RRE-containing	RiPPs		
c00002_SGB_120...region001	c00002_SGB_120..	SGB_12057_k141_4678	betalactone	Others		
c00002_SGB_122...region001	c00002_SGB_122..	SGB_12278_k141_898691	betalactone	Others		
