BGC_ID,BGC_cluster_ID,BGC_Prediction,BiG-SCAPE_class
T1900044948_TA20190001_bin.108.fa.c00043_T190004...region001, T1900044948_TA20190001_bin.108_T1900044948_TA20190001_bin.108_contig_000043,NRPS,NRPS
T1900044948_TA20190001_bin.108.fa.c00049_T190004...region001, T1900044948_TA20190001_bin.108_T1900044948_TA20190001_bin.108_contig_000049,RRE-containing,RiPPs
T1900044948_TA20190001_bin.108.fa.c00050_T190004...region001, T1900044948_TA20190001_bin.108_T1900044948_TA20190001_bin.108_contig_000050,NRPS-like,NRPS
T1900044948_TA20190001_bin.108.fa.c00101_T190004...region001, T1900044948_TA20190001_bin.108_T1900044948_TA20190001_bin.108_contig_000101,hglE-KS,PKSother
T1900044948_TA20190001_bin.108.fa.c00130_T190004...region001, T1900044948_TA20190001_bin.108_T1900044948_TA20190001_bin.108_contig_000130,NRPS,NRPS
T1900044948_TA20190001_bin.108.fa.c00146_T190004...region001, T1900044948_TA20190001_bin.108_T1900044948_TA20190001_bin.108_contig_000146,T1PKS,PKSI
T1900044948_TA20190001_bin.108.fa.c00188_T190004...region001, T1900044948_TA20190001_bin.108_T1900044948_TA20190001_bin.108_contig_000188,NRPS,NRPS
T1900044948_TA20190001_bin.108.fa.c00213_T190004...region001, T1900044948_TA20190001_bin.108_T1900044948_TA20190001_bin.108_contig_000213,NRPS,NRPS
T1900044948_TA20190001_bin.108.fa.c00249_T190004...region001, T1900044948_TA20190001_bin.108_T1900044948_TA20190001_bin.108_contig_000249,NRPS-like,NRPS
T1900044948_TA20190001_bin.108.fa.c00291_T190004...region001, T1900044948_TA20190001_bin.108_T1900044948_TA20190001_bin.108_contig_000291,NRPS,NRPS
T1900044948_TA20190001_bin.108.fa.c00316_T190004...region001, T1900044948_TA20190001_bin.108_T1900044948_TA20190001_bin.108_contig_000316,NRPS-like,NRPS
T1900044948_TA20190001_bin.108.fa.c00360_T190004...region001, T1900044948_TA20190001_bin.108_T1900044948_TA20190001_bin.108_contig_000360,NRPS,NRPS
T1900044948_TA20190001_bin.108.fa.c00425_T190004...region001, T1900044948_TA20190001_bin.108_T1900044948_TA20190001_bin.108_contig_000425,hglE-KS,PKSother
T1900044948_TA20190001_bin.110.fa.c00022_T190004...region001, T1900044948_TA20190001_bin.110_T1900044948_TA20190001_bin.110_contig_000022,NRPS-like,NRPS
T1900044948_TA20190001_bin.110.fa.c00060_T190004...region001, T1900044948_TA20190001_bin.110_T1900044948_TA20190001_bin.110_contig_000060,RRE-containing,RiPPs
T1900044948_TA20190001_bin.110.fa.c00107_T190004...region001, T1900044948_TA20190001_bin.110_T1900044948_TA20190001_bin.110_contig_000107,ranthipeptide,RiPPs
T1900044948_TA20190001_bin.114.fa.c00093_T190004...region001, T1900044948_TA20190001_bin.114_T1900044948_TA20190001_bin.114_contig_000093,arylpolyene,Others
T1900044948_TA20190001_bin.152.fa.c00094_T190004...region001, T1900044948_TA20190001_bin.152_T1900044948_TA20190001_bin.152_contig_000094,NRPS-like,NRPS
T1900044948_TA20190001_bin.152.fa.c00158_T190004...region001, T1900044948_TA20190001_bin.152_T1900044948_TA20190001_bin.152_contig_000158,NRPS,NRPS
T1900044948_TA20190001_bin.152.fa.c00220_T190004...region001, T1900044948_TA20190001_bin.152_T1900044948_TA20190001_bin.152_contig_000220,NRPS,NRPS
T1900044948_TA20190001_bin.152.fa.c00223_T190004...region001, T1900044948_TA20190001_bin.152_T1900044948_TA20190001_bin.152_contig_000223,NRPS-like,NRPS
T1900044948_TA20190001_bin.160.fa.c00004_T190004...region001, T1900044948_TA20190001_bin.160_T1900044948_TA20190001_bin.160_contig_000004,RRE-containing.cyclic-lactone-autoinducer,RiPPs
T1900044948_TA20190001_bin.160.fa.c00550_T190004...region001, T1900044948_TA20190001_bin.160_T1900044948_TA20190001_bin.160_contig_000550,RRE-containing.lassopeptide,RiPPs
T1900044948_TA20190001_bin.168.fa.c00137_T190004...region001, T1900044948_TA20190001_bin.168_T1900044948_TA20190001_bin.168_contig_000137,NRPS-like,NRPS
T1900044948_TA20190001_bin.170.fa.c00063_T190004...region001, T1900044948_TA20190001_bin.170_T1900044948_TA20190001_bin.170_contig_000063,betalactone,Others
T1900044948_TA20190001_bin.183.fa.c00009_T190004...region001, T1900044948_TA20190001_bin.183_T1900044948_TA20190001_bin.183_contig_000009,betalactone.NRPS,Others
T1900044948_TA20190001_bin.183.fa.c00016_T190004...region001, T1900044948_TA20190001_bin.183_T1900044948_TA20190001_bin.183_contig_000016,NRPS,NRPS
T1900044948_TA20190001_bin.183.fa.c00041_T190004...region001, T1900044948_TA20190001_bin.183_T1900044948_TA20190001_bin.183_contig_000041,NRPS,NRPS
T1900044948_TA20190001_bin.183.fa.c00059_T190004...region001, T1900044948_TA20190001_bin.183_T1900044948_TA20190001_bin.183_contig_000059,RiPP-like,RiPPs
T1900044948_TA20190001_bin.22.fa.c00006_T190004...region001, T1900044948_TA20190001_bin.22_T1900044948_TA20190001_bin.22_contig_000006,RRE-containing,RiPPs
T1900044948_TA20190001_bin.22.fa.c00043_T190004...region001, T1900044948_TA20190001_bin.22_T1900044948_TA20190001_bin.22_contig_000043,betalactone,Others
T1900044948_TA20190001_bin.227.fa.c00017_T190004...region001, T1900044948_TA20190001_bin.227_T1900044948_TA20190001_bin.227_contig_000017,RRE-containing,RiPPs
T1900044948_TA20190001_bin.227.fa.c00037_T190004...region001, T1900044948_TA20190001_bin.227_T1900044948_TA20190001_bin.227_contig_000037,NRPS,NRPS
T1900044948_TA20190001_bin.244.fa.c00075_T190004...region001, T1900044948_TA20190001_bin.244_T1900044948_TA20190001_bin.244_contig_000075,betalactone,Others
T1900044948_TA20190001_bin.255.fa.c00022_T190004...region001, T1900044948_TA20190001_bin.255_T1900044948_TA20190001_bin.255_contig_000022,arylpolyene,Others
T1900044948_TA20190001_bin.255.fa.c00059_T190004...region001, T1900044948_TA20190001_bin.255_T1900044948_TA20190001_bin.255_contig_000059,NRPS,NRPS
T1900044948_TA20190001_bin.255.fa.c00086_T190004...region001, T1900044948_TA20190001_bin.255_T1900044948_TA20190001_bin.255_contig_000086,T3PKS,PKSother
T1900044948_TA20190001_bin.255.fa.c00115_T190004...region001, T1900044948_TA20190001_bin.255_T1900044948_TA20190001_bin.255_contig_000115,NRPS-like.betalactone.thioamide-NRP,Others
T1900044948_TA20190001_bin.267.fa.c00027_T190004...region001, T1900044948_TA20190001_bin.267_T1900044948_TA20190001_bin.267_contig_000027,arylpolyene,Others
T1900044948_TA20190001_bin.267.fa.c00060_T190004...region001, T1900044948_TA20190001_bin.267_T1900044948_TA20190001_bin.267_contig_000060,arylpolyene,Others
T1900044948_TA20190001_bin.269.fa.c00046_T190004...region001, T1900044948_TA20190001_bin.269_T1900044948_TA20190001_bin.269_contig_000046,NRPS,NRPS
T1900044948_TA20190001_bin.269.fa.c00056_T190004...region001, T1900044948_TA20190001_bin.269_T1900044948_TA20190001_bin.269_contig_000056,betalactone,Others
T1900044948_TA20190001_bin.269.fa.c00102_T190004...region001, T1900044948_TA20190001_bin.269_T1900044948_TA20190001_bin.269_contig_000102,NRPS-like,NRPS
T1900044948_TA20190001_bin.272.fa.c00005_T190004...region001, T1900044948_TA20190001_bin.272_T1900044948_TA20190001_bin.272_contig_000005,arylpolyene,Others
T1900044948_TA20190001_bin.272.fa.c00019_T190004...region001, T1900044948_TA20190001_bin.272_T1900044948_TA20190001_bin.272_contig_000019,RRE-containing,RiPPs
T1900044948_TA20190001_bin.272.fa.c00026_T190004...region001, T1900044948_TA20190001_bin.272_T1900044948_TA20190001_bin.272_contig_000026,arylpolyene,Others
T1900044948_TA20190001_bin.275.fa.c00038_T190004...region001, T1900044948_TA20190001_bin.275_T1900044948_TA20190001_bin.275_contig_000038,ranthipeptide,RiPPs
T1900044948_TA20190001_bin.275.fa.c00119_T190004...region001, T1900044948_TA20190001_bin.275_T1900044948_TA20190001_bin.275_contig_000119,proteusin,RiPPs
T1900044948_TA20190001_bin.293.fa.c00012_T190004...region001, T1900044948_TA20190001_bin.293_T1900044948_TA20190001_bin.293_contig_000012,NRPS,NRPS
T1900044948_TA20190001_bin.293.fa.c00033_T190004...region001, T1900044948_TA20190001_bin.293_T1900044948_TA20190001_bin.293_contig_000033,arylpolyene,Others
T1900044948_TA20190001_bin.293.fa.c00047_T190004...region001, T1900044948_TA20190001_bin.293_T1900044948_TA20190001_bin.293_contig_000047,arylpolyene,Others
T1900044948_TA20190001_bin.296.fa.c00046_T190004...region001, T1900044948_TA20190001_bin.296_T1900044948_TA20190001_bin.296_contig_000046,T1PKS,PKSI
T1900044948_TA20190001_bin.296.fa.c00074_T190004...region001, T1900044948_TA20190001_bin.296_T1900044948_TA20190001_bin.296_contig_000074,NRPS,NRPS
T1900044948_TA20190001_bin.296.fa.c00090_T190004...region001, T1900044948_TA20190001_bin.296_T1900044948_TA20190001_bin.296_contig_000090,terpene,Terpene
T1900044948_TA20190001_bin.296.fa.c00107_T190004...region001, T1900044948_TA20190001_bin.296_T1900044948_TA20190001_bin.296_contig_000107,terpene,Terpene
T1900044948_TA20190001_bin.297.fa.c00014_T190004...region001, T1900044948_TA20190001_bin.297_T1900044948_TA20190001_bin.297_contig_000014,RiPP-like,RiPPs
T1900044948_TA20190001_bin.297.fa.c00021_T190004...region001, T1900044948_TA20190001_bin.297_T1900044948_TA20190001_bin.297_contig_000021,RRE-containing,RiPPs
T1900044948_TA20190001_bin.297.fa.c00026_T190004...region001, T1900044948_TA20190001_bin.297_T1900044948_TA20190001_bin.297_contig_000026,RRE-containing,RiPPs
T1900044948_TA20190001_bin.30.fa.c00168_T190004...region001, T1900044948_TA20190001_bin.30_T1900044948_TA20190001_bin.30_contig_000168,NRPS,NRPS
T1900044948_TA20190001_bin.30.fa.c00182_T190004...region001, T1900044948_TA20190001_bin.30_T1900044948_TA20190001_bin.30_contig_000182,ranthipeptide,RiPPs
T1900044948_TA20190001_bin.316.fa.c00021_T190004...region001, T1900044948_TA20190001_bin.316_T1900044948_TA20190001_bin.316_contig_000021,betalactone,Others
T1900044948_TA20190001_bin.316.fa.c00050_T190004...region001, T1900044948_TA20190001_bin.316_T1900044948_TA20190001_bin.316_contig_000050,RRE-containing,RiPPs
T1900044948_TA20190001_bin.329.fa.c00149_T190004...region001, T1900044948_TA20190001_bin.329_T1900044948_TA20190001_bin.329_contig_000149,arylpolyene,Others
T1900044948_TA20190001_bin.329.fa.c00188_T190004...region001, T1900044948_TA20190001_bin.329_T1900044948_TA20190001_bin.329_contig_000188,thiopeptide,RiPPs
T1900044948_TA20190001_bin.352.fa.c00004_T190004...region001, T1900044948_TA20190001_bin.352_T1900044948_TA20190001_bin.352_contig_000004,RRE-containing,RiPPs
T1900044948_TA20190001_bin.352.fa.c00021_T190004...region001, T1900044948_TA20190001_bin.352_T1900044948_TA20190001_bin.352_contig_000021,RRE-containing,RiPPs
T1900044948_TA20190001_bin.352.fa.c00037_T190004...region001, T1900044948_TA20190001_bin.352_T1900044948_TA20190001_bin.352_contig_000037,ranthipeptide,RiPPs
T1900044948_TA20190001_bin.352.fa.c00039_T190004...region001, T1900044948_TA20190001_bin.352_T1900044948_TA20190001_bin.352_contig_000039,NRPS,NRPS
T1900044948_TA20190001_bin.356.fa.c00080_T190004...region001, T1900044948_TA20190001_bin.356_T1900044948_TA20190001_bin.356_contig_000080,proteusin,RiPPs
T1900044948_TA20190001_bin.378.fa.c00005_T190004...region001, T1900044948_TA20190001_bin.378_T1900044948_TA20190001_bin.378_contig_000005,betalactone,Others
T1900044948_TA20190001_bin.378.fa.c00243_T190004...region001, T1900044948_TA20190001_bin.378_T1900044948_TA20190001_bin.378_contig_000243,RiPP-like,RiPPs
T1900044948_TA20190001_bin.49.fa.c00036_T190004...region001, T1900044948_TA20190001_bin.49_T1900044948_TA20190001_bin.49_contig_000036,arylpolyene,Others
T1900044948_TA20190001_bin.49.fa.c00048_T190004...region001, T1900044948_TA20190001_bin.49_T1900044948_TA20190001_bin.49_contig_000048,NRPS,NRPS
T1900044948_TA20190001_bin.49.fa.c00075_T190004...region001, T1900044948_TA20190001_bin.49_T1900044948_TA20190001_bin.49_contig_000075,NRPS,NRPS
T1900044948_TA20190001_bin.61.fa.c00007_T190004...region001, T1900044948_TA20190001_bin.61_T1900044948_TA20190001_bin.61_contig_000007,NRPS-like,NRPS
T1900044948_TA20190001_bin.61.fa.c00010_T190004...region001, T1900044948_TA20190001_bin.61_T1900044948_TA20190001_bin.61_contig_000010,NRPS-like,NRPS
T1900044948_TA20190001_bin.61.fa.c00074_T190004...region001, T1900044948_TA20190001_bin.61_T1900044948_TA20190001_bin.61_contig_000074,NRPS,NRPS
T1900044948_TA20190001_bin.67.fa.c00055_T190004...region001, T1900044948_TA20190001_bin.67_T1900044948_TA20190001_bin.67_contig_000055,betalactone,Others
T1900044948_TA20190001_bin.86.fa.c00004_T190004...region001, T1900044948_TA20190001_bin.86_T1900044948_TA20190001_bin.86_contig_000004,RRE-containing,RiPPs
T1900044948_TA20190001_bin.97.fa.c00083_T190004...region001, T1900044948_TA20190001_bin.97_T1900044948_TA20190001_bin.97_contig_000083,RRE-containing,RiPPs
T1900044948_TA20190001_bin.99.fa.c00039_T190004...region001, T1900044948_TA20190001_bin.99_T1900044948_TA20190001_bin.99_contig_000039,betalactone,Others
T1900044948_TA20190001_bin.99.fa.c00233_T190004...region001, T1900044948_TA20190001_bin.99_T1900044948_TA20190001_bin.99_contig_000233,NRPS,NRPS
T1900044948_TA20190001_bin.99.fa.c00292_T190004...region001, T1900044948_TA20190001_bin.99_T1900044948_TA20190001_bin.99_contig_000292,NRPS,NRPS
T1900044949_TA20190002_bin.10.fa.c00013_T190004...region001, T1900044949_TA20190002_bin.10_T1900044949_TA20190002_bin.10_contig_000013,arylpolyene,Others
T1900044949_TA20190002_bin.10.fa.c00037_T190004...region001, T1900044949_TA20190002_bin.10_T1900044949_TA20190002_bin.10_contig_000037,RRE-containing,RiPPs
T1900044949_TA20190002_bin.105.fa.c00060_T190004...region001, T1900044949_TA20190002_bin.105_T1900044949_TA20190002_bin.105_contig_000060,RRE-containing,RiPPs
T1900044949_TA20190002_bin.117.fa.c00010_T190004...region001, T1900044949_TA20190002_bin.117_T1900044949_TA20190002_bin.117_contig_000010,RRE-containing,RiPPs
T1900044949_TA20190002_bin.117.fa.c00014_T190004...region001, T1900044949_TA20190002_bin.117_T1900044949_TA20190002_bin.117_contig_000014,NRPS,NRPS
T1900044949_TA20190002_bin.117.fa.c00045_T190004...region001, T1900044949_TA20190002_bin.117_T1900044949_TA20190002_bin.117_contig_000045,NRPS-like,NRPS
T1900044949_TA20190002_bin.126.fa.c00009_T190004...region001, T1900044949_TA20190002_bin.126_T1900044949_TA20190002_bin.126_contig_000009,RRE-containing,RiPPs
T1900044949_TA20190002_bin.126.fa.c00016_T190004...region001, T1900044949_TA20190002_bin.126_T1900044949_TA20190002_bin.126_contig_000016,arylpolyene.lanthipeptide-class-i,Others
T1900044949_TA20190002_bin.131.fa.c00046_T190004...region001, T1900044949_TA20190002_bin.131_T1900044949_TA20190002_bin.131_contig_000046,arylpolyene,Others
