BGC_ID,BGC_cluster_ID,BGC_Prediction,BiG-SCAPE_class
T1900044535_TS20190001_bin.103.fa.c00018_T190004...region001, T1900044535_TS20190001_bin.103_T1900044535_TS20190001_bin.103_contig_000018,RRE-containing,RiPPs
T1900044535_TS20190001_bin.103.fa.c00034_T190004...region001, T1900044535_TS20190001_bin.103_T1900044535_TS20190001_bin.103_contig_000034,NRPS-like,NRPS
T1900044535_TS20190001_bin.103.fa.c00040_T190004...region001, T1900044535_TS20190001_bin.103_T1900044535_TS20190001_bin.103_contig_000040,betalactone,Others
T1900044535_TS20190001_bin.150.fa.c00053_T190004...region001, T1900044535_TS20190001_bin.150_T1900044535_TS20190001_bin.150_contig_000053,betalactone,Others
T1900044535_TS20190001_bin.150.fa.c00059_T190004...region001, T1900044535_TS20190001_bin.150_T1900044535_TS20190001_bin.150_contig_000059,RRE-containing,RiPPs
T1900044535_TS20190001_bin.150.fa.c00105_T190004...region001, T1900044535_TS20190001_bin.150_T1900044535_TS20190001_bin.150_contig_000105,NRPS-like,NRPS
T1900044535_TS20190001_bin.150.fa.c00111_T190004...region001, T1900044535_TS20190001_bin.150_T1900044535_TS20190001_bin.150_contig_000111,RRE-containing,RiPPs
T1900044535_TS20190001_bin.150.fa.c00141_T190004...region001, T1900044535_TS20190001_bin.150_T1900044535_TS20190001_bin.150_contig_000141,ranthipeptide,RiPPs
T1900044535_TS20190001_bin.188.fa.c00083_T190004...region001, T1900044535_TS20190001_bin.188_T1900044535_TS20190001_bin.188_contig_000083,arylpolyene,Others
T1900044535_TS20190001_bin.205.fa.c00001_T190004...region001, T1900044535_TS20190001_bin.205_T1900044535_TS20190001_bin.205_contig_000001,RRE-containing,RiPPs
T1900044535_TS20190001_bin.205.fa.c00019_T190004...region001, T1900044535_TS20190001_bin.205_T1900044535_TS20190001_bin.205_contig_000019,RRE-containing,RiPPs
T1900044535_TS20190001_bin.205.fa.c00024_T190004...region001, T1900044535_TS20190001_bin.205_T1900044535_TS20190001_bin.205_contig_000024,NRPS,NRPS
T1900044535_TS20190001_bin.205.fa.c00027_T190004...region001, T1900044535_TS20190001_bin.205_T1900044535_TS20190001_bin.205_contig_000027,NRPS,NRPS
T1900044535_TS20190001_bin.205.fa.c00028_T190004...region001, T1900044535_TS20190001_bin.205_T1900044535_TS20190001_bin.205_contig_000028,NRPS-like,NRPS
T1900044535_TS20190001_bin.205.fa.c00030_T190004...region001, T1900044535_TS20190001_bin.205_T1900044535_TS20190001_bin.205_contig_000030,betalactone,Others
T1900044535_TS20190001_bin.205.fa.c00041_T190004...region001, T1900044535_TS20190001_bin.205_T1900044535_TS20190001_bin.205_contig_000041,RRE-containing,RiPPs
T1900044535_TS20190001_bin.205.fa.c00041_T190004...region002, T1900044535_TS20190001_bin.205_T1900044535_TS20190001_bin.205_contig_000041,RRE-containing,RiPPs
T1900044535_TS20190001_bin.205.fa.c00063_T190004...region001, T1900044535_TS20190001_bin.205_T1900044535_TS20190001_bin.205_contig_000063,ranthipeptide,RiPPs
T1900044535_TS20190001_bin.205.fa.c00066_T190004...region001, T1900044535_TS20190001_bin.205_T1900044535_TS20190001_bin.205_contig_000066,NRPS-like,NRPS
T1900044535_TS20190001_bin.303.fa.c00020_T190004...region001, T1900044535_TS20190001_bin.303_T1900044535_TS20190001_bin.303_contig_000020,NRPS-like,NRPS
T1900044535_TS20190001_bin.303.fa.c00032_T190004...region001, T1900044535_TS20190001_bin.303_T1900044535_TS20190001_bin.303_contig_000032,RRE-containing,RiPPs
T1900044535_TS20190001_bin.303.fa.c00177_T190004...region001, T1900044535_TS20190001_bin.303_T1900044535_TS20190001_bin.303_contig_000177,NRPS-like,NRPS
T1900044535_TS20190001_bin.303.fa.c00187_T190004...region001, T1900044535_TS20190001_bin.303_T1900044535_TS20190001_bin.303_contig_000187,ranthipeptide,RiPPs
T1900044535_TS20190001_bin.306.fa.c00020_T190004...region001, T1900044535_TS20190001_bin.306_T1900044535_TS20190001_bin.306_contig_000020,betalactone,Others
T1900044535_TS20190001_bin.306.fa.c00039_T190004...region001, T1900044535_TS20190001_bin.306_T1900044535_TS20190001_bin.306_contig_000039,RRE-containing,RiPPs
T1900044535_TS20190001_bin.306.fa.c00069_T190004...region001, T1900044535_TS20190001_bin.306_T1900044535_TS20190001_bin.306_contig_000069,ranthipeptide,RiPPs
T1900044535_TS20190001_bin.306.fa.c00149_T190004...region001, T1900044535_TS20190001_bin.306_T1900044535_TS20190001_bin.306_contig_000149,betalactone,Others
T1900044535_TS20190001_bin.306.fa.c00172_T190004...region001, T1900044535_TS20190001_bin.306_T1900044535_TS20190001_bin.306_contig_000172,NRPS-like,NRPS
T1900044535_TS20190001_bin.66.fa.c00180_T190004...region001, T1900044535_TS20190001_bin.66_T1900044535_TS20190001_bin.66_contig_000180,arylpolyene,Others
T1900044535_TS20190001_bin.68.fa.c00103_T190004...region001, T1900044535_TS20190001_bin.68_T1900044535_TS20190001_bin.68_contig_000103,betalactone,Others
T1900044536_TS20190002_bin.113.fa.c00028_T190004...region001, T1900044536_TS20190002_bin.113_T1900044536_TS20190002_bin.113_contig_000028,RRE-containing,RiPPs
T1900044536_TS20190002_bin.113.fa.c00067_T190004...region001, T1900044536_TS20190002_bin.113_T1900044536_TS20190002_bin.113_contig_000067,betalactone,Others
T1900044536_TS20190002_bin.159.fa.c00016_T190004...region001, T1900044536_TS20190002_bin.159_T1900044536_TS20190002_bin.159_contig_000016,NRPS-like,NRPS
